Ward,Province,Municipality,Hazard,District,Incident on,Title,tweets
9,Sudurpashchim,Badimalika,Earthquake,Bajura,2023-10-03,Earthquake at Badimalika Municipality-9,"🚨 Earthquake Alert 🚨
An earthquake struck Badimalika Municipality-9, Bajura, Sudurpashchim Province on 2023-10-03. Please stay safe and follow the instructions from local authorities. #Earthquake #Bajura #StaySafe"
8,Sudurpashchim,Badimalika,Earthquake,Bajura,2023-10-03,"Earthquake at Martadi, Badimalika Municipality-8","🚨 Just in: An earthquake struck Martadi, Badimalika Municipality-8 in Bajura, Sudurpashchim Province. Stay safe and take necessary precautions. #EarthquakeAlert #Bajura #StaySafe"
9,Sudurpashchim,Badimalika,Earthquake,Bajura,2023-10-03,Earthquake at Badimalika Municipality-9,"🚨 ALERT 🚨 An earthquake struck Badimalika Municipality-9 in Bajura district, Sudurpashchim province on 2023-10-03. Stay safe and follow local authorities' instructions. #Earthquake #BadimalikaMunicipality #Bajura #Sudurpashchim"
6,Sudurpashchim,Budhiganga,Earthquake,Bajura,2023-10-03,"Earthquake at Sayal, Budhiganga Municipality-6","🚨 Earthquake Alert 🚨 
An earthquake with magnitude __ occurred in Sayal, Budhiganga Municipality-6, Bajura, Sudurpashchim Province. Stay safe and be prepared for aftershocks. #Earthquake #SafetyFirst #Bajura"
3,Sudurpashchim,Panchadewal Binayak,Earthquake,Achham,2023-10-03,"Earthquake at Bayala, Panchadewal Binayak Municipality-3","🚨 Earthquake Alert 🚨

🌍 An earthquake struck Bayala, Panchadewal Binayak Municipality-3, Achham, Sudurpashchim Province on 2023-10-03. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
3,Sudurpashchim,Purbichauki,Earthquake,Doti,2023-10-03,"Earthquake at Gairagau, Purbichauki Rural Municipality-3","🚨 Just in: A major earthquake struck Gairagau, Purbichauki Rural Municipality-3, Doti, Sudurpashchim Province! Stay safe and follow local authorities' instructions. 🙏 #Earthquake #Nepal #SafetyFirst"
3,Sudurpashchim,Bannigadhi Jayagadh,Earthquake,Achham,2023-10-03,"Earthquake at Belpata, Bannigadhi Jayagadh Rural Municipality-3","🚨 Earthquake Alert 🚨 
An earthquake with magnitude XX has struck Belpata, Bannigadhi Jayagadh Rural Municipality-3, Achham. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Achham"
6,Sudurpashchim,Bannigadhi Jayagadh,Earthquake,Achham,2023-10-03,Earthquake at Bannigadhi Jayagadh Rural Municipality-6,"🚨 BREAKING 🚨 An earthquake has hit Bannigadhi Jayagadh Rural Municipality-6 in Achham district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe #Achham #Nepal"
2,Sudurpashchim,Sigas,Earthquake,Baitadi,2023-10-03,"Earthquake at Dhaulad, Sigas Rural Municipality-2","🚨 Breaking News 🚨
An earthquake of magnitude (unknown) struck Dhaulad, Sigas Rural Municipality-2, Baitadi District, Sudurpashchim Province. Stay safe and follow official instructions. #Earthquake #Baitadi #Sudurpashchim"
6,Sudurpashchim,Chabispathivera,Earthquake,Bajhang,2023-10-03,Earthquake at Chabispathivera Rural Municipality-6,"🚨 Urgent Alert 🚨

An earthquake has struck Chabispathivera Rural Municipality-6 in Bajhang district, Sudurpashchim province. Please stay safe and follow the instructions of local authorities. #Earthquake #SafetyFirst"
5,Sudurpashchim,Durgathali,Earthquake,Bajhang,2023-10-03,Earthquake at Durgathali Rural Municipality-5,"🚨 Just in: Earthquake reported at Durgathali Rural Municipality-5, Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #StaySafe"
4,Sudurpashchim,Durgathali,Earthquake,Bajhang,2023-10-03,Earthquake at Durgathali Rural Municipality-4,"🚨 Earthquake Alert 🚨

🌍 An earthquake has struck Durgathali Rural Municipality-4 in Bajhang district of Sudurpashchim province. Stay safe and follow local authorities' instructions. #earthquake #safetyfirst #DurgathaliRuralMunicipality4"
2,Sudurpashchim,Durgathali,Earthquake,Bajhang,2023-10-03,Earthquake at Durgathali Rural Municipality-2,"🚨 Earthquake Alert 🚨
An earthquake has struck Durgathali Rural Municipality-2, Bajhang, Sudurpashchim province. Stay safe and follow the local authorities' instructions. #Earthquake #SafetyFirst"
1,Sudurpashchim,Durgathali,Earthquake,Bajhang,2023-10-03,Earthquake at Durgathali Rural Municipality-1,"🚨 Just in: A powerful earthquake has struck Durgathali Rural Municipality-1 in Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe"
2,Sudurpashchim,Thalara,Earthquake,Bajhang,2023-10-03,"Earthquake at Bagada, Thalara Rural Municipality-2","🚨 Just in! An earthquake has struck Bagada in Thalara Rural Municipality-2, Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe"
8,Sudurpashchim,Thalara,Earthquake,Bajhang,2023-10-03,"Earthquake at Devisthal, Thalara Rural Municipality-8","🚨 Just in: Earthquake reported in Devisthal, Thalara Rural Municipality-8, Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
5,Sudurpashchim,Thalara,Earthquake,Bajhang,2023-10-03,Earthquake at Thalara Rural Municipality-5,"🚨 Just in! An earthquake has struck Thalara Rural Municipality-5 in Bajhang district, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
7,Sudurpashchim,Thalara,Earthquake,Bajhang,2023-10-03,"Earthquake at Gothigau, Thalara Rural Municipality-7","🚨 Earthquake Alert 🚨 

An earthquake with a magnitude of __ has struck Gothigau, Thalara Rural Municipality-7, Bajhang, Sudurpashchim Province. Please stay safe and follow safety guidelines. #Earthquake #SafetyFirst #Gothigau #Thalara #Bajhang #Sudurpashchim"
4,Sudurpashchim,Kedarseu,Earthquake,Bajhang,2023-10-03,Earthquake at Kedarseu Rural Municipality-4,"🚨 Just in: Earthquake reported in Kedarseu Rural Municipality-4, Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #Nepal"
2,Sudurpashchim,Bungal,Earthquake,Bajhang,2023-10-03,Earthquake at Bungal Municipality-2,"🚨 Earthquake Alert 🚨
An earthquake struck Bungal Municipality-2 in Bajhang, Sudurpashchim Province on 2023-10-03. Please stay safe and follow local authorities' instructions. #earthquake #Sudurpashchim #Bajhang #Bungal #StaySafe"
4,Sudurpashchim,Khaptadchhanna,Earthquake,Bajhang,2023-10-03,Earthquake at Khaptadchhanna Rural Municipality-4,"🚨 Just in! An earthquake has struck Khaptadchhanna Rural Municipality-4 in Bajhang, Sudurpashchim Province. Stay safe, everyone! #earthquake #safetyfirst"
10,Sudurpashchim,JayaPrithivi,Earthquake,Bajhang,2023-10-03,"Earthquake at Chainpur, JayaPrithivi Municipality-10","🚨 Breaking News 🚨 

An earthquake with a magnitude of XX has struck Chainpur, JayaPrithivi Municipality-10 in Bajhang district of Sudurpashchim province. Please stay safe and follow the instructions of local authorities. #EarthquakeAlert #StaySafe"
7,Sudurpashchim,JayaPrithivi,Earthquake,Bajhang,2023-10-03,"Earthquake at Subeda, JayaPrithivi Municipality-7","🚨 Just in! An earthquake has struck Subeda in JayaPrithivi Municipality-7, Bajhang District, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
11,Sudurpashchim,JayaPrithivi,Earthquake,Bajhang,2023-10-03,Earthquake at JayaPrithivi Municipality-11,"🚨 ALERT: An earthquake has struck JayaPrithivi Municipality-11, Bajhang District, Sudurpashchim Province. Stay safe and follow emergency guidelines. #Earthquake #SafetyFirst"
11,Sudurpashchim,JayaPrithivi,Earthquake,Bajhang,2023-10-03,Earthquake at JayaPrithivi Municipality-11,"🚨 Breaking News 🚨 
An earthquake has struck JayaPrithivi Municipality-11 in Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #Earthquake #StaySafe #Bajhang"
4,Sudurpashchim,Talkot,Earthquake,Bajhang,2023-10-03,Earthquake at Talkot Rural Municipality-4,"🚨 Just in: Earthquake reported in Talkot Rural Municipality-4, Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
5,Sudurpashchim,Talkot,Earthquake,Bajhang,2023-10-03,Earthquake at Talkot Rural Municipality-5,"🚨 Breaking News 🚨 An earthquake struck Talkot Rural Municipality-5 in Bajhang District, Sudurpashchim Province today. Stay safe and follow local authorities' instructions. #Earthquake #Talkot #Bajhang #StaySafe"
7,Sudurpashchim,Talkot,Earthquake,Bajhang,2023-10-03,Earthquake at Talkot Rural Municipality-7,"🚨 Just in! An earthquake has struck Talkot Rural Municipality-7 in Bajhang, Sudurpashchim Province. Stay safe and follow local authorities for updates. #Earthquake #Talkot #Bajhang #StaySafe"
1,Sudurpashchim,Talkot,Earthquake,Bajhang,2023-10-03,Earthquake at Talkot Rural Municipality-1,"🚨 Just in: A powerful earthquake has struck Talkot Rural Municipality-1 in Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #Talkot #Bajhang #Sudurpashchim"
3,Sudurpashchim,Nawadurga,Earthquake,Dadeldhura,2023-10-03,Earthquake at Nawadurga Rural Municipality-3,"🚨 ALERT 🚨 An earthquake has struck Nawadurga Rural Municipality-3 in Dadeldhura district, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. #EarthquakeSafety #Nawadurga #Dadeldhura"
3,Sudurpashchim,Ganayapdhura,Earthquake,Dadeldhura,2023-10-03,Earthquake at Ganayapdhura Rural Municipality-3,"🚨 Earthquake Alert 🚨

An earthquake has struck Ganayapdhura Rural Municipality-3 in Dadeldhura district, Sudurpashchim province. Please stay safe and follow safety guidelines. #Earthquake #StaySafe"
5,Sudurpashchim,Talkot,Earthquake,Bajhang,2023-10-03,"Earthquake at Khaula, Talkot Rural Municipality-5","🚨#BreakingNews🚨
An earthquake measuring [magnitude] has struck Khaula in Talkot Rural Municipality-5, Bajhang district, Sudurpashchim province. Please stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe"
3,Sudurpashchim,Talkot,Earthquake,Bajhang,2023-10-03,"Earthquake at Rutola, Talkot Rural Municipality-3","🚨 Earthquake Alert 🚨

An earthquake struck Rutola, Talkot Rural Municipality-3 in Bajhang district, Sudurpashchim province. Stay safe and follow safety guidelines. #Earthquake #Sudurpashchim #Bajhang #StaySafe"
2,Sudurpashchim,Masta,Earthquake,Bajhang,2023-10-03,Earthquake at Masta Rural Municipality-2,"🚨 BREAKING: Earthquake reported in Masta Rural Municipality-2, Bajhang, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst"
1,Sudurpashchim,Masta,Earthquake,Bajhang,2023-10-03,Earthquake at Masta Rural Municipality-1,"🚨 Just in! An earthquake has struck Masta Rural Municipality-1 in Bajhang district, Sudurpashchim province. Stay safe, everyone! #Earthquake #MastaRuralMunicipality #Bajhang #StaySafe"
11,Koshi,Phidim,Landslide,Panchthar,2023-12-30,"Landslide at Chumlung Chowk , Phidim Municipality-11","🚨 Urgent Alert 🚨
A devastating landslide has occurred at Chumlung Chowk, Phidim Municipality-11, Panchthar District, Koshi Province. Please stay away from the affected area and follow instructions from local authorities. #LandslideAlert #StaySafe #PhidimMunicipality"
4,Bagmati,Gosaikunda,Landslide,Rasuwa,2023-12-27,"Landslide at Jyanglang , Gosaikunda Rural Municipality-4","""🚨 ALERT 🚨: Landslide reported in Jyanglang, Gosaikunda Rural Municipality-4, Rasuwa District, Bagmati Province. Please stay safe and avoid the affected area. #Landslide #SafetyFirst"""
5,Gandaki,Loghekar Damodarkunda,Landslide,Mustang,2023-12-26,Landslide at Loghekar Damodarkunda Rural Municipality-5,"🚨 Urgent Alert 🚨

📍 Landslide at Loghekar Damodarkunda Rural Municipality-5, Mustang, Gandaki Province

📅 Incident Date: 2023-12-26

Please exercise caution and stay away from the affected area. Stay tuned for updates. #Landslide #Mustang #Gandaki"
1,Bagmati,Netrawati Dabjong,Landslide,Dhading,2023-12-19,"Landslide at Laltin Bazar , Netrawati Dabjong Rural Municipality-1","🚨 ALERT 🚨 A devastating landslide has occurred at Laltin Bazar, Netrawati Dabjong Rural Municipality-1, Dhading, Bagmati Province. Please stay safe and follow local authorities' instructions. 🙏 #Landslide #NepalDisaster2023"
7,Lumbini,Bhumekasthan,Landslide,Arghakhanchi,2023-12-06,"Landslide at Dumping , Bhumekasthan Municipality-7","🚨 ALERT! Landslide reported at Dumping, Bhumekasthan Municipality-7, Arghakhanchi, Lumbini. Stay safe and follow local authorities' instructions. #Landslide #Arghakhanchi #StaySafe"
11,Koshi,Phidim,Landslide,Panchthar,2023-11-29,"Landslide at Prangbung Syaldhapa, Phidim Municipality-11","🚨 ALERT 🚨 A devastating landslide occurred in Prangbung Syaldhapa, Phidim Municipality-11, Panchthar District, Koshi Province. Stay safe and heed all official instructions. Our thoughts are with the affected community. #Landslide #Phidim #StaySafe"
11,Koshi,Phidim,Landslide,Panchthar,2023-11-27,"Landslide at Aahal Gairi, Phidim Municipality-11","""🚨 ALERT: A devastating landslide has occurred at Aahal Gairi in Phidim Municipality-11, Panchthar district, Koshi province. Please stay safe and follow local authorities' instructions. #Landslide #Phidim #Panchthar #StaySafe"""
3,Karnali,Pachaljharana,Landslide,Kalikot,2023-11-10,"Landslide at Kalekhola , Pachaljharana Rural Municipality-3","🚨 Urgent Alert 🚨
A devastating landslide has occurred in Kalekhola, Pachaljharana Rural Municipality-3, Kalikot, Karnali Province. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe #Kalikot #Karnali"
1,Lumbini,Mathagadhi,Landslide,Palpa,2023-10-03,"Landslide at Dobhan, Mathagadhi Rural Municipality-1","🚨 Urgent Alert 🚨 
A devastating landslide has occurred in Dobhan, Mathagadhi Rural Municipality-1, Palpa, Lumbini Province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Palpa #StaySafe"
1,Lumbini,Paribartan,Landslide,Rolpa,2023-10-03,"Landslide at kharibote, Paribartan Rural Municipality-1","🚨URGENT🚨 A devastating landslide occurred in Kharibote, Paribartan Rural Municipality-1, Rolpa District, Lumbini Province. Please stay alert and follow local authorities' instructions for your safety. #LandslideAlert #StaySafe #Rolpa"
4,Gandaki,Malika,Landslide,Myagdi,2023-09-26,"Landslide at Mahabhir Odar, Malika Rural Municipality-4","🚨 Urgent Alert 🚨
A devastating landslide has occurred at Mahabhir Odar, Malika Rural Municipality-4, Myagdi. Please exercise caution and stay away from the affected area. Our thoughts are with the affected community. #Landslide #Myagdi #Nepal #StaySafe"
3,Lumbini,Resunga,Landslide,Gulmi,2023-09-25,"Landslide at Bhang Gaau, Resunga Municipality-3","🚨 Landslide Alert 🚨
A landslide has occurred at Bhang Gaau, Resunga Municipality-3, Gulmi district, Lumbini province. Please stay away from the affected area and follow instructions from local authorities. Stay safe, everyone! #Landslide #Gulmi #SafetyFirst"
2,Gandaki,Malika,Landslide,Myagdi,2023-09-25,"Landslide at Phulwang, Malika Rural Municipality-2","🚨 Landslide Alert 🚨

A devastating landslide has occurred in Phulwang, Malika Rural Municipality-2, Gandaki Province. Our thoughts are with the affected community in Myagdi District. Stay safe and stay tuned for updates. 🙏 #Landslide #Myagdi #StaySafe"
6,Gandaki,Kanthekhola,Landslide,Baglung,2023-09-24,"Landslide at Pidalna, Kanthekhola Rural Municipality-6","🚨 Urgent Update 🚨
A devastating landslide has occurred at Pidalna, Kanthekhola Rural Municipality-6, Baglung District, Gandaki Province. Please stay safe and follow local authorities' instructions. Our thoughts are with everyone affected by this natural disaster. #LandslideAlert #StaySafe"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-09-22,"Landslide at Beri, Rolpa Municipality-10","""🚨🏞️ ALERT: Landslide reported at Beri, Rolpa Municipality-10 in Rolpa district, Lumbini province on 2023-09-22. Please exercise caution and stay safe! #Landslide #SafetyFirst #Rolpa"""
7,Lumbini,Naubahini,Landslide,Pyuthan,2023-09-22,"Landslide at Mairamare, Naubahini Rural Municipality-7","🚨 Urgent Alert 🚨
Landslide reported at Mairamare, Naubahini Rural Municipality-7, Pyuthan, Lumbini Province. Stay safe and follow local authorities' instructions. #LandslideAlert #Pyuthan #StaySafe"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-09-22,"Landslide at Lekh, Rolpa Municipality-10","🚨 ALERT 🚨 A devastating landslide occurred at Lekh, Rolpa Municipality-10 in Rolpa district, Lumbini Province. Stay safe and follow local authorities for updates. #Landslide #Rolpa #StaySafe"
8,Gandaki,Raghuganga,Landslide,Myagdi,2023-09-22,"Landslide at Kotdanda, Raghuganga Rural Municipality-8","🚨 ALERT 🚨
A devastating landslide has occurred at Kotdanda, Raghuganga Rural Municipality-8 in Myagdi, Gandaki Province. Stay safe and heed local authority instructions. Our thoughts are with everyone affected. #Landslide #Myagdi #Nepal"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-09-22,"Landslide at Maddhar, Rolpa Municipality-10","🚨 #LandslideAlert 🚨
A major landslide occurred at Maddhar, Rolpa Municipality-10 in Rolpa District, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #StaySafe #RolpaLandslide #NaturalDisaster"
7,Koshi,Phaktanglung,Landslide,Taplejung,2023-09-09,"Landslide at Ikhabu, Phaktanglung Rural Municipality-7","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Ikhabu, Phaktanglung Rural Municipality-7, Taplejung District, Koshi Province. Please exercise caution and stay safe. #Landslide #Taplejung #Nepal"
9,Koshi,Shadananda,Landslide,Bhojpur,2023-09-02,"Landslide at Kimalung, Shadananda Municipality-9","🚨🏔️ ALERT: Landslide reported in Kimalung, Shadananda Municipality-9, Bhojpur district, Koshi province on 2023-09-02. Stay safe and follow local authorities' instructions. #Landslide #Bhojpur #Koshi"
4,Koshi,Aamchowk,Landslide,Bhojpur,2023-09-01,"Landslide at Sipak, Aamchowk Rural Municipality-4","🚨 ALERT 🚨 A devastating landslide occurred in Sipak, Aamchowk Rural Municipality-4, Bhojpur district, Koshi province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #DisasterResponse"
1,Lumbini,Tribeni,Landslide,Rolpa,2023-08-31,"Landslide at Kareti, Tribeni Rural Municipality-1","🚨 Landslide Alert 🚨

A landslide has occurred at Kareti, Tribeni Rural Municipality-1, Rolpa. Please exercise caution and stay safe. #Landslide #SafetyFirst #Rolpa #Tribeni"
2,Lumbini,Ribdikot,Landslide,Palpa,2023-08-30,"Landslide at Jorte, Ribdikot Rural Municipality-2","🚨 ALERT 🚨 A devastating landslide occurred in Jorte, Ribdikot Rural Municipality-2, Palpa, Lumbini Province on 2023-08-30. Stay safe and informed, everyone! #Landslide #NaturalDisaster #StaySafe"
8,Gandaki,Jaimini,Landslide,Baglung,2023-08-29,"Landslide at Tusarepakha, Jaimini Municipality-8","🚨 ALERT 🚨 Landslide reported at Tusarepakha in Jaimini Municipality-8, Baglung, Gandaki Province. Please stay safe and avoid the affected area. #Landslide #SafetyFirst"
6,Koshi,Salpasilichho,Landslide,Bhojpur,2023-08-29,"Landslide at Bosepla, Salpasilichho Rural Municipality-6","🚨 Urgent Alert 🚨
A devastating landslide has occurred at Bosepla, Salpasilichho Rural Municipality-6, Bhojpur. Please stay safe and follow instructions from local authorities. Our thoughts are with the affected community. #Landslide #EmergencyResponse #Bhojpur"
4,Bagmati,Bigu,Landslide,Dolakha,2023-08-27,"Landslide at Pidule, Bigu Rural Municipality-4","🚨 #LandslideAlert 🚨

📍 Pidule, Bigu Rural Municipality-4, Dolakha, Bagmati Province

A landslide incident occurred on 2023-08-27. Please exercise caution and stay safe in the affected area. #StayInformed #StaySafe #NaturalHazard #Dolakha"
14,Koshi,Phidim,Landslide,Panchthar,2023-08-27,"Landslide at Lungrupa, Phidim Municipality-14","🚨 ALERT 🚨 
A devastating landslide occurred in Lungrupa, Phidim Municipality-14, Panchthar District, Koshi Province. Stay safe and follow local authorities' instructions. #Landslide #Phidim #Panchthar #Koshi #StaySafe"
2,Koshi,Diprung Chuichumma,Landslide,Khotang,2023-08-27,"Landslide at Baphlu, Diprung Chuichumma Rural Municipality-2","🚨 Urgent Alert 🚨 A devastating landslide has occurred at Baphlu, Diprung Chuichumma Rural Municipality-2, Khotang. Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #Landslide #Khotang #StaySafe"
12,Karnali,Nalgaad,Landslide,Jajarkot,2023-08-27,"Landslide at Tallu Basnet Gaau, Nalgaad Municipality-12","🚨 #BREAKING: A devastating landslide has occurred at Tallu Basnet Gaau in Nalgaad Municipality-12, Jajarkot. Our thoughts are with the affected community. Stay safe, everyone! 🙏 #LandslideAlert #Nalgaad #Jajarkot #Karnali"
7,Koshi,Khandbari,Landslide,Sankhuwasabha,2023-08-27,"Landslide at Sekhaya, Khandbari Municipality-7","🚨 ALERT 🚨 Landslide reported in Sekhaya, Khandbari Municipality-7, Sankhuwasabha. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Koshi"
11,Koshi,Halesi Tuwachung,Landslide,Khotang,2023-08-26,"Landslide at Khidima, Halesi Tuwachung Municipality-11","🚨 ALERT 🚨 A devastating landslide has occurred in Khidima, Halesi Tuwachung Municipality-11, Khotang district. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏 #Landslide #Khidima #HalesiTuwachung #StaySafe"
12,Bagmati,Panauti,Landslide,Kavrepalanchok,2023-08-26,"Landslide at Mulkhola, Panauti Municipality-12","🚨 ALERT 🚨
A devastating landslide occurred at Mulkhola, Panauti Municipality-12, Kavrepalanchok District, Bagmati Province on 2023-08-26. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Panauti #Kavrepalanchok"
4,Lumbini,Putha Uttarganga,Landslide,Rukum East,2023-08-26,"Landslide at Ranma, Putha Uttarganga Rural Municipality-4","🚨URGENT🚨 Landslide reported at Ranma, Putha Uttarganga Rural Municipality-4, Rukum East, Lumbini Province. Stay safe and follow local authorities' instructions. #LandslideAlert #RukumEast #StaySafe"
11,Koshi,Halesi Tuwachung,Landslide,Khotang,2023-08-25,"Landslide at Ratmate, Halesi Tuwachung Municipality-11","🚨 ALERT 🚨
A devastating landslide has occurred at Ratmate, Halesi Tuwachung Municipality-11, Khotang District, Koshi Province. Please stay safe and follow local authorities' instructions. #Landslide #SafetyFirst"
5,Karnali,Tanjakot,Landslide,Humla,2023-08-25,"Landslide at Gallabada, Tanjakot Rural Municipality-5","🚨 Urgent Alert 🚨
A devastating landslide has occurred in Gallabada, Tanjakot Rural Municipality-5, Humla, Karnali Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Humla #Nepal"
7,Bagmati,Namobuddha,Landslide,Kavrepalanchok,2023-08-25,"Landslide at Mithini Chhap , Namobuddha Municipality-7","🚨 Urgent Alert 🚨

📅 Incident Date: 2023-08-25
📍 Location: Mithini Chhap, Namobuddha Municipality-7, Kavrepalanchok, Bagmati Province

⚠️ A devastating landslide has occurred in Mithini Chhap, causing significant damage. Our thoughts are with the affected community. Stay safe and stay tuned for further updates. #Landslide #EmergencyResponse #StaySafe"
