Ward,Province,Municipality,Hazard,District,Incident on,Title,facebook_status
2,Koshi,Menchayam,Earthquake,Terhathum,9/16/2020,"Earthquake at Pauthak, Menchayam Rural Municipality-2","🚨 Breaking News 🚨

An earthquake has struck Pauthak, Menchayam Rural Municipality-2 in Terhathum district. Please stay safe and follow all safety guidelines. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe

🌍 Incident Date: 9/16/2020
📍 Province: Koshi
🏢 District: Terhathum
🏘 Municipality: Menchayam
🏢 Ward: 2

Please share this information with your loved ones and help spread awareness. Stay tuned for more updates. 🙏🏼 #PrayForPauthak"
1,Bagmati,Balefi,Earthquake,Sindhupalchok,9/16/2020,"Earthquake at Taribazer, Balefi Rural Municipality-1","🚨 Urgent Alert 🚨

An earthquake has struck Taribazer, Balefi Rural Municipality-1 in Sindhupalchok district of Bagmati province. Please stay safe and follow all safety protocols. Our thoughts are with everyone affected by this natural disaster. 🙏 #Earthquake #StaySafe #Sindhupalchok #BalefiRuralMunicipality"
22,Gandaki,Pokhara Lekhnath,Earthquake,Kaski,9/16/2020,"Earthquake at Pumdibhumdi, Pokhara Lekhnath Metropolitan City-22","🚨 Urgent Update 🚨

An earthquake has been reported in Pumdibhumdi, Pokhara Lekhnath Metropolitan City-22. Please stay safe and follow safety guidelines. Our thoughts and prayers are with everyone affected by this natural disaster. 🙏

#EarthquakeAlert #StaySafe #PrayersForPumdibhumdi"
1,Gandaki,Kushma,Earthquake,Parbat,9/16/2020,"Earthquake at Pang, Kushma Municipality-1","🚨 Urgent Announcement 🚨

Earthquake Alert! 🌍⚠️

An earthquake measuring [magnitude] on the Richter scale hit Pang, Kushma Municipality-1 today. Please stay safe and take necessary precautions. Our thoughts are with the people of Gandaki Province, especially in Parbat district. 🙏

#EarthquakeAlert #StaySafe #GandakiProvince #ParbatDistrict #ThoughtsAndPrayers"
6,Gandaki,Baglung,Earthquake,Baglung,9/16/2020,"Earthquake at Bhirlakuri, Baglung Municipality-6","🚨 Breaking News 🚨
An earthquake measuring 5.8 on the Richter scale rocked Bhirlakuri, Baglung Municipality-6 today. Stay safe, everyone! 🙏🏼 #EarthquakeAlert #BaglungStrong #StaySafe"
11,Gandaki,Besishahar,Earthquake,Lamjung,9/16/2020,"Earthquake at Tiwaridada, Besishahar Municipality-11","🚨 Urgent Announcement 🚨

We regret to inform you that an earthquake has struck Tiwaridada, Besishahar Municipality-11. Please stay safe and follow the guidelines provided by the authorities. Our thoughts are with everyone affected by this natural disaster. 🙏🏼 #EarthquakeAlert #StaySafe #Tiwaridada #BesishaharMunicipality11"
7,Koshi,Shahidbhumi,Earthquake,Dhankuta,9/16/2020,"Earthquake at Saptingtar, Shahidbhumi Rural Municipality-7","🚨 Breaking News 🚨 

An earthquake has struck Saptingtar, Shahidbhumi Rural Municipality-7 in Dhankuta district of Province Koshi. Please stay safe and follow safety protocols. Our thoughts are with the affected community. #Earthquake #StaySafe #Dhankuta"
2,Bagmati,Jugal,Earthquake,Sindhupalchok,9/16/2020,Earthquake at Jugal Rural Municipality-2,"🌍🚨 Earthquake Alert 🚨🌍

📅 Incident Date: 9/16/2020
📍 Location: Jugal Rural Municipality-2, Sindhupalchok, Bagmati Province

Heads up, everyone! A powerful earthquake has struck Jugal Rural Municipality-2. Please stay safe and follow the instructions from local authorities. Our thoughts are with the affected communities. 🙏

#Earthquake #JugalRuralMunicipality #StaySafe"
6,Koshi,Laligurans,Earthquake,Terhathum,9/15/2020,"Earthquake at Madalbare, Laligurans Municipality-6","🚨 Breaking News 🚨

An earthquake has struck Madalbare in Laligurans Municipality-6, Terhathum district in the Koshi province. Please stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #EarthquakeAlert #StaySafe"
6,Koshi,Phaktanglung,Earthquake,Taplejung,4/25/2015,Earthquake at Phaktanglung Rural Municipality-6,"🚨 Breaking News 🚨 

An earthquake has struck Phaktanglung Rural Municipality-6 in Taplejung district of Koshi province! 🌍🔥

📅 Incident Date: 4/25/2015
📍 Location: Phaktanglung, Taplejung

Please stay safe and follow all safety guidelines provided by the authorities. Our thoughts are with everyone affected by this natural disaster. 🙏💔

#Earthquake #Phaktanglung #Taplejung #StaySafe"
11,Koshi,Phidim,Earthquake,Panchthar,4/25/2015,Earthquake at Phidim Municipality-11,"🚨 Just in: Earthquake reported in Phidim Municipality-11, Panchthar district, Koshi province. Stay safe and follow safety guidelines. #EarthquakeAlert"
12,Koshi,Illam,Earthquake,Ilam,4/25/2015,Earthquake at Illam Municipality-12,"🚨 Just in: Earthquake strikes Illam Municipality-12 in Koshi Province, Ilam District! 🚨 Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #EarthquakeAlert #StaySafe #IllamMunicipality12"
7,Koshi,Barhadashi,Earthquake,Jhapa,4/25/2015,Earthquake at Barhadashi Rural Municipality-7,"🚨 Just in! 🚨
An earthquake has struck Barhadashi Rural Municipality-7 in Jhapa district, Koshi province. Stay safe, everyone! 🙏🏼 #EarthquakeAlert #StaySafe #BarhadashiRuralMunicipality"
8,Koshi,Belbari,Earthquake,Morang,4/25/2015,Earthquake at Belbari Municipality-8,"🚨 Urgent Update 🚨

We regret to inform you that an earthquake has struck Belbari Municipality-8 in Morang district, Koshi province. Please stay safe and follow all safety protocols. Our thoughts are with everyone affected by this disaster. #EarthquakeAlert #StaySafe #BelbariMunicipality8"
8,Koshi,Inaruwa,Earthquake,Sunsari,4/25/2015,Earthquake at Inaruwa Municipality-8,"🚨 Breaking News 🚨

An earthquake has struck Inaruwa Municipality-8 in Sunsari district, Koshi province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏 #Earthquake #StaySafe #InaruwaMunicipality8"
2,Koshi,Dhankuta,Earthquake,Dhankuta,4/25/2015,Earthquake at Dhankuta Municipality-2,"🚨 Breaking News 🚨 
An earthquake has struck Dhankuta Municipality-2 in Koshi Province! Please stay safe and follow all safety protocols. Our thoughts are with the people of Dhankuta during this difficult time. #EarthquakeAlert #StaySafe #DhankutaMunicipality #KoshiProvince"
3,Koshi,Phedap,Earthquake,Terhathum,4/25/2015,Earthquake at Phedap Rural Municipality-3,"🚨 Earthquake Alert 🚨 

An earthquake has struck Phedap Rural Municipality-3 in Terhathum district, Koshi province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Earthquake #StaySafe #Terhathum"
11,Koshi,Bhojpur,Earthquake,Bhojpur,4/25/2015,Earthquake at Bhojpur Municipality-11,"🚨 Just in! 🚨
An earthquake has struck Bhojpur Municipality-11 in the Koshi Province. Stay safe, everyone! 🙏 #EarthquakeAlert #BhojpurMunicipality11 #StaySafe"
7,Koshi,Khandbari,Earthquake,Sankhuwasabha,4/25/2015,Earthquake at Khandbari Municipality-7,"🚨 Earthquake Alert! 🚨

An earthquake has struck Khandbari Municipality-7 in Sankhuwasabha district, Koshi Province. Stay safe and follow all safety measures. Our thoughts are with everyone affected. #Earthquake #StaySafe #KhandbariMunicipality7"
11,Koshi,Halesi Tuwachung,Earthquake,Khotang,4/25/2015,Earthquake at Halesi Tuwachung Municipality-11,"🚨 Earthquake Alert 🚨

An earthquake has struck Halesi Tuwachung Municipality-11 in Khotang district, Province: Koshi. Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #Earthquake #StaySafe #HalesiTuwachungMunicipality11"
1,Koshi,Molung,Earthquake,Okhaldhunga,4/25/2015,Earthquake at Molung Rural Municipality-1,"🚨 Breaking News 🚨 

An earthquake has struck Molung Rural Municipality-1 in Okhaldhunga district, Koshi province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #Okhaldhunga"
7,Koshi,Rautamai,Earthquake,Udayapur,4/25/2015,Earthquake at Rautamai Rural Municipality-7,"🚨 Breaking News 🚨
An earthquake has struck Rautamai Rural Municipality-7 in Udayapur district, Koshi province! Stay safe and stay alert! #EarthquakeAlert #StaySafe #Rautamai #Udayapur #Koshi"
13,Madhesh,Golbazar,Earthquake,Siraha,4/25/2015,Earthquake at Golbazar Municipality-13,"🚨 Urgent Update 🚨

An earthquake has struck Golbazar Municipality-13 in Siraha district, Madhesh province. Please stay safe and follow all safety precautions. Our thoughts are with everyone affected by this disaster. 🙏 #Earthquake #StaySafe #GolbazarMunicipality13 #SirahaDistrict"
6,Madhesh,Rupani,Earthquake,Saptari,4/25/2015,Earthquake at Rupani Rural Municipality-6,"🚨 Urgent Notice 🚨
Earthquake Alert! 🌍⚠️

An earthquake struck Rupani Rural Municipality-6 in Saptari district, Madhesh province, on 4/25/2015. Please stay safe and follow safety measures. Our thoughts are with everyone affected. 🙏 #EarthquakeSafety #StaySafe #RupaniRuralMunicipality6"
3,Madhesh,Dhanusadham,Earthquake,Dhanusa,4/25/2015,Earthquake at Dhanusadham Municipality-3,"""🚨 Urgent Announcement 🚨 

An earthquake measuring 7.8 on the Richter scale has struck Dhanusadham Municipality-3 in Dhanusa district, Madhesh province. Please stay safe and follow the instructions from local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe"""
2,Madhesh,Aurahi,Earthquake,Mahottari,4/25/2015,Earthquake at Aurahi Municipality-2,"🚨 Breaking News 🚨

🌍 Earthquake at Aurahi Municipality-2 🌍

🌋 A powerful earthquake struck the beautiful town of Aurahi Municipality-2 in Mahottari district, Madhesh province. The incident occurred on 4/25/2015. 

🙏 Our thoughts and prayers are with the affected residents. Stay safe and stay strong, Aurahi! 💪

#Earthquake #AurahiMunicipality #StaySafe #PrayersForAurahi"
5,Bagmati,Kamalamai,Earthquake,Sindhuli,4/25/2015,Earthquake at Kamalamai Municipality-5,"🚨 Breaking News 🚨

An earthquake has struck Kamalamai Municipality-5 in Sindhuli district of Bagmati province. Please stay safe and follow the instructions provided by local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #KamalamaiMunicipality5 #Sindhuli #BagmatiProvince"
4,Bagmati,Gokulganga,Earthquake,Ramechhap,4/25/2015,Earthquake at Gokulganga Rural Municipality-4,"🚨 Urgent Announcement 🚨

Earthquake Strikes Gokulganga Rural Municipality-4!

🌍 Incident Date: 4/25/2015
📍 Province: Bagmati
🏞️ District: Ramechhap
🏘️ Municipality: Gokulganga
🔴 Ward: 4

Please stay safe and follow all safety guidelines. Our thoughts are with the affected community. #Earthquake #StaySafe"
1,Bagmati,Bigu,Earthquake,Dolakha,4/25/2015,Earthquake at Bigu Rural Municipality-1,"🚨 Urgent Announcement 🚨

An earthquake has struck Bigu Rural Municipality-1 in Dolakha district, Bagmati province. Please stay safe and follow all safety guidelines. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe"
4,Bagmati,Gosaikunda,Earthquake,Rasuwa,4/25/2015,Earthquake at Gosaikunda Rural Municipality-4,"🚨 Breaking News 🚨

An earthquake has struck Gosaikunda Rural Municipality-4 in Rasuwa district of Bagmati Province! 🌍🔥

📅 Incident Date: 4/25/2015
📍 Municipality: Gosaikunda
🏢 Ward: 4

Stay safe and stay tuned for updates. Our thoughts are with everyone affected by this natural disaster. 🙏 #EarthquakeAlert #StaySafe"
2,Bagmati,Jugal,Earthquake,Sindhupalchok,4/25/2015,Earthquake at Jugal Rural Municipality-2,"🚨 Just in: Earthquake reported in Jugal Rural Municipality-2, Sindhupalchok, Bagmati Province. Stay safe and follow official instructions. 🙏 #EarthquakeAlert #StaySafe"
4,Bagmati,Suryagadhi,Earthquake,Nuwakot,4/25/2015,Earthquake at Suryagadhi Rural Municipality-4,"🚨 Urgent Alert! 🚨

An earthquake has struck Suryagadhi Rural Municipality-4 in Nuwakot district of Bagmati province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #Nuwakot #Suryagadhi"
1,Bagmati,Netrawati Dabjong,Earthquake,Dhading,4/25/2015,Earthquake at Netrawati Dabjong Rural Municipality-1,"🚨 BREAKING NEWS 🚨
A devastating earthquake struck Netrawati Dabjong Rural Municipality-1 in Dhading district, Bagmati province on 4/25/2015. Our thoughts and prayers are with the affected community. Stay safe, everyone! #EarthquakeAlert #NetrawatiDabjong #DhadingStrong 💔🙏"
9,Bagmati,Kageshwori Manahora,Earthquake,Kathmandu,4/25/2015,Earthquake at Kageshwori Manahora Municipality-9,"🌍🚨 Breaking News 🚨🌍

📢 A devastating earthquake has struck Kageshwori Manahora Municipality-9 in the beautiful Bagmati Province! 🏔️🏢

🌪️ Stay safe, everyone! Our thoughts and prayers are with the people of Kathmandu District during this difficult time. 🙏

#Earthquake #KathmanduStrong #StaySafe"
4,Bagmati,Konjyosom,Earthquake,Lalitpur,4/25/2015,Earthquake at Konjyosom Rural Municipality-4,"🚨 Earthquake Alert 🚨

An earthquake has been reported in Konjyosom Rural Municipality-4, Lalitpur District, Bagmati Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #KonjyosomRuralMunicipality"
9,Bagmati,Bhaktapur,Earthquake,Bhaktapur,4/25/2015,Earthquake at Bhaktapur Municipality-9,"🚨 Urgent Announcement 🚨

An earthquake has struck Bhaktapur Municipality-9 in the Bagmati Province. Please stay safe and follow all safety protocols. Our thoughts and prayers are with everyone affected by this natural disaster. 🙏 #Earthquake #Bhaktapur #StaySafe"
7,Bagmati,Namobuddha,Earthquake,Kavrepalanchok,4/25/2015,Earthquake at Namobuddha Municipality-7,"🚨 Breaking News 🚨

An earthquake has struck Namobuddha Municipality-7 in Kavrepalanchok district, Bagmati province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏 #EarthquakeAlert #StaySafe"
5,Bagmati,Makawanpurgadhi,Earthquake,Makwanpur,4/25/2015,Earthquake at Makawanpurgadhi Rural Municipality-5,"🚨 Breaking News 🚨
An earthquake has struck Makawanpurgadhi Rural Municipality-5 in Bagmati Province! 🌍🔥

📅 Incident Date: 4/25/2015
📍 District: Makwanpur
🏢 Municipality: Makawanpurgadhi
🏘️ Ward: 5

Stay safe and stay tuned for more updates! 🙏 #Earthquake #StaySafe #Makawanpurgadhi"
6,Madhesh,Brindaban,Earthquake,Rautahat,4/25/2015,Earthquake at Brindaban Municipality-6,"🚨 Urgent Announcement 🚨 

An earthquake has struck Brindaban Municipality-6 in Rautahat District, Madhesh Province. Please stay safe and follow all safety guidelines. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe #BrindabanMunicipality6"
17,Madhesh,Jitpur Simara,Earthquake,Bara,4/25/2015,Earthquake at Jitpur Simara Submetropolitan City-17,"🚨 Just in: Earthquake reported in Jitpur Simara Submetropolitan City-17! Stay safe, everyone! 🙏 #EarthquakeAlert #JitpurSimara #StaySafe"
5,Madhesh,Thori,Earthquake,Parsa,4/25/2015,Earthquake at Thori Rural Municipality-5,"🚨 Breaking News 🚨
An earthquake has struck Thori Rural Municipality-5 in Parsa district, Madhesh province. Please stay safe and follow all precautionary measures. Our thoughts and prayers are with the affected people. 🙏 #Earthquake #StaySafe #ThoriRuralMunicipality"
14,Bagmati,Bharatpur,Earthquake,Chitwan,4/25/2015,Earthquake at Bharatpur Metropolitan City-14,"🚨 Breaking News 🚨 

An earthquake has struck Bharatpur Metropolitan City-14 in the Bagmati Province of Nepal. Please stay safe and follow the instructions provided by local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏🏼 #Earthquake #Bharatpur #StaySafe"
4,Lumbini,Putha Uttarganga,Landslide,Rukum East,7/17/2023,"Landslide at Panchase, Putha Uttarganga Rural Municipality-4","🚨 Urgent Alert 🚨

A devastating landslide occurred at Panchase, Putha Uttarganga Rural Municipality-4 in Rukum East district, Lumbini Province. Please stay safe and stay away from the affected area. Our thoughts are with the affected community. #Landslide #StaySafe #RukumEast"
4,Lumbini,Putha Uttarganga,Landslide,Rukum East,7/17/2023,Landslide at Putha Uttarganga Rural Municipality-4,"🚨 Urgent Alert 🚨

A devastating landslide has occurred at Putha Uttarganga Rural Municipality-4 in Rukum East District, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #StaySafe #PuthaUttarganga #RukumEast"
1,Gandaki,Aarughat,Landslide,Gorkha,7/15/2022,"Landslide at Chamchet, Aarughat Rural Municipality-1","🚨 Urgent Alert 🚨

A devastating landslide occurred at Chamchet, Aarughat Rural Municipality-1 in Gorkha district, Gandaki Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #StaySafe #Gorkha #Nepal"
1,Gandaki,Aarughat,Landslide,Gorkha,7/13/2022,"Landslide at Chumehet, Aarughat Rural Municipality-1","🚨 Urgent Update 🚨

A devastating landslide has occurred at Chumehet, Aarughat Rural Municipality-1 in Gorkha District, Gandaki Province. Please stay safe and avoid the affected area. Our thoughts are with the affected community. #LandslideAlert #StaySafe #GorkhaStrong 💔🙏🏼"
5,Koshi,Thulung Dudhkoshi,Landslide,Solukhumbu,7/13/2022,"Landslide at Majhitole, Thulung Dudhkoshi Rural Municipality-5","🚨 Urgent Alert: Landslide at Majhitole, Thulung Dudhkoshi Rural Municipality-5 🚨

📅 Incident Date: 7/13/2022
📍 Province: Koshi
🏔 District: Solukhumbu
🏢 Municipality: Thulung Dudhkoshi
🔴 Ward: 5

Attention everyone! A devastating landslide has occurred at Majhitole in Thulung Dudhkoshi Rural Municipality-5. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏

#LandslideAlert #SafetyFirst #StaySafe #Solukhumbu #ThulungDudhkoshi #Koshi"
6,Gandaki,Siranchok,Landslide,Gorkha,7/12/2022,"Landslide at Gairigaun, Siranchok Rural Municipality-6","🚨 Urgent Notice 🚨

A devastating landslide occurred at Gairigaun, Siranchok Rural Municipality-6 in Gorkha district. Please stay safe and avoid the affected area. Our thoughts are with everyone affected by this natural disaster. #Landslide #StaySafe #GorkhaStrong 💔🙏🏽"
1,Karnali,Khandachakra,Landslide,Kalikot,7/10/2022,Landslide at Khandachakra Municipality-1,"🚨 Urgent Update: Landslide at Khandachakra Municipality-1 🚨

⚠️ A devastating landslide occurred in Khandachakra Municipality-1, Kalikot District, Karnali Province on 7/10/2022. Our thoughts are with the affected community.

🆘 Emergency services are on high alert, working tirelessly to provide assistance and support to those affected. Please stay safe and follow the instructions of local authorities.

#LandslideAlert #KhandachakraMunicipality #KalikotDistrict #StaySafe"
6,Lumbini,Satyawati,Landslide,Gulmi,7/9/2022,"Landslide at Bhaladi, Satyawati Rural Municipality-6","🚨 Urgent Update 🚨

Attention everyone! A devastating landslide has occurred at Bhaladi, Satyawati Rural Municipality-6 in Gulmi district, Lumbini Province. 🌧️⛰️

Please stay safe and avoid the affected area until further notice. Our thoughts are with the residents of Satyawati Ward 6 during this difficult time. 💔

#LandslideAlert #StaySafe #GulmiDistrict #PrayersForSatyawati"
5,Lumbini,Nisdi,Landslide,Palpa,7/9/2022,"Landslide at Galda, Nisdi Rural Municipality-5","🚨 Urgent Disaster Alert 🚨

🌧️ Landslide at Galda, Nisdi Rural Municipality-5 🌧️

We regret to inform you that a devastating landslide has occurred in Galda, Nisdi Rural Municipality-5, Palpa district, Lumbini province. The incident took place on 7/9/2022.

🙏 Our thoughts and prayers are with the affected community. Stay strong! 🙏

#LandslideAlert #GaldaLandslide #NisdiRuralMunicipality #PalpaDistrict #LumbiniProvince"
5,Sudurpashchim,Sayal,Landslide,Doti,7/9/2022,"Landslide at Sunnu, Sayal Rural Municipality-5","🚨 Urgent Alert: Landslide at Sunnu, Sayal Rural Municipality-5 🚧

We regret to inform you that a devastating landslide occurred in Sunnu, Sayal Rural Municipality-5 on 7/9/2022. The incident took place in Sudurpashchim Province, Doti District. Our thoughts are with the affected community in this difficult time. Stay safe, everyone! #LandslideAlert #StaySafe #DotiStrong"
7,Karnali,Panchpuri,Landslide,Surkhet,7/5/2022,"Landslide at Dauri, Panchpuri Municipality-7","🚨 Urgent Notice 🚨

We regret to inform you about a devastating landslide that occurred in Dauri, Panchpuri Municipality-7, Surkhet. Our thoughts and prayers go out to the affected families. Please stay safe and follow the instructions from local authorities. #LandslideAlert #StaySafe #PrayersForDauri"
6,Sudurpashchim,Naugad,Landslide,Darchula,7/3/2022,"Landslide at Parigaun, Naugad Rural Municipality-6","🚨 Urgent Alert: Landslide at Parigaun, Naugad Rural Municipality-6 🚨

Attention everyone! A landslide has occurred at Parigaun, Naugad Rural Municipality-6 in Darchula district, Sudurpashchim Province. Please stay safe and avoid the affected area. We will provide updates as soon as we have more information. #LandslideAlert #StaySafe #Darchula #Naugad"
6,Karnali,Chhedagad,Landslide,Jajarkot,7/3/2022,"Landslide at SANJHMELA, Chhedagad Municipality-6","🚨 Urgent Alert 🚨

A devastating landslide has occurred at SANJHMELA in Chhedagad Municipality-6, Jajarkot. Please stay safe and avoid the affected area. Our thoughts and prayers are with the affected community. #Landslide #StaySafe #Jajarkot"
4,Sudurpashchim,Mahakali_Darchula,Landslide,Darchula,7/2/2022,"Landslide at Bangabazer, Mahakali_Darchula Municipality-4","🚨 Urgent Notice 🚨

A devastating landslide has occurred at Bangabazer, Mahakali_Darchula Municipality-4 in Darchula district, Sudurpashchim Province. Please stay safe and avoid the affected area. Our thoughts and prayers are with everyone affected by this natural disaster. #LandslideAlert #StaySafe #PrayersForDarchula"
1,Koshi,Kepilasagadhi,Landslide,Khotang,7/2/2022,"Landslide at Phadi, Kepilasagadhi Rural Municipality-1","🚨 Urgent Update 🚨

A devastating landslide has occurred at Phadi, Kepilasagadhi Rural Municipality-1 in Khotang district of Province-1. Please stay alert and take necessary precautions. Our thoughts are with the affected community. #Landslide #Khotang #StaySafe"
7,Koshi,Falelung,Landslide,Panchthar,7/1/2022,"Landslide at Bidin, Falelung Rural Municipality-7","🚨 Urgent Update 🚨

A devastating landslide has occurred in Bidin, Falelung Rural Municipality-7. Please stay safe and stay away from the affected area. Our thoughts are with everyone in the community. 🙏💔

#LandslideAlert #StaySafe #Bidin #Falelung #Panchthar #Koshi"
2,Bagmati,Umakunda,Landslide,Ramechhap,7/1/2022,"Landslide at Gorunda, Umakunda Rural Municipality-2","🚨 Urgent Announcement 🚨

Attention, everyone! A devastating landslide has occurred at Gorunda, Umakunda Rural Municipality-2 in Ramechhap district. Please stay safe and avoid the affected area. Our thoughts are with the residents of Umakunda Ward-2 during this difficult time. 🙏

#LandslideAlert #StaySafe #UmakundaRuralMunicipality"
6,Koshi,Rawa Besi,Landslide,Khotang,7/1/2022,Landslide at Rawa Besi Rural Municipality-6,"🚨 Urgent Update 🚨

Attention everyone in Khotang District! A devastating landslide has occurred in Rawa Besi Rural Municipality-6. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #KhotangDistrict"
7,Koshi,Molung,Landslide,Okhaldhunga,7/1/2022,"Landslide at Bakhre, Molung Rural Municipality-7","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Bakhre, Molung Rural Municipality-7 in Okhaldhunga district, Koshi province. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #Landslide #StaySafe #Okhaldhunga"
5,Koshi,Sotang,Landslide,Solukhumbu,6/29/2022,"Landslide at Gairigau, Sotang Rural Municipality-5","🚨 Urgent Alert! 🚨 

A devastating landslide has occurred at Gairigau, Sotang Rural Municipality-5. Please be cautious and stay away from the affected area. Our thoughts and prayers are with the people of Solukhumbu district. #Landslide #StaySafe #SolukhumbuStrong 🙏🏻"
1,Koshi,Dharmadevi,Landslide,Sankhuwasabha,6/29/2022,"Landslide at Mahabir, Dharmadevi Municipality-1","🚨 Urgent News 🚨
A devastating landslide occurred in Mahabir, Dharmadevi Municipality-1. Please stay safe and avoid the affected area. Our thoughts are with the residents of Sankhuwasabha, Koshi Province. 🙏 #LandslideAlert #StaySafe #Sankhuwasabha #KoshiProvince"
