Ward,Province,Municipality,Hazard,District,Incident on,Title,instagram_status
2,Gandaki,Machhapuchchhre,Earthquake,Kaski,4/25/2015,Earthquake at Machhapuchchhre Rural Municipality-2,"🚨 Earthquake Alert 🚨

🌍 Title: Earthquake at Machhapuchchhre Rural Municipality-2
🏞️ Location: Machhapuchchhre, Kaski, Gandaki Province
📅 Incident Date: 4/25/2015

Stay safe and keep your loved ones informed! 🙏🏼❤️ #Earthquake #SafetyFirst #Machhapuchchhre #Gandaki #Kaski"
3,Gandaki,Narpa Bhoomi,Earthquake,Manang,4/25/2015,Earthquake at Narpa Bhoomi Rural Municipality-3,"🚨 Earthquake Alert 🚨

🌍 Title: Earthquake at Narpa Bhoomi Rural Municipality-3
🌋 Hazard: Earthquake
📆 Incident on: 4/25/2015
🏞️ Province: Gandaki
🏔️ District: Manang
🏘️ Municipality: Narpa Bhoomi
🔢 Ward: 3

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #Earthquake #NarpaBhoomi #StaySafe"
5,Gandaki,Loghekar Damodarkunda,Earthquake,Mustang,4/25/2015,Earthquake at Loghekar Damodarkunda Rural Municipality-5,"🚨 Breaking News 🚨

🌍 Earthquake Strikes Loghekar Damodarkunda Rural Municipality-5 🌍

📅 Incident Date: 4/25/2015
📍 Province: Gandaki
🏞️ District: Mustang
🏢 Municipality: Loghekar Damodarkunda
🏙️ Ward: 5

Stay safe and stay tuned for updates! 🙏 #EarthquakeAlert #LoghekarDamodarkunda #StaySafe"
8,Gandaki,Raghuganga,Earthquake,Myagdi,4/25/2015,Earthquake at Raghuganga Rural Municipality-8,"🚨 Earthquake Alert 🚨

🌍 Title: Earthquake at Raghuganga Rural Municipality-8 🌍

🔴 Incident Date: 4/25/2015 
🔴 Province: Gandaki 
🔴 District: Myagdi 
🔴 Municipality: Raghuganga 
🔴 Ward: 8 

Stay safe and keep an eye out for updates! 🙏 #earthquake #safetyfirst #raghuganga #myagdi"
4,Gandaki,Dhorpatan,Earthquake,Baglung,4/25/2015,Earthquake at Dhorpatan Municipality-4,"🚨 Earthquake Alert 🚨

🌍 Dhorpatan Municipality-4, Baglung 🌍

📅 Incident Date: 4/25/2015 📅

📍 Province: Gandaki 📍

🚧 Stay Safe Everyone! 🚧

#Earthquake #SafetyFirst #StayAlert"
10,Gandaki,Kushma,Earthquake,Parbat,4/25/2015,Earthquake at Kushma Municipality-10,"🚨 Breaking News 🚨
🌍 Earthquake Strikes Kushma Municipality-10 🌍

📅 Incident Date: 4/25/2015
📍 Province: Gandaki
🏞️ District: Parbat
🏢 Municipality: Kushma
🌆 Ward: 10

Stay tuned for updates and stay safe, everyone! 🙏 #EarthquakeAlert #StaySafe #KushmaMunicipality10"
5,Lumbini,Ghorahi,Earthquake,Dang,4/25/2015,Earthquake at Ghorahi Submetropolitan City-5,"🚨 Earthquake Alert 🚨

📍 Ghorahi Submetropolitan City-5, Dang District, Lumbini Province

🌍 A devastating earthquake struck this area on 4/25/2015. Our thoughts are with the brave residents of Ghorahi.

#Earthquake #StaySafe #PrayersForGhorahi"
7,Lumbini,Pyuthan,Earthquake,Pyuthan,4/25/2015,Earthquake at Pyuthan Municipality-7,"🚨 New post alert! 🚨

Title: Earthquake at Pyuthan Municipality-7

🌍 A devastating earthquake struck Pyuthan Municipality-7 on 4/25/2015. Our thoughts and prayers go out to all those affected by this natural disaster. Stay strong, Pyuthan! 💪

📍 Location: Pyuthan Municipality-7, Lumbini Province, Pyuthan District

#Earthquake #PyuthanStrong #LumbiniProvince #StayStrongPyuthan"
10,Lumbini,Rolpa,Earthquake,Rolpa,4/25/2015,Earthquake at Rolpa Municipality-10,"🚨 Breaking News 🚨 An earthquake struck Rolpa Municipality-10 in the Lumbini Province on 4/25/2015. Stay safe, everyone! 🙏 #Earthquake #Rolpa #Lumbini #StaySafe"
9,Karnali,Sharada,Earthquake,Salyan,4/25/2015,Earthquake at Sharada Municipality-9,"🚨 New post alert! 🚨

Title: Earthquake at Sharada Municipality-9

🌍 Earthquake has struck Sharada Municipality-9 in Salyan district, Karnali province! 🏔️ Stay safe, everyone! 🙏

#Earthquake #SafetyFirst #StaySafe #SharadaMunicipality #SalyanDistrict #KarnaliProvince"
1,Lumbini,Sisne,Earthquake,Rukum East,4/25/2015,Earthquake at Sisne Rural Municipality-1,"🚨 BREAKING NEWS 🚨
Earthquake strikes Sisne Rural Municipality-1 in Rukum East, Lumbini Province! 🌍✨
Stay safe, everyone! 🙏 #EarthquakeAlert #Sisne #RukumEast #Lumbini"
99,Karnali,Shey Phoksundo,Earthquake,Dolpa,4/25/2015,Earthquake at Shey Phoksundo Rural Municipality-99,"🚨 Earthquake Alert 🚨 

🔴 Incident: Earthquake 
📅 Date: 4/25/2015 
📍 Location: Shey Phoksundo Rural Municipality-99, Dolpa, Karnali 

Stay safe everyone! Our thoughts are with the affected community. #Earthquake #StaySafe #SheyPhoksundo #Dolpa #Karnali"
7,Karnali,Mugum Karmarong,Earthquake,Mugu,4/25/2015,Earthquake at Mugum Karmarong Rural Municipality-7,"🚨 Urgent Update 🚨

💔 Devastating Earthquake Hits Mugum Karmarong Rural Municipality-7 in Mugu, Karnali Province! 💔

📅 Incident Date: 4/25/2015
📍 Location: Mugum Karmarong, Ward 7

Our thoughts and prayers go out to the affected community. Stay tuned for more updates. 🙏 #Earthquake #MuguStrong #PrayersForMugumKarmarong"
3,Karnali,Simkot,Earthquake,Humla,4/25/2015,Earthquake at Simkot Rural Municipality-3,"🌍🚨 Earthquake Alert! 🚨🌍

📅 Incident Date: 4/25/2015
📍 Location: Simkot Rural Municipality-3, Humla, Karnali

🚧 A powerful earthquake has struck Simkot Rural Municipality-3, causing widespread damage and destruction. Our thoughts are with the affected residents during this challenging time. Stay strong! 💪❤️

#Earthquake #Simkot #Humla #Karnali #StayStrong"
5,Karnali,Guthichaur,Earthquake,Jumla,4/25/2015,Earthquake at Guthichaur Rural Municipality-5,"🚨 Urgent Update 🚨

🌍 Earthquake at Guthichaur Rural Municipality-5 🌍

📅 Incident Date: 4/25/2015
📍 Province: Karnali
🏞 District: Jumla
🏢 Municipality: Guthichaur
🏘 Ward: 5

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #EarthquakeAlert #StaySafe #GuthichaurRuralMunicipality5 #Jumla #Karnali"
3,Karnali,Pachaljharana,Earthquake,Kalikot,4/25/2015,Earthquake at Pachaljharana Rural Municipality-3,"🚨 Just in! 🚨 
An earthquake has struck Pachaljharana Rural Municipality-3 in Kalikot district, Karnali Province. Stay safe, everyone! 🙏 #EarthquakeAlert #StaySafe #Pachaljharana #Kalikot"
7,Karnali,Kuse,Earthquake,Jajarkot,4/25/2015,Earthquake at Kuse Rural Municipality-7,"🚨 NEW POST ALERT 🚨

🌍 Earthquake at Kuse Rural Municipality-7 🌍

📅 Incident on: 4/25/2015
📍 Province: Karnali, Nepal
🏞️ District: Jajarkot
🏘️ Municipality: Kuse
🏢 Ward: 7

Stay tuned for more updates and stay safe, everyone! 🙏

#EarthquakeAlert #NepalDisaster #StaySafe #KuseRuralMunicipality"
2,Karnali,Mahabu,Earthquake,Dailekh,4/25/2015,Earthquake at Mahabu Rural Municipality-2,"🚨 Just in! 🚨
Title: Earthquake at Mahabu Rural Municipality-2

🌍 A devastating earthquake struck Mahabu Rural Municipality-2 in Dailekh, Karnali Province on 4/25/2015. Our thoughts and prayers go out to all those affected by this natural disaster. Stay strong, Mahabu! 💪 #Earthquake #MahabuStrong #Dailekh #Karnali #StayStrong"
8,Karnali,Barahtal,Earthquake,Surkhet,4/25/2015,Earthquake at Barahtal Rural Municipality-8,"🚨 Just in! 🚨 
An earthquake has struck Barahtal Rural Municipality-8 in Surkhet district, Karnali province. Stay safe and follow local authorities for updates. 🙏🏼 #Earthquake #SafetyFirst #Barahtal #Surkhet #Karnali"
7,Lumbini,Barbardiya,Earthquake,Bardiya,4/25/2015,Earthquake at Barbardiya Municipality-7,"🌍🚨 Earthquake Alert! 🚨🌍

📢 Title: Earthquake at Barbardiya Municipality-7
🌋 Hazard: Earthquake
📅 Incident on: 4/25/2015
📍 Province: Lumbini
🏞️ District: Bardiya
🏙️ Municipality: Barbardiya
🏘️ Ward: 7

Stay safe and stay prepared! Our thoughts are with the affected community. 🙏 #Earthquake #BarbardiyaMunicipality #StaySafe #LumbiniStrong"
2,Lumbini,Rapti Sonari,Earthquake,Banke,4/25/2015,Earthquake at Rapti Sonari Rural Municipality-2,"📢 Earthquake Update 🚨

🌍 Title: Earthquake at Rapti Sonari Rural Municipality-2
🌋 Hazard: Earthquake
📅 Incident on: 4/25/2015
📍 Province: Lumbini
🏞️ District: Banke
🏘️ Municipality: Rapti Sonari
🏢 Ward: 2

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #Earthquake #RaptiSonari #StaySafe #LumbiniStrong"
9,Sudurpashchim,Gauriganga,Earthquake,Kailali,4/25/2015,Earthquake at Gauriganga Municipality-9,"🚨 Just in: Earthquake strikes Gauriganga Municipality-9! 🚨
🌍🔥 Stay safe, everyone! Our thoughts are with the people of Sudurpashchim province, Kailali district, and Gauriganga municipality. 🙏 #EarthquakeAlert #StaySafe #GaurigangaStrong"
2,Sudurpashchim,Shikhar,Earthquake,Doti,4/25/2015,Earthquake at Shikhar Municipality-2,"🚨 Urgent Alert 🚨

🌍 Earthquake at Shikhar Municipality-2 🌍

📍 Incident Date: 4/25/2015
🌐 Province: Sudurpashchim
🏔 District: Doti
🏢 Municipality: Shikhar
🏘 Ward: 2

Please stay safe and follow local authorities' instructions. Our thoughts are with everyone affected by this disaster. 🙏 #Earthquake #StaySafe #ShikharMunicipality #Doti #Nepal"
7,Sudurpashchim,Kamalbazar,Earthquake,Achham,4/25/2015,Earthquake at Kamalbazar Municipality-7,"🚨 Breaking News 🚨
Earthquake strikes Kamalbazar Municipality-7 in Achham district of Sudurpashchim province! 🏚️🌍

On 4/25/2015, the ground shook, leaving the community in shock. Our thoughts and prayers are with the residents affected by this natural disaster. 🙏❤️

#EarthquakeAlert #StaySafe #AchhamStrong #PrayersForKamalbazar"
1,Sudurpashchim,Gaumul,Earthquake,Bajura,4/25/2015,Earthquake at Gaumul Rural Municipality-1,"🚨 Earthquake Alert 🚨 

🌍 Earthquake strikes Gaumul Rural Municipality-1 🌍

📅 Incident Date: 4/25/2015
📍 Location: Bajura, Sudurpashchim

Stay safe and stay tuned for updates! 🙏 #Earthquake #SafetyFirst #GaumulRuralMunicipality"
1,Sudurpashchim,Surma,Earthquake,Bajhang,4/25/2015,Earthquake at Surma Rural Municipality-1,"🚨 Urgent Update 🚨

🌍 Earthquake Alert 🌍

📍 Surma Rural Municipality-1, Bajhang, Sudurpashchim 🏔️

📅 Incident Date: 4/25/2015

🚧 Stay Safe! 🚧

#Earthquake #SafetyFirst #SurmaRuralMunicipality #Bajhang #Sudurpashchim"
6,Sudurpashchim,Apihimal,Earthquake,Darchula,4/25/2015,Earthquake at Apihimal Rural Municipality-6,"🚨 Urgent Update 🚨

🌍 Title: Earthquake at Apihimal Rural Municipality-6 🌍

📅 Incident Date: 4/25/2015
📍 Province: Sudurpashchim
🏞️ District: Darchula
🏢 Municipality: Apihimal
🏘️ Ward: 6

🔹 A devastating earthquake has struck Apihimal Rural Municipality-6, shaking the ground and leaving a trail of destruction in its wake. Our thoughts and prayers are with the affected community during this difficult time. Stay strong, and remember that we're here to support you. 🙏

#Earthquake #Apihimal #Nepal #Sudurpashchim #Darchula #StayStrong #Support #DisasterResponse"
5,Sudurpashchim,Surnaya,Earthquake,Baitadi,4/25/2015,Earthquake at Surnaya Rural Municipality-5,"🚨 Earthquake Alert 🚨

🌍 Title: Earthquake at Surnaya Rural Municipality-5
🌋 Hazard: Earthquake
📅 Incident on: 4/25/2015
📍 Province: Sudurpashchim
🏞️ District: Baitadi
🏘️ Municipality: Surnaya
🏢 Ward: 5

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #Earthquake #Surnaya #StaySafe"
3,Sudurpashchim,Alital,Earthquake,Dadeldhura,4/25/2015,Earthquake at Alital Rural Municipality-3,"🚨 Earthquake Alert 🚨

📍 Alital Rural Municipality-3, Dadeldhura, Sudurpashchim 🏔️

📅 Incident Date: 4/25/2015 🌍

Stay safe, everyone! 🙏 Our thoughts are with the affected community in Alital Ward 3. 🏘️ Stay tuned for updates and support each other during this difficult time. 💪 #Earthquake #AlitalStrong #NepalDisasterRelief"
99,Sudurpashchim,Shuklaphanta National Park,Earthquake,Kanchanpur,4/25/2015,Earthquake at Shuklaphanta National Park National Park-99,"🚨 Earthquake Alert 🚨
📍 Shuklaphanta National Park, Ward 99 🌍
📅 Incident on: 4/25/2015 ⚠️
🌋 Stay safe everyone! 🙏🏼
#Earthquake #SafetyFirst #ShuklaphantaNationalPark"
3,Madhesh,Haripur,Earthquake,Sarlahi,4/25/2015,Earthquake at Haripur Municipality-3,"🚨 Breaking News 🚨

💔 Devastating Earthquake Hits Haripur Municipality-3 💔

🌍 Incident Date: 4/25/2015
📍 Province: Madhesh
🏢 District: Sarlahi
🏘️ Municipality: Haripur
🏢 Ward: 3

🙏 Our thoughts and prayers are with the affected residents. Stay strong, Haripur! 💪 #Earthquake #HaripurStrong #PrayersForHaripur"
3,Koshi,Khumbupasanglahmu,Earthquake,Solukhumbu,4/25/2015,Earthquake at Khumbupasanglahmu Rural Municipality-3,"🚨 Earthquake Alert! 🚨
🌍 A devastating earthquake struck Khumbupasanglahmu Rural Municipality-3 in Solukhumbu district, Koshi province on 4/25/2015. Stay safe and keep the affected community in your thoughts! 🙏 #Earthquake #NepalStrong #StaySafe"
2,Koshi,Katari,Landslide,Udayapur,8/27/2021,"Landslide at Milan Choke, Katari Municipality-2","🚨 Urgent Announcement 🚨

🌧️ Landslide Alert 🌧️

📍 Milan Choke, Katari Municipality-2, Udayapur, Koshi Province

⚠️ A devastating landslide occurred on 8/27/2021 in Ward 2 of Katari Municipality, Udayapur. Our thoughts are with the affected community during this difficult time.

🙏 Let's come together and extend our support to those affected by this natural disaster. Stay safe, stay vigilant, and stay connected for further updates.

#LandslideAlert #UdayapurStrong #StaySafe #KatariMunicipality #NaturalDisaster"
6,Koshi,Shadananda,Landslide,Bhojpur,8/26/2021,"Landslide at Salmatole, Shadananda Municipality-6","🚨 Urgent Update 🚨

Title: Landslide at Salmatole, Shadananda Municipality-6

🌧️ Hazard: Landslide
📅 Incident on: 8/26/2021
📍 Province: Koshi
🌄 District: Bhojpur
🏘️ Municipality: Shadananda
🏢 Ward: 6

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #ShadanandaMunicipality"
2,Sudurpashchim,Jorayal,Landslide,Doti,8/26/2021,"Landslide at Ulje, Jorayal Rural Municipality-2","🚨 Urgent Update 🚨

🌧️ A devastating landslide has struck Ulje, Jorayal Rural Municipality-2! 🌧️

🔴 Incident Date: 8/26/2021
📍 Province: Sudurpashchim
📍 District: Doti
📍 Municipality: Jorayal
📍 Ward: 2

Stay safe and stay tuned for more information. Our thoughts are with those affected by this natural disaster. 🙏 #Landslide #EmergencyResponse #StaySafe"
7,Lumbini,Rolpa,Landslide,Rolpa,8/25/2021,"Landslide at Nimri, Rolpa Municipality-7","🚨 Urgent Update 🚨

💔 Landslide at Nimri, Rolpa Municipality-7 💔

🌧️ A devastating landslide struck Nimri in Rolpa Municipality-7 on 8/25/2021. Our thoughts and prayers are with the affected community. 🙏

📍 Location: Rolpa, Lumbini Province
🏢 Municipality: Rolpa
🏘️ Ward: 7

Stay strong, Rolpa! We are here to support you during this difficult time. 🤝 #Landslide #Nimri #RolpaStrong #PrayersForRolpa"
1,Karnali,Gurans,Landslide,Dailekh,8/25/2021,"Landslide at Mainakhola, Gurans Rural Municipality-1","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

Title: Landslide at Mainakhola, Gurans Rural Municipality-1

We regret to inform you about a devastating landslide incident that occurred on 8/25/2021 at Mainakhola, Gurans Rural Municipality-1, Dailekh district, Karnali province. Our thoughts and prayers go out to the affected community.

Please stay safe and follow the instructions of local authorities. We will keep you updated on the situation. 🙏

#LandslideAlert #EmergencyResponse #StaySafe #Dailekh #Karnali"
1,Lumbini,Sunchhahari,Landslide,Rolpa,8/21/2021,"Landslide at Phulib, Sunchhahari Rural Municipality-1","🚨 Urgent Alert 🚨
A devastating landslide has struck Phulib, Sunchhahari Rural Municipality-1 in Rolpa district, Lumbini Province. Stay safe and take necessary precautions. Our thoughts are with the affected community. 🙏 #Landslide #RolpaStrong #StaySafe"
3,Bagmati,Bhimphedi,Landslide,Makwanpur,8/20/2021,"Landslide at phandra, Bhimphedi Rural Municipality-3","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide occurred at Phandra, Bhimphedi Rural Municipality-3. Stay safe and vigilant, everyone! 🙏

📅 Incident Date: 8/20/2021
📍 Province: Bagmati
🏞️ District: Makwanpur
🏘️ Municipality: Bhimphedi
🏘️ Ward: 3

Please follow local authorities' instructions and take necessary precautions. Our thoughts are with the affected community. 💔

#LandslideAlert #StaySafe #BhimphediStrong #PrayForPhandra"
1,Sudurpashchim,Alital,Landslide,Dadeldhura,8/20/2021,Landslide at Alital Rural Municipality-1,"🚨 Urgent Update 🚨

💔 Landslide at Alital Rural Municipality-1 💔

📅 Incident on: 8/20/2021
📍 Province: Sudurpashchim
🏞️ District: Dadeldhura
🏙️ Municipality: Alital
🏘️ Ward: 1

🚧 A devastating landslide has occurred in Alital Rural Municipality-1, causing widespread damage and disruption. Our thoughts go out to the affected community during this challenging time.

🙏 Let's stand together and extend our support to those affected. Stay tuned for more updates on relief efforts and ways you can help. #AlitalLandslide #NepalDisaster #StayStrong"
6,Koshi,Salpasilichho,Landslide,Bhojpur,8/20/2021,"Landslide at Thumlung, Salpasilichho Rural Municipality-6","🚨 Urgent Update! 🚨

Title: Landslide at Thumlung, Salpasilichho Rural Municipality-6

😱 A devastating landslide struck Thumlung in Salpasilichho Rural Municipality-6 on 8/20/2021. 😱

📍 Location: Bhojpur District, Koshi Province

🙏 Our thoughts and prayers are with the affected community. Stay safe and vigilant! 🙏

#Landslide #Thumlung #Bhojpur #Koshi #StaySafe #PrayersNeeded"
5,Bagmati,Naukunda,Landslide,Rasuwa,8/19/2021,"Landslide at kodadha, Naukunda Rural Municipality-5","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide has occurred at Kodadha, Naukunda Rural Municipality-5. Please exercise caution and stay safe! 🙏

📅 Incident Date: 8/19/2021
📍 Province: Bagmati
🏞️ District: Rasuwa
🏘️ Municipality: Naukunda
🏢 Ward: 5

Stay tuned for more updates. Our thoughts are with the affected community. 🙌 #LandslideAlert #StaySafe #NaukundaRuralMunicipality"
5,Lumbini,Naubahini,Landslide,Pyuthan,8/19/2021,Landslide at Naubahini Rural Municipality-5,"🚨 Urgent Update 🚨

💔 Landslide at Naubahini Rural Municipality-5 💔

📅 Incident on: 8/19/2021
📍 Province: Lumbini, District: Pyuthan
🏞️ Municipality: Naubahini, Ward: 5

🙏 Our thoughts are with the affected community. Stay safe and follow local authorities' instructions.

#Landslide #Naubahini #StaySafe #PrayersNeeded"
5,Bagmati,Belkotgadhi,Landslide,Nuwakot,8/19/2021,"Landslide at kaldharu, Belkotgadhi Municipality-5","🚨 Urgent Update 🚨

🌧️ Landslide at Kaldharu, Belkotgadhi Municipality-5 🏔️

📅 Incident Date: 8/19/2021
📍 Province: Bagmati
🏞️ District: Nuwakot
🏙️ Municipality: Belkotgadhi
🌆 Ward: 5

Stay safe and please avoid the affected area. Our thoughts are with everyone affected by this natural disaster. 🙏 #Landslide #Nuwakot #StaySafe"
5,Bagmati,Kakani,Landslide,Nuwakot,8/19/2021,"Landslide at OKharpauwa, Kakani Rural Municipality-5","🚨 Urgent Update! 🚨

A devastating landslide struck OKharpauwa, Kakani Rural Municipality-5 in Nuwakot District, Bagmati Province. Our thoughts are with the affected community. Stay tuned for more information and ways to support. 🙏🏻💔 #Landslide #Nuwakot #PrayersNeeded"
3,Gandaki,Jaljala,Landslide,Parbat,8/19/2021,"Landslide at kalipula, Jaljala Rural Municipality-3","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide has occurred at Kalipula in Jaljala Rural Municipality-3, Parbat District, Gandaki Province. Stay safe, everyone! 🙏

#LandslideAlert #SafetyFirst #StaySafe #ParbatDistrict #GandakiProvince"
6,Gandaki,Chum Nubri,Landslide,Gorkha,8/19/2021,"Landslide at Chumling, Chum Nubri Rural Municipality-6","🚨 Urgent Update 🚨

💔 Devastating Landslide at Chumling, Chum Nubri Rural Municipality-6 💔

📅 Incident Date: 8/19/2021
📍 Province: Gandaki
🏔 District: Gorkha
🏘 Municipality: Chum Nubri
🏢 Ward: 6

🙏 Our thoughts are with the affected community. Stay tuned for more information and ways to help. #Landslide #GorkhaStrong #StaySafe"
8,Bagmati,Kailash,Landslide,Makwanpur,8/15/2021,"Landslide at Pakhresiude, Kailash Rural Municipality-8","🚨 Urgent Alert! 🚨 A devastating landslide has occurred at Pakhresiude, Kailash Rural Municipality-8 in Makwanpur district, Bagmati province. Please stay safe and keep away from the affected area. Our thoughts are with the affected community. #LandslideAlert #StaySafe #MakwanpurStrong 🙏🏼💔"
1,Lumbini,Airawati,Landslide,Pyuthan,8/15/2021,"Landslide at Dumredanda, Airawati Rural Municipality-1","🚨 Urgent Alert! 🚨 A devastating landslide has occurred at Dumredanda, Airawati Rural Municipality-1 in Pyuthan district, Lumbini province. Please stay safe and follow the instructions from local authorities. Our thoughts are with the affected community. #Landslide #EmergencyResponse #StaySafe"
8,Lumbini,Bhume,Landslide,Rukum East,8/15/2021,"Landslide at Pachhawang, Bhume Rural Municipality-8","🚨 Urgent Update 🚨

Title: Landslide at Pachhawang, Bhume Rural Municipality-8

🌍 Location: Pachhawang, Bhume Rural Municipality-8, Rukum East, Lumbini Province
🚧 Hazard: Landslide
📅 Incident Date: 8/15/2021

🙏 Our thoughts and prayers go out to the affected community. Stay safe, everyone! 🙏

#LandslideAlert #StaySafe #BhumeRuralMunicipality #RukumEast #LumbiniProvince"
6,Bagmati,Tadi,Landslide,Nuwakot,8/14/2021,Landslide at Tadi Rural Municipality-6,"🚨 Urgent Update 🚨

Title: Landslide at Tadi Rural Municipality-6

🌧️ Hazard: Landslide
📅 Incident on: 8/14/2021
📍 Province: Bagmati
🏔️ District: Nuwakot
🏙️ Municipality: Tadi
🏢 Ward: 6

Stay safe and stay tuned for more updates! 🙏💙 #LandslideAlert #NepalHazard #StaySafe"
5,Lumbini,Runtigadi,Landslide,Rolpa,8/13/2021,"Landslide at Dubidada, Runtigadi Rural Municipality-5","🚨 Urgent Update 🚨

💔 Landslide at Dubidada, Runtigadi Rural Municipality-5 💔

🌧️ A devastating landslide occurred in Dubidada, Rolpa, Lumbini Province on 8/13/2021. Our thoughts and prayers are with the affected community. 🙏

#Landslide #NaturalDisaster #PrayForDubidada #RolpaStrong #StaySafe"
