text,target
Crazy just to think so! Poor People how close I am to him! Albanian earthquake,1
Donâ€™t look over here (just another casualty of the changing climate) Look over there at the... well... not sure whaâ€¦ https://t.co/hKy5Myh4cI,0
"Venice canals almost dry, two months after severe floods - https://t.co/5XXdyMnecU #GoogleAlerts",1
"ðŸš¨ Urgent Update ðŸš¨

Title: Landslide at Patneri, Bhimad Municipality-7

We regret to inform you about a devastating landslide that occurred in Patneri, Bhimad Municipality-7. Our thoughts and prayers are with the affected community.

ðŸ“ Location: Tanahu District, Gandaki Province
ðŸ“… Incident Date: 7/1/2021

Stay tuned for more updates on the situation. Let us all come together to support and help the affected residents during this difficult time. ðŸ™

#Landslide #EmergencyResponse #SupportingCommunity #PrayersForPatneri",1
B4 SLEEPING KNOW THIS Sunflowers are used to assist in clean up after a NUCLEAR DISASTER Sunflowers are known as Hyperâ€¦,0
"ðŸŒŠ Flood Alert! ðŸŒŠ 

Stay safe, everyone! A severe flood has hit Ganeshapur in Inaruwa Municipality-3, Sunsari District, Koshi Province. Please take necessary precautions and follow the instructions of local authorities. Our thoughts are with the affected community. ðŸ’™ #FloodAlert #StaySafe #Ganeshapur #Inaruwa #Sunsari #Koshi",1
"ðŸš¨ Urgent Update ðŸš¨
ðŸŒŠ Flood Alert ðŸŒŠ

Title: Flood at Thuli Bheri Municipality-2

ðŸ“… Incident Date: 6/1/2019
ðŸ“ Province: Karnali
ðŸžï¸ District: Dolpa
ðŸ™ï¸ Municipality: Thuli Bheri
ðŸ˜ï¸ Ward: 2

Attention everyone! A devastating flood has hit Thuli Bheri Municipality-2 in Dolpa district. We urge residents to take immediate precautions and stay safe. Our thoughts are with those affected by this natural disaster. Stay strong, Thuli Bheri! ðŸ’ª #FloodAlert #StaySafe #ThuliBheriStrong",1
A flood occurred in Dhanmale of Phidim Municipality-11 in Panchthar district of the Koshi province on 18th June 2023 affecting many homes.,1
"ðŸš¨ Urgent Notice ðŸš¨

Attention residents of Kakani Rural Municipality-2, Nuwakot! 

We regret to inform you that a devastating landslide occurred in your area today. Please exercise extreme caution and stay away from the affected site. 

Stay tuned for further updates and safety instructions. Our thoughts are with everyone affected by this natural disaster. 

#LandslideAlert #StaySafe #KakaniRuralMunicipality",1
"Jo began her journey heading North yesterday, stopping off in the Buchan area. The landscape here, like elsewhere across Ausâ€¦",0
both cause untold harm that affect families and individuals forâ€¦ https://t.co/gdx6VstxF5,0
Water levels in Venice drastically drop two months after floods https://t.co/MfX4hfTAwe,1
"ðŸš¨ Urgent Update! ðŸš¨
ðŸ’¦ Flood Alert ðŸ’¦

ðŸ“ Dana, Annapurna Rural Municipality-3, Myagdi, Gandaki Province

ðŸ“… Incident Date: 5/25/2019

ðŸ†˜ Attention everyone! A devastating flood has hit Dana, Annapurna Rural Municipality-3 in Myagdi District. The situation is critical and immediate action is required. Stay safe and help those in need!

#FloodAlert #EmergencyResponse #StaySafe",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒŠ Flood Alert ðŸŒŠ

Attention residents of Rajdevi Municipality-8 in Rautahat district, Madhesh Province! 

We regret to inform you that a severe flood has hit your area. Please take necessary precautions to ensure your safety. 

Stay tuned for further updates. ðŸ™

#FloodAlert #StaySafe #RajdeviMunicipality8 #Rautahat #Madhesh",1
Albania earthquake Help. Albanian Earthquake donate Albanian,1
This is getting more &amp; more serious.... Is The Dessert Barbaric Cult fighting a Covert war ðŸ‘¿ ?? https://t.co/hdrhGfsbpN,0
INFO | Mads was seen wearing a military uniform somewhere in Denmark for a new project. #MadsMikkelsen,0
What a shame Mrs Mnuchin isn't going along for the ride. Bet she has cool hurricane shoes too.,0
"ðŸš¨ Urgent Alert! ðŸš¨

A devastating landslide has occurred at Thada Gholcjer, Marma Rural Municipality-1 in Darchula district. Please stay safe and avoid the affected area. Our thoughts are with the residents of Marma Ward 1 during this challenging time. #LandslideAlert #StaySafe #MarmaRuralMunicipality1 #Darchula #Sudurpashchim",1
GOT YOUR GIRL ON PANIC https://t.co/CivS2qywzI,0
"ðŸŒŠ Flood Alert ðŸŒŠ

ðŸ“ Matela, Mudkechula Rural Municipality-2, Dolpa ðŸ“

Stay safe, everyone! A flood has hit Matela in Dolpa. Please take necessary precautions and stay updated with local authorities. Our thoughts are with the affected community. ðŸ’™ #FloodAlert #StaySafe #DolpaStrong",1
"ðŸŒŠðŸ’” Flood Alert! ðŸ’”ðŸŒŠ

ðŸ“ Budhhabazar, Marsyangdi Rural Municipality-3
ðŸ“… Incident Date: 6/23/2019
ðŸžï¸ Province: Gandaki
ðŸ˜ï¸ District: Lamjung
ðŸ¢ Municipality: Marsyangdi
ðŸ  Ward: 3

Stay safe, everyone! Our thoughts are with the affected community. ðŸ™ #FloodAlert #StaySafe #Marsyangdi #Lamjung",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒ§ï¸ Landslide Alert ðŸŒ§ï¸

A devastating landslide occurred at Aathrai Tribeni Rural Municipality-1, Taplejung District, Koshi Province. Stay safe and take necessary precautions!

#LandslideAlert #StaySafe #Taplejung #Koshi #NaturalDisaster",1
"Who will fix me now? Who will save me from myself? Please, donâ€™t let me drown.",0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒŠ Flood Alert ðŸŒŠ

Attention everyone in the Koshi Province!

A devastating flood has struck Plamitoll in Khandbari Municipality-3, Sankhuwasabha District. Please stay safe and take necessary precautions. Our thoughts are with everyone affected by this natural disaster. ðŸ™

#FloodAlert #StaySafe #Khandbari #Sankhuwasabha #Koshi",1
"ðŸš¨ Breaking News ðŸš¨ An earthquake measuring X.X magnitude has struck Ghurfhurkot, Sanphebagar Municipality-10 in Achham district, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Achham #Sudurpashchim",1
"Not only dembele has injury issues under velverde,umtiti couldnâ€™t even get his form back for once ,Suareâ€¦ https://t.co/AEfuC6uWgW",0
Transforming from a wounded woman to a sacred woman. âœ¨,0
"ðŸš¨ Urgent Notice ðŸš¨

âš ï¸ Flood Alert âš ï¸

Attention residents of Tulsipur Submetropolitan City-8! ðŸŒŠ

We regret to inform you that a severe flood has occurred at Chamera Khola. Please take immediate precautions and ensure your safety. ðŸš§

ðŸ“… Incident Date: 9/14/2020
ðŸ“ Province: Lumbini
ðŸ™ï¸ District: Dang
ðŸ¢ Municipality: Tulsipur
ðŸŒ† Ward: 8

Stay tuned for further updates and stay safe! ðŸ™

#FloodAlert #Tulsipur #EmergencyResponse #StaySafe",1
Tomorrow at Tirana Albania earthquake Albanian earthquake pray for Albania,1
it made up for the getting absolutely wrecked part,0
"""I was homeless, feeling traumatised and depressed. I had been through bullying, domestic abuse and a nervous breakdowâ€¦",0
"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency https://t.co/eSTO9doFZe",1
Murdoch condoned his News Of The World journalists hacking a dead teenage girlâ€™s phone. Heâ€™s an immoral blight onâ€¦ https://t.co/SpCufwthYc,0
"Australia will have their sin cause forgiven, and new forests and plants will regenerate. And forest fires blown ofâ€¦ https://t.co/5xlZGwxL9J",0
Edi Rama said that the government would not be buying any more new cars or furniture during 2020 Albania Tirana Albanian earthquake,1
"ðŸš¨ Urgent Alert ðŸš¨

ðŸŒŠ Flood at Thasang Rural Municipality-4 ðŸŒŠ

ðŸ“… Incident Date: 7/20/2020
ðŸ“ Province: Gandaki
ðŸž District: Mustang
ðŸ˜ Municipality: Thasang
ðŸ¢ Ward: 4

Attention everyone! We regret to inform you that Thasang Rural Municipality-4 has been hit by a devastating flood. Our thoughts and prayers go out to the affected families and communities. Please stay safe and follow the instructions of local authorities. #StaySafe #ThasangFlood #PrayersForMustang",1
"ðŸŒŠ Flood Alert ðŸŒŠ

ðŸ“ Khijidemba Rural Municipality-5, Okhaldhunga, Koshi Province

ðŸ“… Incident Date: 7/12/2019

Stay safe, everyone! The recent flood in Khijidemba Rural Municipality-5 has caused significant damage. Our thoughts are with the affected families. #FloodAlert #StaySafe #Okhaldhunga",1
‚Äú@PrinceJ5: Let's go ride the tornado... it should be fun! (Hillbilly voice)‚Äù,0
"ðŸ”¥ Forest Fire Alert ðŸ”¥

ðŸ“ Dhangadhi Submetropolitan City-6
ðŸ“… Incident on: 4/19/2021
ðŸŒ Province: Sudurpashchim
ðŸžï¸ District: Kailali
ðŸ¢ Municipality: Dhangadhi
ðŸš§ Ward: 6

Attention everyone! A devastating forest fire has broken out in Dhangadhi Submetropolitan City-6. Our thoughts are with the affected communities and brave firefighters battling the flames. Stay safe and follow local authorities' instructions. Together, we can overcome this challenge. ðŸ’ª #ForestFire #DhangadhiStrong #StaySafe",1
It's about time Sir Paul B began raising serious points aboutâ€¦ https://t.co/gXNEScaQoW,0
-stung and soldiers go home in body bags. Iâ€™d guess this approach is cheaper than invading Afghanistan every 20 years.,0
(why sounding. idk. i saw him hijacking 01's zetsumerise key with that lance-syringe and all I could think about waâ€¦ https://t.co/NHBKUs9T7h,0
"A tragic incident occurred on June 28th ,2023, resulting in a landslide in Tallo Baisari of Raghuganga Rural Municipality-3 in Myagdi district, Gandaki Province. The landslide destroyed several homes and took away several lives. The government is currently providing relief and support to the victims.",1
"ðŸ”¥ Forest Fire Alert! ðŸ”¥
A devastating forest fire has broken out in Bansagadhi Municipality-7, Bardiya. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected residents. #ForestFire #Bardiya #StaySafe",1
I was wondering where on the timeline this group of lesbians violently not having sâ€¦ https://t.co/I0KIxVBDB8,0
#RRE is undervalued by at least Â£15 currently. Even if the company was sat at Â£36 I'd still be holding as I believe the nextâ€¦,0
"ðŸ”¥ Forest Fire Alert ðŸ”¥

ðŸ“… Incident Date: 4/9/2022
ðŸ“ Location: Tikapur Municipality-1, Kailali, Sudurpashchim

Attention, residents of Tikapur Municipality-1! A forest fire has been reported in our area. Please stay safe and follow the instructions of local authorities. Our thoughts are with those affected by this incident. #ForestFire #StaySafe #TikapurMunicipality",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸ“¢ Landslide Alert ðŸ“¢

ðŸ“ Dauune, Binayee Tribeni Rural Municipality-2, Nawalparasi East, Gandaki Province

A devastating landslide occurred in Dauune, Binayee Tribeni Rural Municipality-2 on 6/15/2021. Our thoughts and prayers go out to the affected community. ðŸ™

Please stay safe and follow the instructions of local authorities. ðŸš§

#LandslideAlert #StaySafe #NawalparasiEast #GandakiProvince #BinayeeTribeniRuralMunicipality2",1
"Heavy monsoon rains caused flash floods in Yangwarak Rural Municipality-4, Koshi district of Panchthar province on 18th June 2023. Many homes were damaged due to the floods. Authorities have called on relief and rescue teams from the government and Nepal Red Cross Society to provide assistance to the affected households.",1
World Alert: Albania earthquake warning. Earthquakes of magnitude above 4.0 are being detected. Small possibility of tsunami if quake activity continues  at current magnitude. Possible tsunami or civil danger if magnitude rises. Albanian Earthquake,1
"#OnThisDay 1942 submarine HMS TRIUMPH is lost off Greece, probably as the result of a collision, with the lossâ€¦",0
"ðŸš¨ #LandslideAlert ðŸš¨
A devastating landslide occurred at Bhaise, Makawanpurgadhi Rural Municipality-5, Bagmati Province. Stay vigilant and take necessary precautions to ensure your safety. Our thoughts are with the affected community. #StaySafe #Makwanpur #Nepal",1
"""I'm drowning, there's no sign of land, you're coming down with me, hand in unlovable hand.""",0
Chinese food during a Tornado Warning #Winning,0
"Climate change: Australia fires will be 'normal' in warmer world. ""Overall, the 57 papers reviewed clearly show hâ€¦ https://t.co/5oMrgcP6gj",0
If that had been the case then this would have made the whole place flood https://t.co/5A9L4XjLgD,0
"ðŸš¨ Flood Alert ðŸš¨
Floods have hit Bhaisighat in Dhangadhi Submetropolitan City-9, Kailali district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #Floods #StaySafe #Dhangadhi",1
"Labour has so much to answer for: antisemitic members still in the party, unelectable leader, Tory laâ€¦ https://t.co/Twu92scUNc",0
"I'd believe it, considering the fact that Bernie derailed another woman by not bowing out in 2016. All women sâ€¦ https://t.co/xzRwgE0HBK",0
"2023-06-05, a forest fire occurred at Pyuthan Municipality-10, in Lumbini district's Pyuthan. People of nearby areas were in danger as the fire spread. Firefighters were called in to contain the blaze and the locals were evacuated to a safe location. The exact cause of the fire is yet to be investigated.",1
"ðŸš¨ Urgent Notice ðŸš¨

Attention residents of Malloduguna, Gaumul Rural Municipality-2! 

We regret to inform you that a severe flood has occurred in your area. Please take immediate precautions and ensure your safety. Stay tuned for further updates from the local authorities.

ðŸŒŠ Incident: Flood
ðŸ“… Date: 8/10/2020
ðŸŒ Province: Sudurpashchim
ðŸ“ District: Bajura
ðŸ¢ Municipality: Gaumul
ðŸ˜ï¸ Ward: 2

Please share this post with your friends and family to spread awareness. Stay safe, everyone! ðŸ’™ #FloodAlert #StaySafe",1
Same.. I never stop being salty.. the wounds.. https://t.co/YEobVDNhDw,0
"""ðŸš¨ ALERT ðŸš¨ A devastating landslide occurred at Rambazar - Kavre Bhir, Marsyangdi Rural Municipality-4 in Lamjung District, Gandaki Province. Please stay safe and follow local authorities' instructions. #Landslide #Nepal""",1
"jin ling sneaking in after breaking curfew jc: *has been sitting in the dark, waiting for jl* where have you been? jl: i wasâ€¦",0
"Blizzard Of 2016: 8 Healthy Comfort Food Recipes, Without A Side Of Guilt http://bit.ly/1SCcfzz¬† #health #child",0
"Hurricane Matthew Info: St. Lucie County, FL.: Special Needs Shelter: Havert L. Fenn Center, 2000 Virginia Ave., FtP.",0
"On 2023-06-18, a devastating flood hit wards 4 and 7 of Phidim Municipality and Hilihang Rural Municipality in Koshi district of Nepal. The flash flood affected local residents, property and livestock, leaving many homeless. Immediate relief and assistance is needed.",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸ’” Devastating Landslide at Chumling, Chum Nubri Rural Municipality-6 ðŸ’”

ðŸ“… Incident Date: 8/19/2021
ðŸ“ Province: Gandaki
ðŸ” District: Gorkha
ðŸ˜ Municipality: Chum Nubri
ðŸ¢ Ward: 6

ðŸ™ Our thoughts are with the affected community. Stay tuned for more information and ways to help. #Landslide #GorkhaStrong #StaySafe",1
"ðŸš¨ðŸŒŠ Flood alert! ðŸŒŠðŸš¨
A severe flood hit Kantipath, Kathmandu Metropolitan City-1, Kathmandu District, Bagmati Province on 2021-10-05. Stay safe and take necessary precautions. #Flood #Kathmandu #StaySafe",1
"ðŸš¨ Urgent Alert ðŸš¨
A devastating landslide has occurred at Bhatkada, Ganayapdhura Rural Municipality-1, Dadeldhura District. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #LandslideAlert #StaySafe #PrayForBhatkada",1
"ðŸš¨ Urgent Alert ðŸš¨
Flood strikes Dhungre Bazar, Helambu Rural Municipality-4 in Sindhupalchok district! Stay safe and follow local authorities' instructions. #FloodAlert #Nepal #Sindhupalchok",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸ’” Landslide at Miklajung Rural Municipality-2 ðŸ’”

ðŸŒ§ï¸ A devastating landslide occurred in Miklajung Rural Municipality-2 on 10/19/2021. Our thoughts and prayers go out to all those affected by this natural disaster.

ðŸ“ Location: Panchthar District, Koshi Province
ðŸš© Municipality: Miklajung
ðŸ¢ Ward: 2

ðŸ™ Please stay safe and follow the instructions of local authorities. Let's come together and support the affected community during this difficult time. #PrayForMiklajung #LandslideDisaster",1
"Ooh look, NYT became a lawyer for the Iranian regime What a stupid newspaper, itâ€™s now time, there are viâ€¦ https://t.co/SbfUCNkMpr",0
i just want to remind you all that i still think about the army who made this saying that this is how jungkook will meetâ€¦,0
"Been facing a strange psychological challenge since last one week. Every time, my intra day straddle starts givingâ€¦ https://t.co/nO0ssNmpnO",0
realDonaldTrump: #CovFeFe #ShitFlingingOrangeMacaque Can you believe this jerk is our President? #StateOfTheUniomâ€¦ https://t.co/E6s2Na8axP,0
"""...Clearly, the Western nations could have reduced the influence of Boko Haram by 80 or 90 percent. They have deliberately noâ€¦",0
Regardez la diffusion de : Protesters Hold â€˜Emergencyâ€™ March for Scottish Independence in Glasgow #IndyRef #Inâ€¦,0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒ Title: Earthquake at Apihimal Rural Municipality-6 ðŸŒ

ðŸ“… Incident Date: 4/25/2015
ðŸ“ Province: Sudurpashchim
ðŸžï¸ District: Darchula
ðŸ¢ Municipality: Apihimal
ðŸ˜ï¸ Ward: 6

ðŸ”¹ A devastating earthquake has struck Apihimal Rural Municipality-6, shaking the ground and leaving a trail of destruction in its wake. Our thoughts and prayers are with the affected community during this difficult time. Stay strong, and remember that we're here to support you. ðŸ™

#Earthquake #Apihimal #Nepal #Sudurpashchim #Darchula #StayStrong #Support #DisasterResponse",1
"On June 18, 2023, Falelung Rural Municipality-7 of Koshi District in Panchthar was struck by an unexpected flood. Many people were affected and faced difficulties in the area. Rescue teams have started working to provide support to those in need.",1
"This is how Gap teeth should look like,Not that burned boli Torolate teethðŸ˜‚ðŸ˜‚ðŸ˜‚ I come in peaceâœŒâœŒ #4DaysToTitansCollections #â€¦",0
"The Vow, a modern-day vampire tale where day and night collide. https://t.co/MmtVoqRX3z #darkfantasy #urbanfantasy #vampâ€¦",0
"good afternoon, we're doing our best to give out goods to those who have evacuated here and are in need. pero nagkukulangâ€¦",0
....They will rapidly map all those assets which must be demolished and those who can be repaired. Great expertise and commitment by the EU on the ground to help the Albanian people who have so much suffered from the tragic earthquake. Albanian Earthquake EU for Albania ,1
Sudden hailstorm the newscaster says 41 bullets #haiku #senryu #amadoudiallo,0
"ðŸš¨ Urgent Update! ðŸš¨ 

ðŸ“¢ Landslide Alert ðŸ“¢

A massive landslide occurred at Tenchhong, Silichong Rural Municipality-1 in Sankhuwasabha District, Koshi Province. Please exercise caution and stay away from the affected area. Our thoughts are with the residents of Silichong Ward 1. Stay safe! ðŸ’™ #LandslideAlert #Silichong #Sankhuwasabha #StaySafe",1
"ðŸ”¥ Forest Fire Alert ðŸ”¥

ðŸ“ Dhangadhi Submetropolitan City-12
ðŸ“… Incident on: 4/17/2021

Attention, everyone! A devastating forest fire has broken out in Dhangadhi Submetropolitan City-12, Kailali district, Sudurpashchim province. The situation is critical, and immediate action is required to combat this dangerous hazard. Stay tuned for updates and stay safe, everyone! ðŸ™

#ForestFireAlert #Dhangadhi #Kailali #Sudurpashchim #StaySafe",1
Piers Morgan Annihilated With Simple Logic | Vegan Advocacy https://t.co/rClWbc7F9l,0
"Nancy Pelosi is an EMBARRASSMENT Pelosi said ""whatever!"" when the host mentioned protests in Iran are against Islamic râ€¦",0
Under my spell like a thunder in the middle of the night I woke you up I know the deepest misteries and secrets of yâ€¦,0
"á´Ê€á´˜Êœá´€É´s... á´›Êœá´‡Ê'Ê€á´‡ É´á´á´› á´Éªssá´‡á´… Ê™Ê á´€É´ÊÊ™á´á´…Ê â˜† august ""auggie"" winters, number 28 â˜† government created assassin and espiâ€¦",0
"ðŸš¨ Urgent Update! ðŸš¨

A devastating flood has hit Tatra, Nalgaad Municipality-9 in Jajarkot district, Karnali province. Stay safe and take necessary precautions. Our thoughts are with everyone affected by this natural disaster. ðŸ™ #FloodSafety #StaySafe #NalgaadMunicipality #Jajarkot",1
"ðŸš¨ ALERT: Landslide reported in Tinsanjhe, Shadananda Municipality-9, Bhojpur District, Koshi Province. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst",1
"MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/JrxCSv8FRz",0
"What forests do: ðŸŒ³ buffer impact of storms &amp; floods ðŸŒ¿ help address the climate crisis ðŸŒ² provide shelter, jobs &amp; seâ€¦ https://t.co/I9ErTowd0g",0
"ðŸš¨ Urgent Alert ðŸš¨

A devastating landslide occurred at Panchase, Putha Uttarganga Rural Municipality-4 in Rukum East district, Lumbini Province. Please stay safe and stay away from the affected area. Our thoughts are with the affected community. #Landslide #StaySafe #RukumEast",1
"Mount Kailas Nuclear Reactor, revealed by Russian Scientists - Mysteries https://t.co/9iNPaDOj5e",0
"Another growl came from the beast, but perhaps it was more of a playful one than before. Once hisâ€¦ https://t.co/PkqzGdMiwU",0
Hahahaha it was just a wave of humid hot...:but I think Iâ€™ll make it!! Lol now Iâ€™m ready to bring on the heat!! ðŸ˜‚,0
"ðŸš¨ Urgent Alert ðŸš¨

Attention everyone in Lumbini province! A devastating landslide has occurred at Liwang, Gaumukhi Rural Municipality-6 in Pyuthan district. Please exercise extreme caution and stay away from the affected area. Our thoughts and prayers are with the residents of Ward 6. Stay safe! #LandslideAlert #PyuthanDistrict #StaySafe",1
"ðŸš¨ðŸŒŠ Flood Alert! ðŸŒŠðŸš¨

ðŸ“JayaPrithivi Municipality-7, Bajhang, Sudurpashchim

ðŸ“… Incident Date: 5/2/2018

Stay safe! Heavy flooding has been reported in JayaPrithivi Municipality-7, Bajhang. Please take necessary precautions and stay away from affected areas. Our thoughts are with the affected residents. ðŸ™ #FloodAlert #StaySafe #Bajhang #JayaPrithiviMunicipality",1
"A landslide occurred on June 29, 2023 in Dab Bazaar at Budhiganga Municipality-10, Bajura district of Sudurpashchim province. No casualties reported. Disaster management and police are on-site to provide relief and assess the damage.",1
"ðŸš¨ Urgent Notice ðŸš¨

ðŸ“ Landslide at Tintale, Sandakpur Rural Municipality-4 ðŸ”ï¸

A devastating landslide has occurred in Tintale, Sandakpur Rural Municipality-4, Ilam. Our thoughts are with the affected residents during this challenging time. ðŸ™

ðŸš§ Please exercise caution and stay away from the affected area for your safety. ðŸš§

#LandslideAlert #StaySafe #IlamStrong #SandakpurRuralMunicipality #PrayersForTintale",1
How about we skip a EU hostage payment? ðŸ¤”ðŸ¤”,0
"Trump to divert an extra $7.2 billion from military for border wall, reports say https://t.co/NF9xu8mef5",0
Priti Patel is great. Points based immigration. Criminals to fear committing crimes. XR a terrorist organisation. Meghan notâ€¦,0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒŠ Flood Alert ðŸŒŠ

Attention residents of Badhu, Himali Rural Municipality-7! 

We regret to inform you that a severe flood has struck our area today. Please take immediate precautions and ensure the safety of yourself and your loved ones. 

Stay tuned for further updates and emergency contact information. Stay safe! ðŸ’™

#FloodAlert #StaySafe #Badhu #Himali #Bajura #Sudurpashchim",1
"ðŸš¨ Urgent Alert ðŸš¨

ðŸŒ§ï¸ Landslide at Garambesi, Rainas Municipality-7 ðŸŒ§ï¸

ðŸ’” Our thoughts are with the affected community in Gandaki Province, Lamjung District. A devastating landslide occurred on 7/1/2021 in Ward 7 of Rainas Municipality.

ðŸ™ Let's come together to support those affected and provide assistance wherever possible. Stay safe and stay strong, Rainas!

#LandslideAlert #PrayForRainas #GandakiProvince #LamjungDistrict #StaySafe",1
I think itâ€™s an aftershock from â€™s lyrical beat down. Brent never recovered.,0
"ðŸš¨ ALERT: Flood reported in Garmitole, Madhyabindu Municipality-15, Nawalparasi East. Stay safe and follow local authorities' instructions. #FloodAlert #Nepal #Gandaki",1
"On June 20, 2023, a massive landslide occurred in Lumwang of Makalu Rural Municipality-5, in Sankhuwasabha District, Koshi. Many structures were destroyed, and hundreds of people are affected. Local authorities have mobilized rescue teams to assess the damage.",1
Australia Bush ðŸ”¥ Wild Fires. https://t.co/rcrANcPHsx,1
