,Unnamed: 0,title,hazard,incident_on,province,district,municipality,ward,text,target
14,14,Earthquake at Badimalika Municipality-9,Earthquake,2023-10-03,Sudurpashchim,Bajura,Badimalika,9,"🚨 Earthquake Alert 🚨
An earthquake struck Badimalika Municipality-9, Bajura, Sudurpashchim Province on 2023-10-03. Please stay safe and follow the instructions from local authorities. #Earthquake #Bajura #StaySafe",1
15,15,"Earthquake at Martadi, Badimalika Municipality-8",Earthquake,2023-10-03,Sudurpashchim,Bajura,Badimalika,8,"🚨 Just in: An earthquake struck Martadi, Badimalika Municipality-8 in Bajura, Sudurpashchim Province. Stay safe and take necessary precautions. #EarthquakeAlert #Bajura #StaySafe",1
16,16,Earthquake at Badimalika Municipality-9,Earthquake,2023-10-03,Sudurpashchim,Bajura,Badimalika,9,"🚨 ALERT 🚨 An earthquake struck Badimalika Municipality-9 in Bajura district, Sudurpashchim province on 2023-10-03. Stay safe and follow local authorities' instructions. #Earthquake #BadimalikaMunicipality #Bajura #Sudurpashchim",1
17,17,"Earthquake at Sayal, Budhiganga Municipality-6",Earthquake,2023-10-03,Sudurpashchim,Bajura,Budhiganga,6,"🚨 Earthquake Alert 🚨 
An earthquake with magnitude __ occurred in Sayal, Budhiganga Municipality-6, Bajura, Sudurpashchim Province. Stay safe and be prepared for aftershocks. #Earthquake #SafetyFirst #Bajura",1
18,18,"Earthquake at Bayala, Panchadewal Binayak Municipality-3",Earthquake,2023-10-03,Sudurpashchim,Achham,Panchadewal Binayak,3,"🚨 Earthquake Alert 🚨

🌍 An earthquake struck Bayala, Panchadewal Binayak Municipality-3, Achham, Sudurpashchim Province on 2023-10-03. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
19,19,"Earthquake at Gairagau, Purbichauki Rural Municipality-3",Earthquake,2023-10-03,Sudurpashchim,Doti,Purbichauki,3,"🚨 Just in: A major earthquake struck Gairagau, Purbichauki Rural Municipality-3, Doti, Sudurpashchim Province! Stay safe and follow local authorities' instructions. 🙏 #Earthquake #Nepal #SafetyFirst",1
20,20,"Earthquake at Belpata, Bannigadhi Jayagadh Rural Municipality-3",Earthquake,2023-10-03,Sudurpashchim,Achham,Bannigadhi Jayagadh,3,"🚨 Earthquake Alert 🚨 
An earthquake with magnitude XX has struck Belpata, Bannigadhi Jayagadh Rural Municipality-3, Achham. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst #Achham",1
21,21,Earthquake at Bannigadhi Jayagadh Rural Municipality-6,Earthquake,2023-10-03,Sudurpashchim,Achham,Bannigadhi Jayagadh,6,"🚨 BREAKING 🚨 An earthquake has hit Bannigadhi Jayagadh Rural Municipality-6 in Achham district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe #Achham #Nepal",1
22,22,"Earthquake at Dhaulad, Sigas Rural Municipality-2",Earthquake,2023-10-03,Sudurpashchim,Baitadi,Sigas,2,"🚨 Breaking News 🚨
An earthquake of magnitude (unknown) struck Dhaulad, Sigas Rural Municipality-2, Baitadi District, Sudurpashchim Province. Stay safe and follow official instructions. #Earthquake #Baitadi #Sudurpashchim",1
23,23,Earthquake at Chabispathivera Rural Municipality-6,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Chabispathivera,6,"🚨 Urgent Alert 🚨

An earthquake has struck Chabispathivera Rural Municipality-6 in Bajhang district, Sudurpashchim province. Please stay safe and follow the instructions of local authorities. #Earthquake #SafetyFirst",1
24,24,Earthquake at Durgathali Rural Municipality-5,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,5,"🚨 Just in: Earthquake reported at Durgathali Rural Municipality-5, Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #StaySafe",1
25,25,Earthquake at Durgathali Rural Municipality-4,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,4,"🚨 Earthquake Alert 🚨

🌍 An earthquake has struck Durgathali Rural Municipality-4 in Bajhang district of Sudurpashchim province. Stay safe and follow local authorities' instructions. #earthquake #safetyfirst #DurgathaliRuralMunicipality4",1
26,26,Earthquake at Durgathali Rural Municipality-2,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,2,"🚨 Earthquake Alert 🚨
An earthquake has struck Durgathali Rural Municipality-2, Bajhang, Sudurpashchim province. Stay safe and follow the local authorities' instructions. #Earthquake #SafetyFirst",1
27,27,Earthquake at Durgathali Rural Municipality-1,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,1,"🚨 Just in: A powerful earthquake has struck Durgathali Rural Municipality-1 in Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe",1
28,28,"Earthquake at Bagada, Thalara Rural Municipality-2",Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,2,"🚨 Just in! An earthquake has struck Bagada in Thalara Rural Municipality-2, Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe",1
29,29,"Earthquake at Devisthal, Thalara Rural Municipality-8",Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,8,"🚨 Just in: Earthquake reported in Devisthal, Thalara Rural Municipality-8, Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
30,30,Earthquake at Thalara Rural Municipality-5,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,5,"🚨 Just in! An earthquake has struck Thalara Rural Municipality-5 in Bajhang district, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
31,31,"Earthquake at Gothigau, Thalara Rural Municipality-7",Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,7,"🚨 Earthquake Alert 🚨 

An earthquake with a magnitude of __ has struck Gothigau, Thalara Rural Municipality-7, Bajhang, Sudurpashchim Province. Please stay safe and follow safety guidelines. #Earthquake #SafetyFirst #Gothigau #Thalara #Bajhang #Sudurpashchim",1
32,32,Earthquake at Kedarseu Rural Municipality-4,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Kedarseu,4,"🚨 Just in: Earthquake reported in Kedarseu Rural Municipality-4, Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #Nepal",1
33,33,Earthquake at Bungal Municipality-2,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Bungal,2,"🚨 Earthquake Alert 🚨
An earthquake struck Bungal Municipality-2 in Bajhang, Sudurpashchim Province on 2023-10-03. Please stay safe and follow local authorities' instructions. #earthquake #Sudurpashchim #Bajhang #Bungal #StaySafe",1
34,34,Earthquake at Khaptadchhanna Rural Municipality-4,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Khaptadchhanna,4,"🚨 Just in! An earthquake has struck Khaptadchhanna Rural Municipality-4 in Bajhang, Sudurpashchim Province. Stay safe, everyone! #earthquake #safetyfirst",1
35,35,"Earthquake at Chainpur, JayaPrithivi Municipality-10",Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,10,"🚨 Breaking News 🚨 

An earthquake with a magnitude of XX has struck Chainpur, JayaPrithivi Municipality-10 in Bajhang district of Sudurpashchim province. Please stay safe and follow the instructions of local authorities. #EarthquakeAlert #StaySafe",1
36,36,"Earthquake at Subeda, JayaPrithivi Municipality-7",Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,7,"🚨 Just in! An earthquake has struck Subeda in JayaPrithivi Municipality-7, Bajhang District, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
37,37,Earthquake at JayaPrithivi Municipality-11,Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,11,"🚨 ALERT: An earthquake has struck JayaPrithivi Municipality-11, Bajhang District, Sudurpashchim Province. Stay safe and follow emergency guidelines. #Earthquake #SafetyFirst",1
38,38,Earthquake at JayaPrithivi Municipality-11,Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,11,"🚨 Breaking News 🚨 
An earthquake has struck JayaPrithivi Municipality-11 in Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #Earthquake #StaySafe #Bajhang",1
39,39,Earthquake at Talkot Rural Municipality-4,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,4,"🚨 Just in: Earthquake reported in Talkot Rural Municipality-4, Bajhang, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
40,40,Earthquake at Talkot Rural Municipality-5,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,5,"🚨 Breaking News 🚨 An earthquake struck Talkot Rural Municipality-5 in Bajhang District, Sudurpashchim Province today. Stay safe and follow local authorities' instructions. #Earthquake #Talkot #Bajhang #StaySafe",1
41,41,Earthquake at Talkot Rural Municipality-7,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,7,"🚨 Just in! An earthquake has struck Talkot Rural Municipality-7 in Bajhang, Sudurpashchim Province. Stay safe and follow local authorities for updates. #Earthquake #Talkot #Bajhang #StaySafe",1
42,42,Earthquake at Talkot Rural Municipality-1,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,1,"🚨 Just in: A powerful earthquake has struck Talkot Rural Municipality-1 in Bajhang district, Sudurpashchim province. Stay safe and follow local authorities' instructions. #EarthquakeAlert #Talkot #Bajhang #Sudurpashchim",1
43,43,Earthquake at Nawadurga Rural Municipality-3,Earthquake,2023-10-03,Sudurpashchim,Dadeldhura,Nawadurga,3,"🚨 ALERT 🚨 An earthquake has struck Nawadurga Rural Municipality-3 in Dadeldhura district, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. #EarthquakeSafety #Nawadurga #Dadeldhura",1
44,44,Earthquake at Ganayapdhura Rural Municipality-3,Earthquake,2023-10-03,Sudurpashchim,Dadeldhura,Ganayapdhura,3,"🚨 Earthquake Alert 🚨

An earthquake has struck Ganayapdhura Rural Municipality-3 in Dadeldhura district, Sudurpashchim province. Please stay safe and follow safety guidelines. #Earthquake #StaySafe",1
45,45,"Earthquake at Khaula, Talkot Rural Municipality-5",Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,5,"🚨#BreakingNews🚨
An earthquake measuring [magnitude] has struck Khaula in Talkot Rural Municipality-5, Bajhang district, Sudurpashchim province. Please stay safe and follow local authorities' instructions. #EarthquakeAlert #StaySafe",1
46,46,"Earthquake at Rutola, Talkot Rural Municipality-3",Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,3,"🚨 Earthquake Alert 🚨

An earthquake struck Rutola, Talkot Rural Municipality-3 in Bajhang district, Sudurpashchim province. Stay safe and follow safety guidelines. #Earthquake #Sudurpashchim #Bajhang #StaySafe",1
47,47,Earthquake at Masta Rural Municipality-2,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Masta,2,"🚨 BREAKING: Earthquake reported in Masta Rural Municipality-2, Bajhang, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. #Earthquake #SafetyFirst",1
48,48,Earthquake at Masta Rural Municipality-1,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Masta,1,"🚨 Just in! An earthquake has struck Masta Rural Municipality-1 in Bajhang district, Sudurpashchim province. Stay safe, everyone! #Earthquake #MastaRuralMunicipality #Bajhang #StaySafe",1
49,49,"Landslide at Chumlung Chowk , Phidim Municipality-11",Landslide,2023-12-30,Koshi,Panchthar,Phidim,11,"🚨 Urgent Alert 🚨
A devastating landslide has occurred at Chumlung Chowk, Phidim Municipality-11, Panchthar District, Koshi Province. Please stay away from the affected area and follow instructions from local authorities. #LandslideAlert #StaySafe #PhidimMunicipality",1
50,50,"Landslide at Jyanglang , Gosaikunda Rural Municipality-4",Landslide,2023-12-27,Bagmati,Rasuwa,Gosaikunda,4,"""🚨 ALERT 🚨: Landslide reported in Jyanglang, Gosaikunda Rural Municipality-4, Rasuwa District, Bagmati Province. Please stay safe and avoid the affected area. #Landslide #SafetyFirst""",1
51,51,Landslide at Loghekar Damodarkunda Rural Municipality-5,Landslide,2023-12-26,Gandaki,Mustang,Loghekar Damodarkunda,5,"🚨 Urgent Alert 🚨

📍 Landslide at Loghekar Damodarkunda Rural Municipality-5, Mustang, Gandaki Province

📅 Incident Date: 2023-12-26

Please exercise caution and stay away from the affected area. Stay tuned for updates. #Landslide #Mustang #Gandaki",1
52,52,"Landslide at Laltin Bazar , Netrawati Dabjong Rural Municipality-1",Landslide,2023-12-19,Bagmati,Dhading,Netrawati Dabjong,1,"🚨 ALERT 🚨 A devastating landslide has occurred at Laltin Bazar, Netrawati Dabjong Rural Municipality-1, Dhading, Bagmati Province. Please stay safe and follow local authorities' instructions. 🙏 #Landslide #NepalDisaster2023",1
53,53,"Landslide at Dumping , Bhumekasthan Municipality-7",Landslide,2023-12-06,Lumbini,Arghakhanchi,Bhumekasthan,7,"🚨 ALERT! Landslide reported at Dumping, Bhumekasthan Municipality-7, Arghakhanchi, Lumbini. Stay safe and follow local authorities' instructions. #Landslide #Arghakhanchi #StaySafe",1
54,54,"Landslide at Prangbung Syaldhapa, Phidim Municipality-11",Landslide,2023-11-29,Koshi,Panchthar,Phidim,11,"🚨 ALERT 🚨 A devastating landslide occurred in Prangbung Syaldhapa, Phidim Municipality-11, Panchthar District, Koshi Province. Stay safe and heed all official instructions. Our thoughts are with the affected community. #Landslide #Phidim #StaySafe",1
55,55,"Landslide at Aahal Gairi, Phidim Municipality-11",Landslide,2023-11-27,Koshi,Panchthar,Phidim,11,"""🚨 ALERT: A devastating landslide has occurred at Aahal Gairi in Phidim Municipality-11, Panchthar district, Koshi province. Please stay safe and follow local authorities' instructions. #Landslide #Phidim #Panchthar #StaySafe""",1
56,56,"Landslide at Kalekhola , Pachaljharana Rural Municipality-3",Landslide,2023-11-10,Karnali,Kalikot,Pachaljharana,3,"🚨 Urgent Alert 🚨
A devastating landslide has occurred in Kalekhola, Pachaljharana Rural Municipality-3, Kalikot, Karnali Province. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe #Kalikot #Karnali",1
57,57,"Landslide at Dobhan, Mathagadhi Rural Municipality-1",Landslide,2023-10-03,Lumbini,Palpa,Mathagadhi,1,"🚨 Urgent Alert 🚨 
A devastating landslide has occurred in Dobhan, Mathagadhi Rural Municipality-1, Palpa, Lumbini Province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Palpa #StaySafe",1
58,58,"Landslide at kharibote, Paribartan Rural Municipality-1",Landslide,2023-10-03,Lumbini,Rolpa,Paribartan,1,"🚨URGENT🚨 A devastating landslide occurred in Kharibote, Paribartan Rural Municipality-1, Rolpa District, Lumbini Province. Please stay alert and follow local authorities' instructions for your safety. #LandslideAlert #StaySafe #Rolpa",1
59,59,"Landslide at Mahabhir Odar, Malika Rural Municipality-4",Landslide,2023-09-26,Gandaki,Myagdi,Malika,4,"🚨 Urgent Alert 🚨
A devastating landslide has occurred at Mahabhir Odar, Malika Rural Municipality-4, Myagdi. Please exercise caution and stay away from the affected area. Our thoughts are with the affected community. #Landslide #Myagdi #Nepal #StaySafe",1
60,60,"Landslide at Bhang Gaau, Resunga Municipality-3",Landslide,2023-09-25,Lumbini,Gulmi,Resunga,3,"🚨 Landslide Alert 🚨
A landslide has occurred at Bhang Gaau, Resunga Municipality-3, Gulmi district, Lumbini province. Please stay away from the affected area and follow instructions from local authorities. Stay safe, everyone! #Landslide #Gulmi #SafetyFirst",1
61,61,"Landslide at Phulwang, Malika Rural Municipality-2",Landslide,2023-09-25,Gandaki,Myagdi,Malika,2,"🚨 Landslide Alert 🚨

A devastating landslide has occurred in Phulwang, Malika Rural Municipality-2, Gandaki Province. Our thoughts are with the affected community in Myagdi District. Stay safe and stay tuned for updates. 🙏 #Landslide #Myagdi #StaySafe",1
62,62,"Landslide at Pidalna, Kanthekhola Rural Municipality-6",Landslide,2023-09-24,Gandaki,Baglung,Kanthekhola,6,"🚨 Urgent Update 🚨
A devastating landslide has occurred at Pidalna, Kanthekhola Rural Municipality-6, Baglung District, Gandaki Province. Please stay safe and follow local authorities' instructions. Our thoughts are with everyone affected by this natural disaster. #LandslideAlert #StaySafe",1
63,63,"Landslide at Beri, Rolpa Municipality-10",Landslide,2023-09-22,Lumbini,Rolpa,Rolpa,10,"""🚨🏞️ ALERT: Landslide reported at Beri, Rolpa Municipality-10 in Rolpa district, Lumbini province on 2023-09-22. Please exercise caution and stay safe! #Landslide #SafetyFirst #Rolpa""",1
64,64,"Landslide at Mairamare, Naubahini Rural Municipality-7",Landslide,2023-09-22,Lumbini,Pyuthan,Naubahini,7,"🚨 Urgent Alert 🚨
Landslide reported at Mairamare, Naubahini Rural Municipality-7, Pyuthan, Lumbini Province. Stay safe and follow local authorities' instructions. #LandslideAlert #Pyuthan #StaySafe",1
65,65,"Landslide at Lekh, Rolpa Municipality-10",Landslide,2023-09-22,Lumbini,Rolpa,Rolpa,10,"🚨 ALERT 🚨 A devastating landslide occurred at Lekh, Rolpa Municipality-10 in Rolpa district, Lumbini Province. Stay safe and follow local authorities for updates. #Landslide #Rolpa #StaySafe",1
66,66,"Landslide at Kotdanda, Raghuganga Rural Municipality-8",Landslide,2023-09-22,Gandaki,Myagdi,Raghuganga,8,"🚨 ALERT 🚨
A devastating landslide has occurred at Kotdanda, Raghuganga Rural Municipality-8 in Myagdi, Gandaki Province. Stay safe and heed local authority instructions. Our thoughts are with everyone affected. #Landslide #Myagdi #Nepal",1
67,67,"Landslide at Maddhar, Rolpa Municipality-10",Landslide,2023-09-22,Lumbini,Rolpa,Rolpa,10,"🚨 #LandslideAlert 🚨
A major landslide occurred at Maddhar, Rolpa Municipality-10 in Rolpa District, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #StaySafe #RolpaLandslide #NaturalDisaster",1
68,68,"Landslide at Ikhabu, Phaktanglung Rural Municipality-7",Landslide,2023-09-09,Koshi,Taplejung,Phaktanglung,7,"🚨 Urgent Alert 🚨

A devastating landslide has occurred at Ikhabu, Phaktanglung Rural Municipality-7, Taplejung District, Koshi Province. Please exercise caution and stay safe. #Landslide #Taplejung #Nepal",1
69,69,"Landslide at Kimalung, Shadananda Municipality-9",Landslide,2023-09-02,Koshi,Bhojpur,Shadananda,9,"🚨🏔️ ALERT: Landslide reported in Kimalung, Shadananda Municipality-9, Bhojpur district, Koshi province on 2023-09-02. Stay safe and follow local authorities' instructions. #Landslide #Bhojpur #Koshi",1
70,70,"Landslide at Sipak, Aamchowk Rural Municipality-4",Landslide,2023-09-01,Koshi,Bhojpur,Aamchowk,4,"🚨 ALERT 🚨 A devastating landslide occurred in Sipak, Aamchowk Rural Municipality-4, Bhojpur district, Koshi province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #DisasterResponse",1
71,71,"Landslide at Kareti, Tribeni Rural Municipality-1",Landslide,2023-08-31,Lumbini,Rolpa,Tribeni,1,"🚨 Landslide Alert 🚨

A landslide has occurred at Kareti, Tribeni Rural Municipality-1, Rolpa. Please exercise caution and stay safe. #Landslide #SafetyFirst #Rolpa #Tribeni",1
72,72,"Landslide at Jorte, Ribdikot Rural Municipality-2",Landslide,2023-08-30,Lumbini,Palpa,Ribdikot,2,"🚨 ALERT 🚨 A devastating landslide occurred in Jorte, Ribdikot Rural Municipality-2, Palpa, Lumbini Province on 2023-08-30. Stay safe and informed, everyone! #Landslide #NaturalDisaster #StaySafe",1
73,73,"Landslide at Tusarepakha, Jaimini Municipality-8",Landslide,2023-08-29,Gandaki,Baglung,Jaimini,8,"🚨 ALERT 🚨 Landslide reported at Tusarepakha in Jaimini Municipality-8, Baglung, Gandaki Province. Please stay safe and avoid the affected area. #Landslide #SafetyFirst",1
74,74,"Landslide at Bosepla, Salpasilichho Rural Municipality-6",Landslide,2023-08-29,Koshi,Bhojpur,Salpasilichho,6,"🚨 Urgent Alert 🚨
A devastating landslide has occurred at Bosepla, Salpasilichho Rural Municipality-6, Bhojpur. Please stay safe and follow instructions from local authorities. Our thoughts are with the affected community. #Landslide #EmergencyResponse #Bhojpur",1
75,75,"Landslide at Pidule, Bigu Rural Municipality-4",Landslide,2023-08-27,Bagmati,Dolakha,Bigu,4,"🚨 #LandslideAlert 🚨

📍 Pidule, Bigu Rural Municipality-4, Dolakha, Bagmati Province

A landslide incident occurred on 2023-08-27. Please exercise caution and stay safe in the affected area. #StayInformed #StaySafe #NaturalHazard #Dolakha",1
76,76,"Landslide at Lungrupa, Phidim Municipality-14",Landslide,2023-08-27,Koshi,Panchthar,Phidim,14,"🚨 ALERT 🚨 
A devastating landslide occurred in Lungrupa, Phidim Municipality-14, Panchthar District, Koshi Province. Stay safe and follow local authorities' instructions. #Landslide #Phidim #Panchthar #Koshi #StaySafe",1
77,77,"Landslide at Baphlu, Diprung Chuichumma Rural Municipality-2",Landslide,2023-08-27,Koshi,Khotang,Diprung Chuichumma,2,"🚨 Urgent Alert 🚨 A devastating landslide has occurred at Baphlu, Diprung Chuichumma Rural Municipality-2, Khotang. Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #Landslide #Khotang #StaySafe",1
78,78,"Landslide at Tallu Basnet Gaau, Nalgaad Municipality-12",Landslide,2023-08-27,Karnali,Jajarkot,Nalgaad,12,"🚨 #BREAKING: A devastating landslide has occurred at Tallu Basnet Gaau in Nalgaad Municipality-12, Jajarkot. Our thoughts are with the affected community. Stay safe, everyone! 🙏 #LandslideAlert #Nalgaad #Jajarkot #Karnali",1
79,79,"Landslide at Sekhaya, Khandbari Municipality-7",Landslide,2023-08-27,Koshi,Sankhuwasabha,Khandbari,7,"🚨 ALERT 🚨 Landslide reported in Sekhaya, Khandbari Municipality-7, Sankhuwasabha. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Koshi",1
80,80,"Landslide at Khidima, Halesi Tuwachung Municipality-11",Landslide,2023-08-26,Koshi,Khotang,Halesi Tuwachung,11,"🚨 ALERT 🚨 A devastating landslide has occurred in Khidima, Halesi Tuwachung Municipality-11, Khotang district. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏 #Landslide #Khidima #HalesiTuwachung #StaySafe",1
81,81,"Landslide at Mulkhola, Panauti Municipality-12",Landslide,2023-08-26,Bagmati,Kavrepalanchok,Panauti,12,"🚨 ALERT 🚨
A devastating landslide occurred at Mulkhola, Panauti Municipality-12, Kavrepalanchok District, Bagmati Province on 2023-08-26. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Panauti #Kavrepalanchok",1
82,82,"Landslide at Ranma, Putha Uttarganga Rural Municipality-4",Landslide,2023-08-26,Lumbini,Rukum East,Putha Uttarganga,4,"🚨URGENT🚨 Landslide reported at Ranma, Putha Uttarganga Rural Municipality-4, Rukum East, Lumbini Province. Stay safe and follow local authorities' instructions. #LandslideAlert #RukumEast #StaySafe",1
83,83,"Landslide at Ratmate, Halesi Tuwachung Municipality-11",Landslide,2023-08-25,Koshi,Khotang,Halesi Tuwachung,11,"🚨 ALERT 🚨
A devastating landslide has occurred at Ratmate, Halesi Tuwachung Municipality-11, Khotang District, Koshi Province. Please stay safe and follow local authorities' instructions. #Landslide #SafetyFirst",1
