,id,keyword,location,text,target,hazard_category
13,4630,earthquake,United Kingdom,"#PUERTORICO: EVERTEC, yesterday announced that the Company will donate $50,000 for earthquake relief in Puerto Rico. https://t.co/aCugo3o5oE",0,earthquake
14,4631,earthquake,,"""We're prepared to go camping, but we're not prepared for camping to come to us."" Insights into why the Pacific Nor… https://t.co/h2KwDctMtZ",0,earthquake
15,4640,earthquake,,Reminder that Haiti saw less than 5% of all the money that was donated after the earthquake in 2010,0,earthquake
16,4641,earthquake,"Alabama, USA",Tammy the slob sold a cow and then fell asleep before waking up to an earthquake,0,earthquake
17,4642,earthquake,South Africa,Silsby was the founder of The New Life Children’s Refuge. This NGO’s goal was to rescue children orphaned by natural disas…,0,earthquake
18,5805,flood,Deutschland,…. Islamic Republic has no more than 15-20% support base among the 80 million people of Iran. When called upon they floo…,0,flood
19,5806,flood,"Glounthaune,Cork-Malaga,Spain","When Cork decides to build the #CorkTidalBarrier flood warnings from tidal flooding will become a thing of the past ""Are…",0,flood
20,5807,flood,"UK

",To those of us that are having a quiet night in on the 31st. How about we flood twitter with our People’s Vote March pict…,0,flood
21,5808,flood,baby,When the oceans rise and thunders roar I will soar with You above the storm Father You are king over the flood I will be stil…,0,flood
22,5809,flood,"High Desert, CA",Dems are trying to restrict Pres. Trump's military action with Iran. Let's FLOOD their offices with petition signatures from Pa…,0,flood
23,5810,flood,,Sorry for the flood !! But alpha Eta set it owt last night !!! Happy founders day !! 🐘🐶 https://t.co/g3VJT6y3l6,0,flood
24,5811,flood,UK,Bristol Road Flood Protection Monitoring https://t.co/odnT8pflQ9,0,flood
25,5812,flood,"Selangor, Malaysia",Allah tested; Nuh with flood Isa with poverty Musa with tyrant Ibrahim with a fire Harun with betrayal Sulayman with power…,0,flood
26,5813,flood,"Birmingham, West Midlands",Flood Protection Monitoring on 14 Jan 2020 08:50 https://t.co/19o57dWROj,0,flood
27,5814,flood,"Leeds, UK",He's already done ten minutes on flood risk,0,flood
28,5815,flood,lagos,"When you open the door to self pity , to blame, all kinds of negative thoughts will flood your mind",0,flood
29,5816,flood,"Arizona, USA",Explain how this works. You demand the minimum wage for all workers be $15.00/hour! Then you flood the labor market with…,0,flood
30,5818,flood,,"Something really wishes you wouldn't know: that IAF gross negligence damaged 8 F-16s, compromising a key ele…",0,flood
31,5819,flood,"Cardiff, Wales","The New York Times' Editorial Board wants to hear from you about who you endorse for President. Let's flood this one, #Ya…",0,flood
32,5820,flood,United Kingdom,Flood Alert: The Essex coast from Clacton to and including 08:26 14 January https://t.co/yTfpxd6p4z,0,flood
33,5821,flood,"Columbus, MS",NWS Alert&gt; Small Stream Flood Advisory for Poor Drainage Areas for N Union County In NE Mississippi. S Tippah Count… https://t.co/IBeIHPSqUa,0,flood
34,5822,flood,Mississippi,NWS Alert&gt; Small Stream Flood Advisory for Poor Drainage Areas for N Union County In NE Mississippi. S Tippah Count… https://t.co/103TwlZagN,0,flood
35,5823,flood,Mississippi,NWS Alert&gt; Small Stream Flood Advisory for Poor Drainage Areas for N Union County In NE Mississippi. S Tippah Count… https://t.co/2XoLUbYwbL,0,flood
36,5824,flood,USA,NWS Alert&gt; Small Stream Flood Advisory for Poor Drainage Areas for N Union County In NE Mississippi. S Tippah Count… https://t.co/NzfUgq0Zee,0,flood
37,5825,flood,"Columbus, MS",NWS Alert&gt; Small Stream Flood Advisory for Poor Drainage Areas for N Union County In NE Mississippi. S Tippah Count… https://t.co/ShgH4yjn8I,0,flood
38,5826,flood,"England, United Kingdom",#RRE is undervalued by at least £15 currently. Even if the company was sat at £36 I'd still be holding as I believe the next…,0,flood
39,5827,flood,Калининград,An F-16 jet in a flooded hangar at Hatzor Airbase in Israel near Ashdod. Eight F-16 fighter jets were damaged during the f…,0,flood
40,5828,flood,,Katana Kami: A Way of the Samurai new details and screenshots on swordsmith cycle and Flood of Customers modes https://t…,0,flood
41,5829,flood,"Melbourne, Australia","'Alice Bishop’s short story collection, A Constant Hum, tells fictional stories of the Black Saturday bushfires ... Alice…",0,flood
42,5831,flood,Brighton,"Our CEO, Justin Butler, Ph.D. will be presenting at Space to Connect in London tomorrow. This free to attend Space Applica…",0,flood
43,5832,flood,,donations were also made towards Aksi Cepat Tanggap through Indonesia Dermawan to support the many workers and victims of th…,0,flood
44,5833,flood,,everyone please flood LYSN with lots of support messages 🥺🥺 I didn’t expect to wake up with more hate messages from kfans…,0,flood
45,5834,flood,United States,SHAME ON CBN for Helping To Flood Texas With Refugees! The World Relief Corporation (WR) is a phony un-elected non-profit tha…,0,flood
46,5835,flood,Islamic Republic of Iran,Iran is in a real chaos these days and bad news comes every day todays: Flood in Sistan &amp; Baluchestan And as usual… https://t.co/LJBjriY99k,0,flood
47,5836,flood,somewhere in northern Italy,"When the oceans rise and thunders roar, I will soar with You above the storm, Father, You are king over the flood, I will…",0,flood
48,5837,flood,"Lytham , Lytham St Annes",UK: Muslim lawyer for ISIS bride asks his followers to flood radio show’s phone lines to avoid hard questions. This it…,0,flood
49,5838,flood,,Please watch this and flood the comment section with #KaoRhys! Ipakita ang excitement sa #ToChiko at #HesIntoHer! Link:…,0,flood
50,5839,flood,Malaysia,"😭😭😭😭😭 Just looking at this, our tears can flood the whole KL maybe😭😭😭😭😭 #새로운_엑스원_결성지지 #bring_back_NEWX1 https://t.co/G70Kn7ks…",0,flood
51,5840,flood,"Memphis, Tennessee",has Issued a Small Stream Flood Advisory. https://t.co/t9pG7m34lY #arwx #mowx #mswx #tnwx https://t.co/tIMBMiOAei,0,flood
52,5842,flood,,"""Tagged you"" ""Mentioned you"" ""Fast replies"" ""Flood messages"" I want that shit",0,flood
53,5843,flood,,"I wish we could have a steel cage death match between the MAGAts, the Bernie Bros and the Mayosapiens. On second thou…",0,flood
54,5844,flood,"Nanaimo, B.C.",Flood away! Your posts always bring a much needed smile to my face. ❤️,0,flood
55,5845,flood,,If that had been the case then this would have made the whole place flood https://t.co/5A9L4XjLgD,0,flood
56,5846,flood,"San Antonio, TX",BREAKING NEWS: It turns out to be penis inspection MONTH so femboys/traps make sure to FLOOD my dms so I can make… https://t.co/htmntUWEBq,0,flood
57,5847,flood,"Mississippi, USA","MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/UvSKLsDh0S",0,flood
58,5848,flood,"Oxford, MS","MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/hfkRWBRr9c",0,flood
59,5849,flood,"Memphis, TN","MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/JrxCSv8FRz",0,flood
60,5850,flood,"Memphis, Tennessee, USA","MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/iCFIL3842g",0,flood
61,5851,flood,Jackson Mississippi,"MEG issues Areal Flood Advisory for Alcorn, Benton, Prentiss, Tippah, Union [MS] till Jan 14, 5:45 AM CST https://t.co/bgdH5ro5nn",0,flood
62,5852,flood,"Pontianak, Kalimantan Barat.",1 week into 2020: 1. Flood in Jkt 2. Fire in Australia 3. WW3 madness and now... Reynhard Sinaga Damn...2020 needs to ch…,0,flood
63,5853,flood,Hell,Alexisonfire Release Moody New Track 'Season of the Flood' : https://t.co/Dk46Zzrdk8,0,flood
64,5854,flood,"Paris, France","What is slow fashion? Why should you care? How can you get started? Slow Fashion stylist, Jenna Flood AKA the Ironic Mi…",0,flood
65,5855,flood,,Sleeping Through The Flood - Sticky Fingers https://t.co/oYSjEw6kmv,0,flood
66,5856,flood,"Wake County, North Carolina",Donald Trump told Ingraham that CEOs want only a small no. of extraordinary foreign graduates. But fedl. data shows that…,0,flood
67,5857,flood,"Quezon City, Philippines","Kinda reminds me of the time one guy drove his car into waist-deep flood, then blamed authorities for not informing… https://t.co/DygIbT3NgS",0,flood
68,5858,flood,"Melbourne, Victoria","What is slow fashion? Why should you care? How can you get started? Slow Fashion stylist, Jenna Flood AKA the Ironi… https://t.co/FkgwfvNsE0",0,flood
69,5860,flood,,I told y’all not to type out those words. Prepare for the scamming daddies to flood your dm. - never give out personal i…,0,flood
70,5861,flood,,"DEV - Flood Advisory until 1/13 9:44AM EST for Henderson, Buncombe https://t.co/4SLQHGEgba",0,flood
71,5957,forest%20fire,"Naples, FL",Liberalism is a cancer. It’s a forest fire that burns down everything it touches. The evidence is all around you.,0,forest%20fire
72,5958,forest%20fire,"Mysore, India",Precautionary measures taken by #karnatakaforest department to avoid forest fire Mathigodu forest area thithimati… https://t.co/7MV8mnxnD8,0,forest%20fire
73,5959,forest%20fire,"Province of Vladimir, Russia","She can’t engage in open discourse, because if you give the truth oxygen, it turns into a forest fire. https://t.co/a8Bcea…",0,forest%20fire
74,5960,forest%20fire,LONDON,"I can’t believe the academy that gave Best Picture to Crash, The English Patient, Out of Africa, Forest Gump, Green Book, D…",0,forest%20fire
75,5961,forest%20fire,"Chicago, IL","In case you’re trapped in a forest fire, cover yourself in moss, I’m pretty sure it’s fireproof",0,forest%20fire
76,5963,forest%20fire,Finland,I'm taking this day off. Not going to do anything I'm supposed to do. I started w tea and breakfast by the Magic Fo… https://t.co/raNd1HtFCp,0,forest%20fire
77,5964,forest%20fire,"England, United Kingdom","Lizzo praises Australia's reaction to the crisis https://t.co/XsM1WVItc6 January 13, 2020 Lizzo found Australia's… https://t.co/xHmK0k0doc",0,forest%20fire
78,5965,forest%20fire,"Ho Chi Minh, Vietnam","I don't know what the next posterity will be like because the forest, ocean are polluted, on fire.",0,forest%20fire
79,5966,forest%20fire,A southern Labor voting state,Nearly all of the southern fire areas is regrowth forest that has been previously logged. That m… https://t.co/70oxnmumrX,0,forest%20fire
80,5969,forest%20fire,Australia,Jodie!! We urgently need to stop logging our remaining forests. We need them as refuges and seed banks for fores…,0,forest%20fire
81,5970,forest%20fire,"Atascocita, Texas",Units responding to a report of a Small Trash Fire on East Fm 1960 And Timber Forest Dr - in Atascocita,0,forest%20fire
82,5971,forest%20fire,,ISIS has been using odd weapons - asked its terrorists to use vehicles. The use of these unconventional weapons or… https://t.co/wMWV6hUZxN,0,forest%20fire
83,5972,forest%20fire,"Prague, Czech Republic",Record fire years in #Amazon &amp; #Australia inflame concerns surrounding climate change effects on forest disturbance… https://t.co/46G93Guqq9,0,forest%20fire
84,5973,forest%20fire,"Puerto Rico, USA","She can’t engage in open discourse, because if you give the truth oxygen, it turns into a forest fire.",0,forest%20fire
85,5974,forest%20fire,nicolastyrell@gmail.com,FOREST FIRE 1 now available on all streaming services https://t.co/PnuR56N1K6 https://t.co/lfRGA4gBJE,0,forest%20fire
86,5975,forest%20fire,,"., why did you suddenly delete this news story? The public can't trust your reporting if editors in the future…",0,forest%20fire
87,5976,forest%20fire,,Now I will add #SaveAfrica in all my tweets. It's seems like no one care about the climate crisis in Africa. Global warming c…,0,forest%20fire
88,5977,forest%20fire,"Rennes, France","When women turn 30, they have to pick a subclass: • sea witch • forest witch • fire witch • air witch • space witch",0,forest%20fire
89,5978,forest%20fire,"Cowichan, British Columbia",Just wondering what effect all the forest fire smoke and volcanic ash (from 3 volcanoes currently) will have on our… https://t.co/VfEs1Pxltb,0,forest%20fire
90,5979,forest%20fire,,People in charge of fire services at the coal face should make the decisions about forest fire prevention managemen… https://t.co/8uRqgt7fBr,0,forest%20fire
91,5980,forest%20fire,Singapore,I read current affairs to my son. Today morning was telling him about #AustraliaBushfires. My son is an animal love… https://t.co/308akbFSxl,0,forest%20fire
92,5981,forest%20fire,,"If deforestation were discontinued now, the amount of forest lost to fire would be reduced by 30% compared to business as…",0,forest%20fire
93,5982,forest%20fire,"Saaremaa, Estonia",These Students Are Partnering With Corvids to Replant a Forest After Fire https://t.co/iuiiTJT3jD via,0,forest%20fire
94,5983,forest%20fire,"UK, US, Paris, tha' 🌍",ISIS calls on its supporters to start forest fires. Islamic State has called its fanatics to set fire to forests in Eu…,0,forest%20fire
95,5984,forest%20fire,,The forest fire inspector in the conservatory.,0,forest%20fire
96,5985,forest%20fire,,#NHESS https://t.co/KTX4iMM9GN Evaluating forest fire probability under the influence of human activity based on remote sensing and GIS,0,forest%20fire
97,5986,forest%20fire,"Victoria, Australia",Scientists warn a timber industry proposal to allow some logging in national parks and on other public land to reduce bushfire…,0,forest%20fire
98,5987,forest%20fire,"Sunnyvale, Ca","‘Save the forest, stop the fire!’ will be ready to send it to #workssanjose #Foresight2020 #art #penandink… https://t.co/fEEtHre6iw",0,forest%20fire
99,5989,forest%20fires,,I say to those who are delaying action on climate change: Look at the blood-red sky and unbreathable air in Australia becau…,0,forest%20fires
100,5990,forest%20fires,,Day by day I just seem to love Taehyung more and more. His words today really comforted me although it’s not in my country b…,0,forest%20fires
101,5991,forest%20fires,,And this. Worth reading. https://t.co/oe3382UzTT,0,forest%20fires
102,5992,forest%20fires,,"Following the example of other ONCEs, I made a small donation on behalf of 'TWICE' to help restore wildlife due to Austra…",0,forest%20fires
103,5993,forest%20fires,Heartbreak Hotel,"“You promised the world and I fell for it, I put you first and you adored it, set fires to my forest, and you let i… https://t.co/wtw5gfSzjm",0,forest%20fires
104,5994,forest%20fires,Deutschland,The resident speaks of natural forest !!! and the resident is afraid that Tesla pumps the groundwater and that the residents…,0,forest%20fires
105,5995,forest%20fires,USA,Unleash Hell': New Al Qaeda magazine describes in detail how to start huge forest fires across th...… https://t.co/NgWja64l8R,0,forest%20fires
106,5996,forest%20fires,Worldwide,Climate change is responsible for forest fires in Australia.,0,forest%20fires
107,5997,forest%20fires,Australia,"The climate does not cause forest fires. They are caused by mis-management (silly green-think), lightning, campfires, ciga…",0,forest%20fires
108,6000,forest%20fires,america,Peruvian President Martin Vizcarra launched a campaign to reforest the Machu Picchu archeological site in order to protect i…,0,forest%20fires
109,6001,forest%20fires,,set fires to my forest &amp; you let it burn,0,forest%20fires
110,6002,forest%20fires,,Due to terrible environmental policies of farmers not being allowed to… https://t.co/itmKFISOjh,0,forest%20fires
111,6003,forest%20fires,[she/her],i put you first and you adored it set fires to my forest and you let it burn,0,forest%20fires
112,6004,forest%20fires,"North East, England","For those interested in a sceptical view, from Australia, of the standard coverage of Australia's forest fires, this is in…",0,forest%20fires
113,6005,forest%20fires,"Darwin, Northern Territory",bestinaus: Australia forest fires &amp; free mx backup services offered by Duocircle to backup enterprise emails -… https://t.co/535sRXPtWG,0,forest%20fires
114,6006,forest%20fires,Seymou,"bahahahaha yes, they'll probably still be happening in March. bushfires don't go out after a couple d… https://t.co/887yP4ff8W",0,forest%20fires
115,6007,forest%20fires,Queanbeyan NSW,#SOS Logging must Cease Immediately. The 2030 Plan must be scrapped and an immediate end must be made to protect the little na…,0,forest%20fires
116,6009,forest%20fires,,"#NatureTerrorism ISIS Tells Followers to Set Forest Fires in U.S., Europe https://t.co/XMdfeYTImE",0,forest%20fires
117,6011,forest%20fires,JAPAN,Some regions of the world at risk of forest fires may become unsuitable for human habitation https://t.co/dMNoDrcazY,0,forest%20fires
118,6012,forest%20fires,vaikunth,This is getting more &amp; more serious.... Is The Dessert Barbaric Cult fighting a Covert war 👿 ?? https://t.co/hdrhGfsbpN,0,forest%20fires
119,6013,forest%20fires,,BBC News - Climate change: Australia fires will be 'normal' in warmer world https://t.co/R30bO3gmJc,0,forest%20fires
120,6014,forest%20fires,Teesside,"Forrest fires in Oz are ""not man made"" then claim its down to poor… https://t.co/Dlcqt32Mzv",0,forest%20fires
121,6015,forest%20fires,,"Australia will have their sin cause forgiven, and new forests and plants will regenerate. And forest fires blown of… https://t.co/5xlZGwxL9J",0,forest%20fires
122,6017,forest%20fires,"Brisbane, Australia",How good is destroying the planet and killing people through carbon emissions and forest fires?… https://t.co/BmorRrbAZF,0,forest%20fires
123,6018,forest%20fires,,Many forest fires are caused by Arson. The forest fire has drastically reduced Prime Minister Morrison's approval r… https://t.co/U5zP170B0m,0,forest%20fires
124,6019,forest%20fires,Australia,Gutless has caved in to the Loony Left and the rabid Mainstream Media - neither of whom would have a clu…,0,forest%20fires
125,6021,forest%20fires,United Kingdom,🔥🔥 You harped on this morning about climate change causing Australian fires...but you didn't mention n… https://t.co/xo7bRDUMJp,0,forest%20fires
126,6022,forest%20fires,Sydney Nova Scotia,More Santa Winds with a lot more forest fires and fires in late January 2020 My Video Coming Soon,0,forest%20fires
127,6023,forest%20fires,,"Good things like, for example, putting our planet at the b… https://t.co/08t8kMRLew",0,forest%20fires
128,6025,forest%20fires,,Theyre surrounded by water...why are they not drawing water from sea.when forest fires occur in greece th… https://t.co/OS0e59RtFU,0,forest%20fires
129,6026,forest%20fires,"Sydney, New South Wales",Hey non Australians. It’s a bush fire. The equivalent to a forest fire anywhere else. Calling them brush fires seri… https://t.co/WoDj2FNeoi,0,forest%20fires
130,6027,forest%20fires,makati,Fires have also affected the alpine habitat of the endangered southern corroboree frog and the forest and sub-alpin… https://t.co/fAuS7OC8eC,0,forest%20fires
131,6028,forest%20fires,"Chelsea, Québec",The Amazon is a long and windy river that does not always have the infrastructure or accessibility for tourists. https://t.co/hLBTFT1uqf,0,forest%20fires
132,6029,forest%20fires,"Sydney, New South Wales",Ok but actually. Why can’t people distinguish the word bush from brush. They’re bush fires. The equiva… https://t.co/LXvmDOYkT5,0,forest%20fires
133,6032,forest%20fires,Brussels,Disinformation cannot exist without misinformation. It’s like smoky the bear saying only you can prevent forest fires. Or…,0,forest%20fires
134,6033,forest%20fires,Victoria's Native Forests,"The double whammy is that research shows that ""More logging leads to fires that burn faster and hotter. It…",0,forest%20fires
135,7051,landslide,USA,"Pelosi says that Trump will never be re-elected ""one way or another."" Her extreme confidence in that seemingly threatening…",0,landslide
136,7052,landslide,"Hyderabad,India ",We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift…,0,landslide
137,7053,landslide,"Portland, MI",I just noticed that POTUS Trump is now up to 70.8 Million Twitter followers. MAGA patriots are going to kick ass &amp; take na…,0,landslide
138,7054,landslide,India,We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift.…,0,landslide
139,7055,landslide,,We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return…,0,landslide
140,7056,landslide,"Carmarthen, UK",And Boris Johnson was elected Prime Minister by a landslide - a fuck up that may not… https://t.co/gZAeINOejt,0,landslide
141,7057,landslide,"Hyderabad, India",#AlaVaikunthapurramloo landslide victory! https://t.co/2aoSoINVtu,0,landslide
142,7058,landslide,,"Whether it’s on the streets of #HongKong, the landslide victory of an anti-China candidate in #Taiwan, or the anti-regim…",0,landslide
143,7059,landslide,,He will win by a landslide. Dems are making it too easy.,0,landslide
144,7060,landslide,US,"“Taiwan can’t become the next Hong Kong.” Young people in Taiwan explain why they voted for President Tsai Ing-wen, who was…",0,landslide
145,7061,landslide,,We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gif…,0,landslide
146,7062,landslide,,We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift.…,0,landslide
147,7063,landslide,"Hyderabad, India",We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift…,0,landslide
148,7064,landslide,,Yup landslide right in the Toilet !,0,landslide
149,7065,landslide,"VA, DC, NC | USA ",2016: Hillary is a bad candidate! 2019: Kirsten is a bad candidate! 2019: Kamala is a bad candidate! 2020: Warren is a bad cand…,0,landslide
150,7066,landslide,"Karnataka, India",We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift.…,0,landslide
151,7067,landslide,"London, Europe","4 years in control of Labour Party, growing to biggest party in Europe. Winning two leadership elections by a landslide. 1…",0,landslide
152,7068,landslide,NYC,"“All countries should treat Taiwan as a partner, not an issue.” After being re-elected on Saturday in a landslide, Taiwanes…",0,landslide
153,7069,landslide,RVA,"For the Fleetwood Mac song, I think Landslide. You need some Canadian content. 😉 Maybe some Bachman Turner Overdrive?",0,landslide
154,7070,landslide,,Totally agree. I believe President 's landslide reelection victory shows it's possible 2 build a global coalition 4…,0,landslide
155,7071,landslide,"Davis, CA","Imagine if we just rallied around Bernie Sanders. We'd save ourselves a ton of stress this year, and Donald Trump would b…",0,landslide
156,7072,landslide,,#WhatIllWatchOverAndOverAgain And Over And Over And Over Again!!! The Poster Child Of The Liberals! Can You Trigger A…,0,landslide
157,7073,landslide,,"This weekend, the people of Taiwan delivered a landslide election victory for freedom -- and a major blow to the Commu…",0,landslide
158,7074,landslide,,"Yep,go back to their favorite talking point. Russia!! Russia! Then,when it is a Trump landslide. Back to the future 2…",0,landslide
159,7075,landslide,,"Labour has so much to answer for: antisemitic members still in the party, unelectable leader, Tory la… https://t.co/Twu92scUNc",0,landslide
160,7076,landslide,UK,It's about time Sir Paul B began raising serious points about… https://t.co/gXNEScaQoW,0,landslide
161,7077,landslide,773 / 217,*pinches nose bridge* I’m as liberal as they come but holy fuck this debacle is embarrassing. Will not be surprised… https://t.co/vaeZcifrvN,0,landslide
162,7079,landslide,"Nottingham, UK",Imagine specifically referring to the 2017 election as ‘we made gains’ and just not even referring to the election landslide…,0,landslide
163,7080,landslide,Bigfoots Bluff,In your dreams. and the will win 2020 I. The biggest landslide ever. …,0,landslide
164,7081,landslide,Perth Australia,"Yep,go back to their favorite talking point. Russia!! Russia! Then,when it is a Trump landslide. Back to the futur… https://t.co/SOdKK6GhBO",0,landslide
165,7082,landslide,,#Taiwan’s president wins second term with landslide victory over pro-#Beijing rival. Congratulations 👏 https://t.co/…,0,landslide
166,7083,landslide,16 Nerf Champion,Y’all hear that? That’s what a landslide 2020 victory sounds like #Trump2020Landslide #KeepAmericaGreat https://t.co/o400pbHgEH,0,landslide
167,6570,hostage,"Indiana, USA","So, the entire DOJ and FBI are held hostage by Apple, as Apple REFUSES to cooperate in the investigation of the Pensaco…",0,others
168,1376,body%20bagging,"Las Vegas, NV               ","I don't mind being your enemy if you're an enemy of mine. Remember, I'm gone match any and all energy and don't mind tak…",0,others
169,7859,obliterated,he/they/she | 16 | 🇵🇪,it was when i was rlly active in the stranger things insta fandom. i have no idea how it was obliterated from my me… https://t.co/dVTPdNq3Ay,0,others
170,1386,body%20bagging,dipset city,Body bagging this nigga. I almost respect him again,0,others
171,9763,sunk,"Ontario, Canada","A locked account I follow used the phrase ""the sunk cost fallacy but for gender"" and that is some Real Shit, so this is your…",0,others
172,4947,engulfed,"Nairobi, Kenya",Kenya especially North Eastern is engulfed by terrorist organisations as Matiangi is busy Campaigning for 2022 ele… https://t.co/ckyOBLhuqo,0,others
173,3568,demolition,Bengaluru,Maradu apartments demolition: Why it’s not yet time to say ‘justice has been served’ https://t.co/9RngcI3TMW,0,others
174,1522,bombed,,"Anyone else see the irony in SFIRA, who abstain from Westminster yet still take a wage; who bombed the UK and damaged ou…",0,others
175,2235,chemical%20emergency,,SeaPunk Survival Guide Essentials: 1. The U.S. Armed Forces Nuclear Biological and Chemical Survival Manual 2. I… https://t.co/GcHdCQPIKn,0,others
176,1849,burned,Port Harcourt,"This is how Gap teeth should look like,Not that burned boli Torolate teeth😂😂😂 I come in peace✌✌ #4DaysToTitansCollections #…",0,others
177,10677,upheaval,,I find it fascinating how history always repeats itself when the lessons of the past (in this case leading up to 1936) ar…,0,others
178,9798,sunk,"North West, England",#CBUY seller done and voting can begin Roberto Sella sunk £4mln+into it at 5p+ and now wants to pull a fast one against…,0,others
179,2803,crushed,,"Now that Oko, the Protector is gone. I had several nightmares to be crushed by Titans &amp; Zombies. Hopefully this was… https://t.co/iEdZnfeiTw",0,others
180,952,bleeding,Guantanamo Bay,Imagine supporting Biden Fucking Biden The little girl… https://t.co/kziJbCoZAL,0,others
181,2899,curfew,Islamabad,Hahaha Kashmir and Indian investment. Tht is clear from curfew… https://t.co/DPaajpzmbW,0,others
182,7113,lightning,Aviemore,I was once roping someone down a steep bit on Sgurr nan Gillean when my beard and hairs on my arm s… https://t.co/6yIAnWm2ae,0,others
183,403,army,gguk's pocket ♡,"if you get this, your army card is premium https://t.co/LAmDjmk7n7",0,others
184,6931,inundated,"Baltimore, MD","Texas Governor Greg Abbott (R) is the first governor in the United States to halt refugee resettlement in his state, a m…",0,others
185,5078,evacuated,New York City,"RT CurbedNY """"The hollow grandeur of Hudson Yards and the evacuated spaces of the Hunters Point Library in Queens h… https://t.co/QCGMiL5qR6",0,others
186,6769,injured,planet earth,"Coach Steve had to introduce Ngezana, Meyiwa and Bvuma, he played Malong… https://t.co/3vbFqTE4jE",0,others
187,1097,blight,"Planet Eyal, Shandral System",Sarda(10 dwarf cursed) was debilitated by noxious blight before falling to death by Gima the thief on Ruins of Kor'Pul 3.,0,others
188,3460,demolished,"Ibadan, Nigeria",We already made provision for financing the construction of the road in the 2020 budget. We are engaging with property ow…,0,others
189,3625,derail,"Buffalo, NY",And then they moved on and had a great mutually supportive conversation because they are close ideological allies worki…,0,others
190,2942,damage,,"you said you would bring them justice but NO, the damage had already been done and its painful to think how much pain the…",0,others
191,2490,collided,"Bristol, UK",Omg wait just scrolling through the dredges and didn’t actually realise there was a logo m… https://t.co/FkNr7ZJIOb,0,others
192,3852,destroy,,45 year high unemployment + 6 year high retail inflation + 60% vegetable inflation rate + high fuel prices + rising pr…,0,others
193,2755,crush,,IF 👏🏼 YOUR 👏🏼 WOMAN 👏🏼 LIKES 👏🏼 BEING 👏🏼 CHOKED 👏🏼 DURING 👏🏼 SEX 👏🏼 YOU'RE 👏🏼 SUPPOSED 👏🏼 TO 👏🏼 SQUEEZE 👏🏼 THE 👏🏼 SIDES 👏🏼 OF…,0,others
194,8671,riot,,When Riot costs team game with unfortunate ult. #twitch #TwitchAffilate #SupportAllStreamers… https://t.co/mqYp4LnTlU,0,others
