,text,target
35,"🔥 Forest Fire Alert! 🔥

🌲 A devastating forest fire has broken out in Baskot, Pokhara Lekhnath Metropolitan City-25. The incident occurred on 4/25/2021 in the Gandaki province of Kaski district. 

💔 Our thoughts and prayers go out to the affected community. Stay safe and stay tuned for updates on the situation. 🙏

#ForestFire #EmergencyAlert #Baskot #PokharaLekhnath #StaySafe",1
36,She could have that title if she spoke out against her own people being ethnically dis… https://t.co/J344x7JADz,0
37,"🚨 Urgent Notice 🚨

Attention residents of Pasalbagar, Khaptadchhanna Rural Municipality-4!

We regret to inform you that a landslide has occurred in your area. Please exercise extreme caution and stay away from the affected site.

📅 Incident Date: 10/20/2021
📍 Province: Sudurpashchim
🏢 District: Bajhang
🏘️ Municipality: Khaptadchhanna
🔢 Ward: 4

Stay safe and stay tuned for further updates. Our thoughts are with everyone affected by this natural disaster. 🙏 #LandslideAlert #StaySafe",1
38,"🚨 ALERT 🚨 Landslide reported in Saaltada, Kuse Rural Municipality-7, Jajarkot. Stay safe and follow local authorities' instructions. #Landslide #StaySafe #Jajarkot",1
39,"A devastating landslide hit Bhalkun village in Mathagadhi Rural Municipality-1, Palpa District, Lumbini Province, on June 9th, 2023. Houses, livestock and property were lost, but luckily, no casualties were reported. The Nepal government provided immediate rescue and relief assistance to those affected.",1
40,"🚨 ALERT: Landslide reported at Runtawang, Rolpa Municipality-4, Rolpa District, Lumbini Province. Please stay safe and follow local authorities' instructions. #Landslide #SafetyFirst",1
41,"🚨 Urgent Update 🚨

📍 Location: Parkhaltole, Rapti Municipality-12
🌍 Province: Bagmati
🌆 District: Chitwan
🏢 Municipality: Rapti
🏞️ Ward: 12

⚠️ A devastating landslide occurred on 7/1/2021 in Parkhaltole, Rapti Municipality-12. We are closely monitoring the situation and will provide updates as they become available. Our thoughts and prayers go out to the affected community. Stay safe, everyone! 🙏 #LandslideAlert #StaySafe",1
42,"🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

Title: Landslide at Mainakhola, Gurans Rural Municipality-1

We regret to inform you about a devastating landslide incident that occurred on 8/25/2021 at Mainakhola, Gurans Rural Municipality-1, Dailekh district, Karnali province. Our thoughts and prayers go out to the affected community.

Please stay safe and follow the instructions of local authorities. We will keep you updated on the situation. 🙏

#LandslideAlert #EmergencyResponse #StaySafe #Dailekh #Karnali",1
43,"🚨 Earthquake Alert 🚨

📍 Madhyabindu Municipality-15, Nawalparasi East, Gandaki Province

📅 Incident on: 4/25/2015

🌍 Stay safe everyone! Thoughts and prayers go out to the people affected by the recent earthquake in Madhyabindu Municipality-15. 🙏🏼 #Earthquake #NepalStrong #StaySafe",1
44,"So happy to finally announce the February Line-Up of Partners that will collide in my web show ""1v1"" …",0
45,Mexican Border City on High Alert Over Jihad ‘Suicide Bomber’ Threat https://t.co/6thVKcnOzo via,0
46,peak :(( devastation :(( https://t.co/4DL11eWETd,0
47,"🌊🚧 Flood Alert 🚧🌊

📍 Belbari Municipality-8, Morang, Koshi Province 🇳🇵

We regret to inform you about the recent flood incident that occurred on 7/11/2019 in Belbari Municipality-8. Our thoughts are with the affected residents and we are closely monitoring the situation. Stay safe and take necessary precautions. 💙 #FloodAlert #BelbariFloods #StaySafe",1
48,"🚨 Urgent Alert 🚨
Floods have hit Sanphebagar Municipality-1 in Achham district, Sudurpashchim province. Stay safe and take necessary precautions. #FloodAlert #Sanphebagar #Achham #Sudurpashchim",1
49,"🚨 Urgent Update! 🚨

🌧️ Landslide Alert 🌧️

Title: Landslide at Khalbang, Nisikhola Rural Municipality-5

💔 Our hearts go out to the affected community in Khalbang, Nisikhola Rural Municipality-5. A devastating landslide occurred on 7/14/2021, causing significant damage and endangering lives.

📍 Location: Khalbang, Nisikhola Rural Municipality-5, Baglung District, Gandaki Province.

🙏 Let's stand together and extend our support to those affected. Stay tuned for further updates on relief efforts and how you can help.

#LandslideAlert #EmergencyResponse #SupportingNisikhola #StaySafe",1
50,"Heavyweights collide! India-Australia clash to prove ODI supremacy. Cut-throat contest on the cards? ,… https://t.co/KEJy9omhsK",0
51,"🚨 Urgent Alert 🚨
🌊 Flood at Mai Municipality-1 🌊
📅 Incident on: 7/13/2019
📍 Province: Koshi, District: Ilam
🏢 Stay safe, Mai Municipality-1! Take necessary precautions and stay away from flood-prone areas. 🙏 #FloodSafety #StaySafe #MaiMunicipality1 #Ilam #Koshi",1
52,"-- and surely he'd suffocate if she kept him trapped there any longer- ""Well then... Enough love makin… https://t.co/M71AXL4S7U",0
53,"🗣 Stop what you're doing...BTS just dropped a new game 😳😧🤯 Download and play , available on the App Store righ…",0
54,. If there were leaders in both Ukraine &amp; Canada this evil Mullah responsible for this Mass Murde… https://t.co/X5ZYGtELqF,0
55,"🚨 Urgent Update 🚨

Attention everyone! A devastating landslide has occurred in Golphinbesi, Bhimphedi Rural Municipality-3. Please stay safe and avoid the affected area. Our thoughts and prayers go out to the people of Bagmati province, specifically in Makwanpur district. #StaySafe #LandslideAlert",1
56,"#SarileruNeekevvaru worthy for watching multiple times for acting, military episodes,action scenes and s…",0
57,"Salamat, Lord, sa mga rescuers. Please keep them safe. ❤️🙏🏻 https://t.co/V2e469UGca",0
58,"SHAMEFUL ""BEMIDJI -- With applause from a loud, passionate crowd Beltrami County on Tuesday, Jan. 7, became the first lo…",0
59,"🚨 ALERT 🚨

A devastating landslide has occurred in Arman, Raghuganga Rural Municipality-8, Myagdi. Stay safe and follow the instructions of local authorities. #Landslide #Myagdi #Nepal #StaySafe",1
60,"🚨 Flood Alert 🚨

⚠️ A devastating flood has hit Udayapurgadhi Rural Municipality-8 in Udayapur district, Koshi Province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Flood #Udayapur #StaySafe",1
61,Just wondering what effect all the forest fire smoke and volcanic ash (from 3 volcanoes currently) will have on our… https://t.co/VfEs1Pxltb,0
62,"Forced to develop locally made missiles fired from Apache helicopters after Obama halted sales to Israel in 2014, I… https://t.co/Ha5cNQZPMZ",0
63,Who is controlling the dogs of war who surround his administration? The British Ambassador Sir (now Lord) Kim Darroch said—i…,0
64,Horizontal cyclone!? https://t.co/7RVsiEO8wE,0
65,Was a fair call before WC. Should have done it at the WC. Not now when Iyer has been in blazing form at 4.,0
66,"""president"" Trump is: A clear and present danger to these United States of America An… https://t.co/sBc9xU6JXT",0
67,"🚨 Urgent Update 🚨

Attention everyone! There has been a landslide reported at Bhamalam, Pokhara Lekhnath Metropolitan City-20. Please stay safe and avoid the affected area. Our thoughts and prayers are with the residents of Gandaki province, Kaski district, and specifically the Pokhara Lekhnath municipality, Ward 20. 🙏

#LandslideAlert #StaySafe #PokharaLekhnath #GandakiProvince #KaskiDistrict #PrayersForSafety",1
68,"🌊 Flood Alert! 🌊

📍 Balirampur, Kalaiya Submetropolitan City-13 📍

📅 Incident on: 7/13/2019
🌍 Province: Madhesh
🏢 District: Bara
🏘️ Municipality: Kalaiya
🏢 Ward: 13

Stay safe and take necessary precautions! Our thoughts are with everyone affected. 🙏

#FloodAlert #Balirampur #Kalaiya #Bara #StaySafe #PrayersForSafety",1
69,A single touch can bring us sun And a clear sky While a single word can Starts a storm You must create a coat of Posi…,0
70,"🚨 Urgent Alert 🚨

🌊 Flood at Bhotekoshi Rural Municipality-2 🌊

📅 Incident Date: 7/16/2018
📍 Province: Bagmati
🏞️ District: Sindhupalchok
🏙️ Municipality: Bhotekoshi
🏘️ Ward: 2

Stay safe and take necessary precautions! Our thoughts are with everyone affected by this devastating flood. 💔 #FloodAlert #StaySafe #PrayersForBhotekoshi",1
71,It is often said recently by these proletarians to the world t…,0
72,"🚨 Breaking News 🚨 
Floods have struck Bhajani Municipality-2, Kailali District, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #FloodAlert #BhajaniMunicipality #Kailali #Sudurpashchim",1
73,👑⭐️ LeBron James scored 31 points and passed Isiah Thomas on the all-time assists list as the Lakers demolished the Caval…,0
74,Stretcher 😂,0
75,Scientists warn a timber industry proposal to allow some logging in national parks and on other public land to reduce bushfire…,0
76,"🚨 Flood Alert! 🌊

📍 Mankhola, Khajura Rural Municipality-7, Banke, Lumbini
📅 Incident on: 2021-09-08

Stay safe and follow local authorities' instructions. Help those in need and share important updates. #FloodSafety #StaySafe #Banke #Lumbini",1
77,"🚨 Urgent Update 🚨
Landslide Alert! A massive landslide has occurred at Bhanu, Phungling Municipality-2 in Taplejung district. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #TaplejungStrong 💔🙏",1
78,I was once roping someone down a steep bit on Sgurr nan Gillean when my beard and hairs on my arm s… https://t.co/6yIAnWm2ae,0
79,"On June 14th, 2023 a devastating landslide occurred at Sisneri of Makawanpur Gadhi-5, in the Bagmati Province. Homes were destroyed as a result of the natural hazard. The incident has caused distress and displacement among the residents of Makawanpur. Aid workers are rapidly providing support and assistance to those affected.",1
80,Liberalism is a cancer. It’s a forest fire that burns down everything it touches. The evidence is all around you.,0
81,"🚨 Urgent Alert 🚨

🌊 Flood at Bajhangitoll, Mahakali_Kanchanpur Municipality-8 🌊

📅 Incident Date: 7/16/2019
📍 Province: Sudurpashchim
🏞️ District: Kanchanpur
🏙️ Municipality: Mahakali_Kanchanpur
🏢 Ward: 8

Stay safe and take necessary precautions. Our thoughts are with the affected community. #Floods #StaySafe #Bajhangitoll",1
82,"🚨 Urgent Update 🚨

🌊 Flood Alert 🌊

A devastating flood has hit Panchami, Fakphokthum Rural Municipality-1 in Ilam district. Please stay safe and take necessary precautions. Our thoughts are with the affected community. #FloodAlert #StaySafe #Ilam 

- Disaster Management Authority",1
83,"🚨 Urgent Update 🚨

A massive landslide has occurred at Chisapani, Besishahar Municipality-2 in Lamjung district. Please exercise caution and stay away from the affected area. Our thoughts are with the residents of Ward 2, Besishahar Municipality. Stay safe, everyone! 🙏🏼 #Landslide #StaySafe #BesishaharMunicipality",1
84,And then they moved on and had a great mutually supportive conversation because they are close ideological allies worki…,0
85,"🚨 Flood Alert 🚨

🌊 A devastating flood has hit Kuchini, Gauriganga Municipality-3 in Kailali district, Sudurpashchim Province. 🌊

📅 Incident Date: 9/17/2019
📍 Location: Gauriganga Municipality-3, Kailali

Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏 #FloodAlert #StaySafe",1
86,"His poor injury record shown here is a worry, but it seems like it's a loan deal, so we will have time to test his fitness…",0
87,"Yeah, now that I'm thinking about it, Indiana Jones is definitely one of those char… https://t.co/9PQ8CF6HCW",0
88,"🚨 Urgent Update 🚨

A devastating landslide occurred at Chhapthoik, Palungtar Municipality-4 in Gorkha district, Gandaki province on 7/1/2021. Our thoughts are with the affected community. Stay tuned for more information and ways to support. 🙏 #Landslide #Gorkha #StaySafe",1
89,"A deadly landslide occurred on July 1, 2023 in Syaulibazar, Rampur Municipality-1 in Palpa District of Lumbini Province. Hundreds of homes were destroyed and families in the ward were left stranded. Rescue operations are ongoing.",1
90,Fatality https://t.co/FF7PdLBh0k,0
91,"🚨 Urgent Notice 🚨
Earthquake Alert! 🌍⚠️

An earthquake struck Rupani Rural Municipality-6 in Saptari district, Madhesh province, on 4/25/2015. Please stay safe and follow safety measures. Our thoughts are with everyone affected. 🙏 #EarthquakeSafety #StaySafe #RupaniRuralMunicipality6",1
92,Smith adds Hart to Hopkins as casualties https://t.co/QK90OSsaZd https://t.co/0iRc1lIjU2,0
93,"🚨 Urgent Notice 🚨

🌊 Flood Alert 🌊

📍 Belbari Municipality-8, Morang, Koshi Province

📅 Incident Date: 7/11/2019

Attention, residents of Belbari Municipality-8! Please be aware that a severe flood has hit our area. Take immediate precautions to ensure your safety. Stay tuned for further updates. #FloodAlert #BelbariMunicipality #StaySafe",1
94,I will not reply to strangers tweets. replying is the mind killer. @‘s are the little death that brings total obli… https://t.co/mFqJnYM8Wv,0
95,"We're not blaming the president for the volcanic eruption. However, cutting the disaster risk reduction &amp; management b…",0
96,"🌊 Flood Alert 🌊

📍 Location: Bhotekoshi Rural Municipality-5, Sindhupalchok, Bagmati Province

📅 Incident Date: 7/6/2019

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #FloodAlert #StaySafe #BhotekoshiRuralMunicipality5 #Sindhupalchok #BagmatiProvince",1
97,"🔥 Forest Fire Alert! 🔥

📍 Pokhara Lekhnath Metropolitan City-22, Kaski, Gandaki Province

📅 Incident on: 4/14/2021

🚨 A devastating forest fire has broken out in Ward 22 of Pokhara Lekhnath. Our hearts go out to the affected community and the brave firefighters battling the flames. Stay safe, everyone! 🙏

#ForestFire #PokharaLekhnath #Kaski #Gandaki #EmergencyResponse #StaySafe",1
98,Hello twitter! My friends and I are organizing a donation drive for the evacuees for those affected by the Taal eruption. Res…,0
99,Check out Rolling Stone Magazine Leonardo DiCaprio Mia Jersey Shore BP Oil Spill 2010 https://t.co/E4ARpjqPFP via,0
100,"""🚨URGENT🚨 A devastating landslide has occurred in Daklang, Jugal Rural Municipality-2, Sindhupalchok District, Bagmati Province. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe""",1
101,The Brexit policy was coherent with wrong premise: let's change the rules of the finish… https://t.co/4TnDpow7jy,0
102,"🚨 Urgent Update 🚨

Title: Landslide at Yarang, Bhanu Municipality-10

💔 Our hearts go out to the residents of Yarang, Bhanu Municipality-10 in Tanahu district, Gandaki province, who have been affected by a devastating landslide. 

🌧️ The incident occurred on 7/3/2021, and we are closely monitoring the situation. Our thoughts are with the affected families during this difficult time.

#Landslide #Tanahu #Gandaki #BhanuMunicipality #StaySafe",1
103,I received 2 emergency alerts while I was sleeping. The first said no radiation was released from a nuclear plant a… https://t.co/277NwyMb40,0
104,The way they’re twisting feminism to their favor is making my blood boil. Shaming a woman for being pregnant before marria…,0
105,"🔥 Forest Fire Alert! 🔥

📍 Jadi, Airawati Rural Municipality-2, Pyuthan

🚨 A forest fire incident occurred on 4/4/2022 in the beautiful province of Lumbini. The affected area is located in Airawati Rural Municipality-2, Pyuthan.

🌲🔥 Let's join hands to support the local authorities and communities in combating this devastating forest fire. Stay safe and vigilant!

#ForestFireAlert #Pyuthan #Lumbini #StaySafe",1
106,"🚨 Urgent Alert 🚨
A devastating landslide has occurred at Bhatkada, Ganayapdhura Rural Municipality-1, Dadeldhura District. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #LandslideAlert #StaySafe #PrayForBhatkada",1
107,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0
108,"🚨 Urgent Alert! 🚨
Flood at Kostagade, Tadi Rural Municipality-3, Nuwakot, Bagmati Province 🌊

Stay safe, everyone! Heavy flooding has been reported in Kostagade, Tadi. Please take necessary precautions and evacuate to higher ground if possible. Our thoughts are with the affected community. #StaySafe #NuwakotFloods",1
109,"A massive landslide occurred near the Jyamire Khola, in Shuklagandaki Municipality-7, Tanahu district, Gandaki province on 2023-06-23. The incident has resulted in an emergency evacuation of the area. People from the nearby villages have been told to stay in safer areas until further notice. Further details of the landslide are not available yet.",1
110,"A landslide occurred yesterday in Dhankhola area of Ghorahi Submetropolitan City-5, Dang district, located in the Lumbini province of Nepal. Local sources mentioned that the incident happened on July 4, 2023, fortunately no casualties were reported. Authorities are currently working to clear the debris and assess any potential damage.",1
111,"""Nothing is over until we decide it is! Was it over when the Germans bombed Pearl Harbor? Hell, no!"" https://t.co/X5v1rDKXyY",0
112,"🚨 Urgent Notice 🚨

A devastating flood has hit Mulpani, Kageshwori Manahora Municipality-6, Kathmandu. Please exercise caution and stay safe. Our thoughts and prayers go out to all those affected. 🙏

#FloodAlert #StaySafe #MulpaniFlood #KageshworiManahoraMunicipality #Kathmandu",1
113,"Maybe a ban wouldn’t be necessary if Muslims stopped flying planes in to buildings, detonating car bombs, shooting up…",0
114,quote this with your fav EDEN songs ■ The Eden Project: drowning ■ End Credits: Wake Up ■ ityttmom: rock + roll ■… https://t.co/sFPh75WM2T,0
115,"🚨 ALERT 🚨 A devastating landslide has occurred in Inaruwa Municipality-8, Sunsari District, Koshi Province. Please stay safe and follow local authorities' instructions. #LandslideAlert #Inaruwa #Sunsari #Koshi",1
116,"On 2023-06-17, a severe flood inundated Bhanjyangkharka, Chainpur municipality-6, located in Sankhuwasabha district, Koshi province. Three dozen homes were flooded, and property damages and losses are yet to be determined. People are now shifting to nearby villages in search of safer spaces.",1
117,😳 A similar $1.5 million emergency chemical clean up took place two years ago. https://t.co/U6SJrVAf1M,0
118,"A devastating landslide struck ward 5 of Sangurigadhi Rural Municipality, Dhankuta, Koshi on June 27, 2023. At least one person has been reported dead along with numerous homes destroyed. An emergency response team is on location providing aid to victims and assessing the damage.",1
119,C-army is doing amazing! Don’t worry guys we literally have 5 weeks to pre-order (for Persona we… https://t.co/vZQXChNQFW,0
120,"🚨 Urgent Update! 🚨 

💔 Landslide at Lampata, Tila Rural Municipality-1 💔

🌍 Province: Karnali
📍 District: Jumla
🏢 Municipality: Tila
🏘️ Ward: 1

📆 Incident Date: 6/24/2021

🙏 Our thoughts are with the affected community. Stay safe and stay tuned for more updates. #Landslide #EmergencyResponse #StaySafe",1
121,"🚨 Earthquake Alert 🚨
An earthquake struck Bungal Municipality-2 in Bajhang, Sudurpashchim Province on 2023-10-03. Please stay safe and follow local authorities' instructions. #earthquake #Sudurpashchim #Bajhang #Bungal #StaySafe",1
122,#Allah_Is_Kabir The Quran wisdom giver is saying that Allah is never going to die. Praise be given to his holy glory wi…,0
123,I love my stretch mark lightning connections😊,0
124,"🚨 Urgent Alert 🚨

📍 Chisopani, Mangsebung Rural Municipality-6

A devastating landslide occurred in Chisopani, Mangsebung Rural Municipality-6 today. Please stay safe and take necessary precautions. Our thoughts and prayers are with the affected community.

#LandslideAlert #StaySafe #Mangsebung #Ilam",1
125,"A devastating landslide occurred in Chhatedhunga at Phungling Municipality-10 of Taplejung district in Koshi Province on June 19, 2023. The landslide caused destruction of homes and led to the displacement of hundreds of people. Rescue and relief efforts have been initiated.",1
126,"🚨 Urgent Alert 🚨
A devastating landslide has occurred at Bihibare, Shadananda Municipality-14, Bhojpur. Please stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #LandslideAlert #StaySafe #Bhojpur",1
127,"🚨 Urgent Update 🚨

🌧️ Landslide at Simle, Khandbari Municipality-1 🌧️

A devastating landslide struck Simle, Khandbari Municipality-1, Sankhuwasabha District, Koshi Province. Our thoughts and prayers go out to the affected community. Stay safe and stay tuned for further updates. 🙏🏼 #LandslideAlert #StaySafe #KhandbariMunicipality",1
128,"On 24th June, 2023, a devastating landslide hit the Naini Bagar settlement in Annapurna Rural Municipality-2, Gandaki District. At least 15 households were affected by the huge destruction. Rescuers from the local administration have been received to ensure the safety and support of the local people.",1
129,Maradu apartments demolition: Why it’s not yet time to say ‘justice has been served’ https://t.co/9RngcI3TMW,0
130,"A massive landslip occured at Janti Pahiro, Hupsekot Rural Municipality-4 in Gandaki district's Nawalparasi East on 2023-07-15. The crisis resulted from the heavy monsoon downpour in the region. Fortunately, no casualties have been reported. The responsible authorities have been working hard to clear the debris and restore the area.",1
131,"Here comes your Twitter deluge, BUT, it is POSITIVE. I respect you so much for putting country over… https://t.co/lXcpNXxKPF",0
132,"🚨 ALERT 🚨 
A devastating landslide has occurred in Bungal Municipality-11, Bajhang District, Sudurpashchim Province. Please stay safe and follow the local authorities' instructions. Our thoughts are with the affected community. #Landslide #Bajhang #StaySafe",1
133,Is this arson bastardry a co-ordinated global Greens scheme to convince the world Co2 is causing global warming and t…,0
134,"🔥 Forest Fire Alert! 🔥

📍 Chhathar Rural Municipality-4, Terhathum

📅 Incident Date: 4/17/2022

🚨 A devastating forest fire has broken out in Chhathar Rural Municipality-4, Terhathum. The flames are spreading rapidly, posing a threat to the surrounding area.

🙏 Our thoughts are with the affected community. Stay safe and follow the instructions of local authorities.

#ForestFire #ChhatharRuralMunicipality #Terhathum #StaySafe",1
135,The #EU continues its suicidal actions. This inflexible approach is likely fatal - but ‘principals’ Brexit latest:… https://t.co/t9xoVSYYLv,0
136,Maybe this is all part of a plan so that these headlines can drown out the Margaret Court mess that's still to come… https://t.co/rHXEXskXNu,0
137,"Major fail!! A driver up in Washington caused a section of bridge to collapse a few years ago, just… https://t.co/6imIVzrESu",0
138,Bay Area researchers tackle bioterrorism threats #bioterror #biodefense #cbrn #phep https://t.co/n5exZSQTaU,0
139,"Just in: A landslide has occurred at Neupane, Jugal Rural Municipality-2 in Sindhupalchok district, Bagmati province. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe #Sindhupalchok #Bagmati",1
140,"Ppl be like, ""My stuffed animal is a Service Dog!!! RESPECT ME!!"" No. No it's not. It's a comfort item. It doesn't… https://t.co/v7mWHvn1mp",0
141,"A massive landslide occurred in Sirijangha Rural Municipality-1, Taplejung, Koshi on the 20th of June 2023. The landslide took place at Sinam and affected 10 households, who had to be evacuated for safety. Koshi district, which is perennially affected by natural hazards, is facing multiple challenges in terms of public health, infrastructure and transportation due to the incident.",1
142,"The Monsoon Trough 🌧️ has moved over the Coral Sea, with #Fiji keeping an eye on a Tropical Low near #Vanuatu which… https://t.co/09wRBPStyq",0
143,So the Member for Manila can quit Twitter as a protest supporting Young Liberals but how many #Aboriginal suicides and deaths…,0
144,"🌊 Flood Alert 🌊

📍 Matela, Mudkechula Rural Municipality-2, Dolpa 📍

Stay safe, everyone! A flood has hit Matela in Dolpa. Please take necessary precautions and stay updated with local authorities. Our thoughts are with the affected community. 💙 #FloodAlert #StaySafe #DolpaStrong",1
