Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Forest Fire at Chandeshwori , Molung Rural Municipality-1",,other,Forest Fire,2023-12-03,Koshi,Okhaldhunga,Molung,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Prangbung Syaldhapa, Phidim Municipality-11",,other,Landslide,2023-11-29,Koshi,Panchthar,Phidim,11,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Aahal Gairi, Phidim Municipality-11",,other,Landslide,2023-11-27,Koshi,Panchthar,Phidim,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Chhangru, Apihimal Rural Municipality-6",,other,Forest Fire,2023-11-22,Sudurpashchim,Darchula,Apihimal,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Jhyakdada, Rolpa Municipality-10",,other,Forest Fire,2023-11-19,Lumbini,Rolpa,Rolpa,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Kalekhola , Pachaljharana Rural Municipality-3",,other,Landslide,2023-11-10,Karnali,Kalikot,Pachaljharana,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Oda Chaur, Rolpa Municipality-10",,other,Forest Fire,2023-11-05,Lumbini,Rolpa,Rolpa,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Forest Fire at Naya Tole , Dhanusadham Municipality-3",,other,Forest Fire,2023-10-27,Madhesh,Dhanusa,Dhanusadham,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Nareshwor, Dharche Rural Municipality-5",,other,Earthquake,2023-10-22,Gandaki,Gorkha,Dharche,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Earthquake at Khari, Netrawati Dabjong Rural Municipality-1",,other,Earthquake,2023-10-22,Bagmati,Dhading,Netrawati Dabjong,1,,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Amaresota, Ghorahi Submetropolitan City-5",,other,Heavy Rainfall,2023-10-08,Lumbini,Dang,Ghorahi,5,235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Heavy Rainfall at Diprung Chuichumma Rural Municipality-3,,other,Heavy Rainfall,2023-10-07,Koshi,Khotang,Diprung Chuichumma,3,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Kaphrakatne, Surma Rural Municipality-1",,other,Earthquake,2023-10-07,Sudurpashchim,Bajhang,Surma,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Earthquake at Thana, Surma Rural Municipality-1",,other,Earthquake,2023-10-07,Sudurpashchim,Bajhang,Surma,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Heavy Rainfall at Kharipati, Changunarayan Municipality-7",,other,Heavy Rainfall,2023-10-04,Bagmati,Bhaktapur,Changunarayan,7,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Gulari, Suddhodhan Rural Municipality-3",,other,Heavy Rainfall,2023-10-04,Lumbini,Kapilbastu,Suddhodhan,3,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Thulonandannagar, Mayadevi Rural Municipality-8",,other,Heavy Rainfall,2023-10-04,Lumbini,Kapilbastu,Mayadevi,8,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Matatirtha - Kalyanpur, Chandragiri Municipality-8",,other,Heavy Rainfall,2023-10-04,Bagmati,Kathmandu,Chandragiri,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Dobhan, Mathagadhi Rural Municipality-1",,other,Landslide,2023-10-03,Lumbini,Palpa,Mathagadhi,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Gaumul Rural Municipality-1,,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Gaumul,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Bhatakatiya, Kamalbazar Municipality-7",,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Kamalbazar,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Odar, Shikhar Municipality-10",,other,Earthquake,2023-10-03,Sudurpashchim,Doti,Shikhar,10,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Ghurfhurkot, Sanphebagar Municipality-10",,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Sanphebagar,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Earthquake at Gaguda, Chaurpati Rural Municipality-3",,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Chaurpati,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Earthquake at Amarkhet, Dilasaini Rural Municipality-2",,other,Earthquake,2023-10-03,Sudurpashchim,Baitadi,Dilasaini,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Landslide at kharibote, Paribartan Rural Municipality-1",,other,Landslide,2023-10-03,Lumbini,Rolpa,Paribartan,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Sitapur, Sitganga Municipality-2",,other,Earthquake,2023-10-03,Lumbini,Arghakhanchi,Sitganga,2,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Simalkot, Budhiganga Municipality-7",,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Budhiganga,7,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Sanphebagar Municipality-7,,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Sanphebagar,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Earthquake at Khaptad Chhededaha Rural Municipality-7,,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Khaptad Chhededaha,7,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Badimalika Municipality-9,,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Badimalika,9,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Martadi, Badimalika Municipality-8",,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Badimalika,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,Earthquake at Badimalika Municipality-9,,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Badimalika,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Earthquake at Sayal, Budhiganga Municipality-6",,other,Earthquake,2023-10-03,Sudurpashchim,Bajura,Budhiganga,6,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Bayala, Panchadewal Binayak Municipality-3",,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Panchadewal Binayak,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Gairagau, Purbichauki Rural Municipality-3",,other,Earthquake,2023-10-03,Sudurpashchim,Doti,Purbichauki,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Belpata, Bannigadhi Jayagadh Rural Municipality-3",,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Bannigadhi Jayagadh,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Earthquake at Bannigadhi Jayagadh Rural Municipality-6,,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Bannigadhi Jayagadh,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Earthquake at Dhaulad, Sigas Rural Municipality-2",,other,Earthquake,2023-10-03,Sudurpashchim,Baitadi,Sigas,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Earthquake at Chabispathivera Rural Municipality-6,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Chabispathivera,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Yes,Earthquake at Durgathali Rural Municipality-5,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,5,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Durgathali Rural Municipality-4,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,4,,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Durgathali Rural Municipality-2,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,2,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Durgathali Rural Municipality-1,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Durgathali,1,,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Bagada, Thalara Rural Municipality-2",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,2,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Devisthal, Thalara Rural Municipality-8",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,8,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Thalara Rural Municipality-5,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,5,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Gothigau, Thalara Rural Municipality-7",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Thalara,7,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Kedarseu Rural Municipality-4,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Kedarseu,4,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Earthquake at Bungal Municipality-2,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Bungal,2,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,Earthquake at Khaptadchhanna Rural Municipality-4,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Khaptadchhanna,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Earthquake at Chainpur, JayaPrithivi Municipality-10",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Earthquake at Subeda, JayaPrithivi Municipality-7",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
Yes,Earthquake at JayaPrithivi Municipality-11,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,11,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at JayaPrithivi Municipality-11,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,JayaPrithivi,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Yes,Earthquake at Talkot Rural Municipality-4,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Talkot Rural Municipality-5,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Talkot Rural Municipality-7,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Talkot Rural Municipality-1,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Nawadurga Rural Municipality-3,,other,Earthquake,2023-10-03,Sudurpashchim,Dadeldhura,Nawadurga,3,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Ganayapdhura Rural Municipality-3,,other,Earthquake,2023-10-03,Sudurpashchim,Dadeldhura,Ganayapdhura,3,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Khaula, Talkot Rural Municipality-5",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,5,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Rutola, Talkot Rural Municipality-3",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Talkot,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,Earthquake at Masta Rural Municipality-2,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Masta,2,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Masta Rural Municipality-1,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Masta,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Yes,Earthquake at Masta Rural Municipality-3,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Masta,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Earthquake at Surma Rural Municipality-2,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Surma,2,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at Patadewal, Khaptadchhanna Rural Municipality-6",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Khaptadchhanna,6,,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Earthquake at Khaptadchhanna Rural Municipality-5,,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Khaptadchhanna,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Earthquake at Kaprigau, Chabispathivera Rural Municipality-1",,other,Earthquake,2023-10-03,Sudurpashchim,Bajhang,Chabispathivera,1,,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Earthquake at bajkhatta, Sanphebagar Municipality-9",,other,Earthquake,2023-10-03,Sudurpashchim,Achham,Sanphebagar,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Simalchour, Mangala Rural Municipality-1",,other,Heavy Rainfall,2023-10-03,Gandaki,Myagdi,Mangala,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Kalika Mandhir, Ghorahi Submetropolitan City-5",,other,Heavy Rainfall,2023-10-02,Lumbini,Dang,Ghorahi,5,250000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Samadikhola, Kushma Municipality-10",,other,Flood,2023-09-30,Gandaki,Parbat,Kushma,10,,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0
Yes,"Heavy Rainfall at Duwakot Besi, Bhaktapur Municipality-9",,other,Heavy Rainfall,2023-09-27,Bagmati,Bhaktapur,Bhaktapur,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Mahabhir Odar, Malika Rural Municipality-4",,other,Landslide,2023-09-26,Gandaki,Myagdi,Malika,4,1100000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Bhang Gaau, Resunga Municipality-3",,other,Landslide,2023-09-25,Lumbini,Gulmi,Resunga,3,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0
Yes,"Landslide at Phulwang, Malika Rural Municipality-2",,other,Landslide,2023-09-25,Gandaki,Myagdi,Malika,2,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Dharampani, Jhimruk Rural Municipality-3",,other,Heavy Rainfall,2023-09-25,Lumbini,Pyuthan,Jhimruk,3,300000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Pidalna, Kanthekhola Rural Municipality-6",,other,Landslide,2023-09-24,Gandaki,Baglung,Kanthekhola,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Beri, Rolpa Municipality-10",,other,Landslide,2023-09-22,Lumbini,Rolpa,Rolpa,10,48000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Mairamare, Naubahini Rural Municipality-7",,other,Landslide,2023-09-22,Lumbini,Pyuthan,Naubahini,7,45000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Lekh, Rolpa Municipality-10",,other,Landslide,2023-09-22,Lumbini,Rolpa,Rolpa,10,49000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Kotdanda, Raghuganga Rural Municipality-8",,other,Landslide,2023-09-22,Gandaki,Myagdi,Raghuganga,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Maddhar, Rolpa Municipality-10",,other,Landslide,2023-09-22,Lumbini,Rolpa,Rolpa,10,104000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Katani, Sainamaina Municipality-10",,other,Heavy Rainfall,2023-09-21,Lumbini,Rupandehi,Sainamaina,10,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Ninichaur, Mathagadhi Rural Municipality-1",,other,Heavy Rainfall,2023-09-21,Lumbini,Palpa,Mathagadhi,1,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Heavy Rainfall at Simkot Rural Municipality-3,,other,Heavy Rainfall,2023-09-20,Karnali,Humla,Simkot,3,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Muddi & Dulli, Simkot Rural Municipality-3",,other,Heavy Rainfall,2023-09-20,Karnali,Humla,Simkot,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Pipalla, Shikhar Municipality-2",,other,Heavy Rainfall,2023-09-16,Sudurpashchim,Doti,Shikhar,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Gaira Parale, Kuse Rural Municipality-7",,other,Flood,2023-09-14,Karnali,Jajarkot,Kuse,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Sudal Idol , Changunarayan Municipality-8",,other,Heavy Rainfall,2023-09-13,Bagmati,Bhaktapur,Changunarayan,8,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Pardi, Pokhara Lekhnath Metropolitan City-8",,other,Heavy Rainfall,2023-09-12,Gandaki,Kaski,Pokhara Lekhnath,8,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Pachkora, Surnaya Rural Municipality-5",,other,Heavy Rainfall,2023-09-10,Sudurpashchim,Baitadi,Surnaya,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Birbas Harra, Resunga Municipality-14",,other,Heavy Rainfall,2023-09-10,Lumbini,Gulmi,Resunga,14,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Ikhabu, Phaktanglung Rural Municipality-7",,other,Landslide,2023-09-09,Koshi,Taplejung,Phaktanglung,7,3000000,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Taltung, Isma Rural Municipality-2",,other,Heavy Rainfall,2023-09-09,Lumbini,Gulmi,Isma,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Ghartikaada, Chaurjahari Municipality-6",,other,Flood,2023-09-03,Karnali,Rukum West,Chaurjahari,6,,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Kimalung, Shadananda Municipality-9",,other,Landslide,2023-09-02,Koshi,Bhojpur,Shadananda,9,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Sipak, Aamchowk Rural Municipality-4",,other,Landslide,2023-09-01,Koshi,Bhojpur,Aamchowk,4,310000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Kareti, Tribeni Rural Municipality-1",,other,Landslide,2023-08-31,Lumbini,Rolpa,Tribeni,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Jorte, Ribdikot Rural Municipality-2",,other,Landslide,2023-08-30,Lumbini,Palpa,Ribdikot,2,,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,7,2,5,0,0
Yes,"Heavy Rainfall at Tarapatti, Siraha Municipality-18",,other,Heavy Rainfall,2023-08-29,Madhesh,Siraha,Siraha,18,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Tusarepakha, Jaimini Municipality-8",,other,Landslide,2023-08-29,Gandaki,Baglung,Jaimini,8,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Landslide at Bosepla, Salpasilichho Rural Municipality-6",,other,Landslide,2023-08-29,Koshi,Bhojpur,Salpasilichho,6,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Heavy Rainfall at Bhagawanpur Rural Municipality-2,,other,Heavy Rainfall,2023-08-28,Madhesh,Siraha,Bhagawanpur,2,30000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Flood at Dharche Rural Municipality-6,,other,Flood,2023-08-28,Gandaki,Gorkha,Dharche,6,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Pidule, Bigu Rural Municipality-4",,other,Landslide,2023-08-27,Bagmati,Dolakha,Bigu,4,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Baram, Ramprasad Rai Rural Municipality-7",,other,Heavy Rainfall,2023-08-27,Koshi,Bhojpur,Ramprasad Rai,7,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
