Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Landslide at Gothalapani - Jhulaghat, Surnaya Rural Municipality-5",,other,Landslide,2023-07-13,Sudurpashchim,Baitadi,Surnaya,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Timkarikheda, Apihimal Rural Municipality-6",,other,Heavy Rainfall,2023-07-13,Sudurpashchim,Darchula,Apihimal,6,,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Landslide at Rachuli , Pachaljharana Rural Municipality-3",,other,Landslide,2023-07-13,Karnali,Kalikot,Pachaljharana,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Jyaltar , Makawanpurgadhi Rural Municipality-5",,other,Landslide,2023-07-13,Bagmati,Makwanpur,Makawanpurgadhi,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Akare Bhir, Golanjor Rural Municipality-6",,other,Landslide,2023-07-13,Bagmati,Sindhuli,Golanjor,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Flood at Narpa Bhoomi Rural Municipality-3,,other,Flood,2023-07-13,Gandaki,Manang,Narpa Bhoomi,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Prakashpur , Barhadashi Rural Municipality-7",,other,Animal Incidents,2023-07-13,Koshi,Jhapa,Barhadashi,7,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Dhaklang , Jugal Rural Municipality-2",,other,Landslide,2023-07-13,Bagmati,Sindhupalchok,Jugal,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Dudhila, Shikhar Municipality-2",,other,Thunderbolt,2023-07-13,Sudurpashchim,Doti,Shikhar,2,,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Raduwa, Alital Rural Municipality-3",,other,Landslide,2023-07-13,Sudurpashchim,Dadeldhura,Alital,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Lamsung, Raghuganga Rural Municipality-8",,other,Landslide,2023-07-13,Gandaki,Myagdi,Raghuganga,8,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Heavy Rainfall at Kabilasi Municipality-8,,other,Heavy Rainfall,2023-07-13,Madhesh,Sarlahi,Kabilasi,8,50000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Sukumbasi Basti , Barhadashi Rural Municipality-7",,other,Flood,2023-07-13,Koshi,Jhapa,Barhadashi,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Kisti Majhgaau , Pokhara Lekhnath Metropolitan City-21",,other,Thunderbolt,2023-07-13,Gandaki,Kaski,Pokhara Lekhnath,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Flood at Dobhan Bazar , Phaktanglung Rural Municipality-6",,other,Flood,2023-07-13,Koshi,Taplejung,Phaktanglung,6,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Simat, Bakaiya Rural Municipality-11",,other,Landslide,2023-07-13,Bagmati,Makwanpur,Bakaiya,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bhalkot , Rolpa Municipality-10",,other,Fire,2023-07-13,Lumbini,Rolpa,Rolpa,10,600000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Almaduna Khola , Mugum Karmarong Rural Municipality-7",,other,Landslide,2023-07-13,Karnali,Mugu,Mugum Karmarong,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Phidim Bazar , Phidim Municipality-11",,other,Animal Incidents,2023-07-13,Koshi,Panchthar,Phidim,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,0,0
Yes,"Heavy Rainfall at Kutiyakabar, Mahakali_Kanchanpur Municipality-10",,other,Heavy Rainfall,2023-07-13,Sudurpashchim,Kanchanpur,Mahakali_Kanchanpur,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Chalal , Namobuddha Municipality-7",,other,Landslide,2023-07-13,Bagmati,Kavrepalanchok,Namobuddha,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Yes,"Animal Incidents at Kunda , Shuklaphanta National Park National Park-99",,other,Animal Incidents,2023-07-13,Sudurpashchim,Kanchanpur,Shuklaphanta National Park,99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Flood at Inaruwa Municipality-8,,other,Flood,2023-07-13,Koshi,Sunsari,Inaruwa,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Heavy Rainfall at Bramhapuri Rural Municipality-1,,other,Heavy Rainfall,2023-07-13,Madhesh,Sarlahi,Bramhapuri,1,107000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Madhuwapur, Rupani Rural Municipality-6",,other,Fire,2023-07-13,Madhesh,Saptari,Rupani,6,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Thunderbolt at Guthichaur Rural Municipality-5,,other,Thunderbolt,2023-07-13,Karnali,Jumla,Guthichaur,5,,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Gurung Tole , Inaruwa Municipality-8",,other,Flood,2023-07-13,Koshi,Sunsari,Inaruwa,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Animal Incidents at Brahmanagar , Thori Rural Municipality-5",,other,Animal Incidents,2023-07-13,Madhesh,Parsa,Thori,5,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Shah Tole , Inaruwa Municipality-8",,other,Fire,2023-07-13,Koshi,Sunsari,Inaruwa,8,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Tarabari, Barhadashi Rural Municipality-7",,other,Flood,2023-07-13,Koshi,Jhapa,Barhadashi,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Janakpur Submetropolitan City-18,,other,Fire,2023-07-12,Madhesh,Dhanusa,Janakpur,18,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Dharampur, Shuklaphanta National Park National Park-99",,other,Heavy Rainfall,2023-07-12,Sudurpashchim,Kanchanpur,Shuklaphanta National Park,99,93000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Dinganagar, Tillotama Municipality-14",,other,Thunderbolt,2023-07-12,Lumbini,Rupandehi,Tillotama,14,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Mudkhu Osotpawan, Kageshwori Manahora Municipality-9",,other,Landslide,2023-07-12,Bagmati,Kathmandu,Kageshwori Manahora,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Thumki , Molung Rural Municipality-1",,other,Fire,2023-07-12,Koshi,Okhaldhunga,Molung,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Nichamari , Belbari Municipality-8",,other,Flood,2023-07-12,Koshi,Morang,Belbari,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Gadiya Khola, Belbari Municipality-8",,other,Flood,2023-07-12,Koshi,Morang,Belbari,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Saudagandhi , Haldibari Rural Municipality-5",,other,Flood,2023-07-12,Koshi,Jhapa,Haldibari,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Bhatiganj, Belbari Municipality-8",,other,Heavy Rainfall,2023-07-12,Koshi,Morang,Belbari,8,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Flood at Ghangi Khola , Belbari Municipality-8",,other,Flood,2023-07-12,Koshi,Morang,Belbari,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bus Park Gole Market, Gauriganga Municipality-9",,other,Fire,2023-07-12,Sudurpashchim,Kailali,Gauriganga,9,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Ranikot, Putha Uttarganga Rural Municipality-4",,other,Landslide,2023-07-12,Lumbini,Rukum East,Putha Uttarganga,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Heavy Rainfall at Tallo Naji - Nalturad, Apihimal Rural Municipality-6",,other,Heavy Rainfall,2023-07-12,Sudurpashchim,Darchula,Apihimal,6,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Nardale, Barahtal Rural Municipality-8",,other,Thunderbolt,2023-07-12,Karnali,Surkhet,Barahtal,8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0
Yes,"Thunderbolt at Simle , Resunga Municipality-14",,other,Thunderbolt,2023-07-12,Lumbini,Gulmi,Resunga,14,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Garger, Birendranagar Municipality-13",,other,Thunderbolt,2023-07-12,Karnali,Surkhet,Birendranagar,13,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Frij Khola, Putha Uttarganga Rural Municipality-4",,other,Landslide,2023-07-12,Lumbini,Rukum East,Putha Uttarganga,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Tukucha Construction., Barahathawa Municipality-12",,other,Fire,2023-07-12,Madhesh,Sarlahi,Barahathawa,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Heavy Rainfall at Chisapani - Tukkibazar, Gauriganga Municipality-9",,other,Heavy Rainfall,2023-07-12,Sudurpashchim,Kailali,Gauriganga,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Fire at Gamhariya , Malangawa Municipality-12",,other,Fire,2023-07-11,Madhesh,Sarlahi,Malangawa,12,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Landslide at Pachaljharana Rural Municipality - 08, Raskot Municipality-8",,other,Landslide,2023-07-11,Karnali,Kalikot,Raskot,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Chhapkaiya Tole , Birgunj Metropolitan City-2",,other,Thunderbolt,2023-07-11,Madhesh,Parsa,Birgunj,2,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Devkota Chowk, Damak Municipality-7",,other,Fire,2023-07-11,Koshi,Jhapa,Damak,7,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sano Gaura , Buddhabhumi Municipality-8",,other,Fire,2023-07-11,Lumbini,Kapilbastu,Buddhabhumi,8,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sharanpur , Kageshwori Manahora Municipality-9",,other,Fire,2023-07-11,Bagmati,Kathmandu,Kageshwori Manahora,9,745000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Animal Incidents at Dhankuta Municipality-5,,other,Animal Incidents,2023-07-11,Koshi,Dhankuta,Dhankuta,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Yes,"Thunderbolt at Madanpur, Haripur Municipality-3",,other,Thunderbolt,2023-07-11,Madhesh,Sarlahi,Haripur,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Yes,"Thunderbolt at Malahi , Jitpur Simara Submetropolitan City-17",,other,Thunderbolt,2023-07-11,Madhesh,Bara,Jitpur Simara,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Fire at Kuwa , Janakpur Submetropolitan City-12",,other,Fire,2023-07-11,Madhesh,Dhanusa,Janakpur,12,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Pakhir, Gauriganga Municipality-9",,other,Thunderbolt,2023-07-11,Sudurpashchim,Kailali,Gauriganga,9,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Jingadawa, Brindaban Municipality-6",,other,Thunderbolt,2023-07-11,Madhesh,Rautahat,Brindaban,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Yes,"Fire at Thapachowk , Kageshwori Manahora Municipality-9",,other,Fire,2023-07-11,Bagmati,Kathmandu,Kageshwori Manahora,9,1144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Tandi, Sarawal Rural Municipality-3",,other,Fire,2023-07-11,Lumbini,Nawalparasi West,Sarawal,3,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Ram Janaki Tole, Kohalpur Municipality-12",,other,Fire,2023-07-11,Lumbini,Banke,Kohalpur,12,600000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Heavy Rainfall at Barhadashi Rural Municipality-7,,other,Heavy Rainfall,2023-07-11,Koshi,Jhapa,Barhadashi,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Shahikhola , Rautamai Rural Municipality-7",,other,Fire,2023-07-10,Koshi,Udayapur,Rautamai,7,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Dhanusadham Municipality-3,,other,Fire,2023-07-10,Madhesh,Dhanusa,Dhanusadham,3,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Guruwa Gaau , Rapti Sonari Rural Municipality-2",,other,Fire,2023-07-10,Lumbini,Banke,Rapti Sonari,2,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Thunderbolt at Shrestha Gaau , Barhadashi Rural Municipality-7",,other,Thunderbolt,2023-07-10,Koshi,Jhapa,Barhadashi,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Yes,Fire at Krishnapur Municipality-9,,other,Fire,2023-07-10,Sudurpashchim,Kanchanpur,Krishnapur,9,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Parwanipur , Lalbandi Municipality-16",,other,Fire,2023-07-10,Madhesh,Sarlahi,Lalbandi,16,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Sirutar Chardobato , Bhaktapur Municipality-9",,other,Fire,2023-07-10,Bagmati,Bhaktapur,Bhaktapur,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Nawalpur , Rapti Sonari Rural Municipality-2",,other,Fire,2023-07-10,Lumbini,Banke,Rapti Sonari,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Bramadev, Bhimdatta Municipality-9",,other,Fire,2023-07-10,Sudurpashchim,Kanchanpur,Bhimdatta,9,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Thunderbolt at Barhadashi Rural Municipality-7,,other,Thunderbolt,2023-07-10,Koshi,Jhapa,Barhadashi,7,50000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Siprahawa , Kotahimai Rural Municipality-1",,other,Fire,2023-07-10,Lumbini,Rupandehi,Kotahimai,1,300000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Babai Rural Municipality-5,,other,Fire,2023-07-10,Lumbini,Dang,Babai,5,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Aaitabare , Phidim Municipality-14",,other,Fire,2023-07-10,Koshi,Panchthar,Phidim,14,411000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
